eng_TAMsimp,prophetic,prose,instruction,poetry,list
FUT,0.37,-0.04,-0.28,-0.03,-0.02
FUT ~ MOD shall,0.28,-0.1,-0.14,-0.03,-0.01
PRES,-0.07,-0.03,0.0,0.11,-0.02
IMPV ~ MOD shall,-0.32,-0.1,0.47,-0.04,-0.01
IMPV,-0.08,0.31,-0.19,-0.03,-0.01
MOD is to ~ MOD shall,-0.38,-0.17,0.59,-0.04,-0.01
PAST,-0.2,0.23,-0.2,0.17,0.0
MOD shall,-0.37,-0.18,0.61,-0.04,-0.01
MOD must ~ MOD shall,-0.35,-0.25,0.65,-0.03,-0.01
FUT ~ PRES,0.05,0.02,-0.12,0.07,-0.01
MOD may,-0.25,0.24,0.07,-0.04,-0.01
PAST ~ PRES,-0.26,-0.28,-0.19,0.04,0.7
MOD shall ~ PRES,-0.05,-0.04,0.13,-0.04,0.0
FUT ~ MOD may,0.13,-0.02,-0.06,-0.04,-0.01
PRES PERF,-0.06,0.15,-0.12,0.05,-0.01
MOD shall ~ TO INF,-0.23,-0.06,0.31,-0.04,0.02
PRES ~ PRES PART,-0.15,-0.02,-0.01,0.04,0.13
PRES ~ PRES PERF,-0.22,0.27,-0.03,-0.0,-0.01
MOD would,-0.29,0.57,-0.27,-0.04,0.03
TO INF,-0.09,0.25,-0.11,-0.04,-0.01
FUT ~ MOD lest,-0.16,0.02,-0.06,0.21,-0.01
MOD would ~ PAST,-0.29,0.57,-0.27,0.0,-0.01
MOD may ~ TO INF,-0.37,0.38,-0.0,-0.04,0.03
MOD may ~ PRES,-0.18,-0.07,0.21,0.06,-0.01
MOD let,-0.28,0.4,-0.17,0.06,-0.01
FUT ~ IMPV,0.26,0.0,-0.27,0.01,-0.01
PRES ~ TO INF,-0.05,0.06,0.05,-0.04,-0.01
MOD may ~ MOD shall,-0.32,0.08,0.29,-0.04,-0.01
PAST ~ PRES PART,-0.37,0.22,-0.27,0.14,0.28
FUT ~ TO INF,0.07,0.13,-0.2,0.02,-0.01
MOD shall ~ PRES PART,-0.31,0.13,0.24,-0.04,-0.01
IMPV ~ PRES,-0.17,0.36,-0.13,-0.04,-0.01
IMPV ~ MOD let,-0.37,0.4,0.02,-0.04,-0.01
