bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,mother_intertext,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain,daught_intertext
232113,אִם־תָּסִ֤יר מִתֹּֽוכְךָ֙ מֹוטָ֔ה ,562570,אִם־תָּסִ֤יר מִתֹּֽוכְךָ֙ מֹוטָ֔ה ,SubAdv,Q,yqtl,xYq0,p2,SWR[,תסיר,אִם־תָּסִ֤יר מִתֹּֽוכְךָ֙ מֹוטָ֔ה שְׁלַ֥ח אֶצְבַּ֖ע וְדַבֶּר־אָֽוֶן׃ וְתָפֵ֤ק לָֽרָעֵב֙ נַפְשֶׁ֔ךָ וְנֶ֥פֶשׁ נַעֲנָ֖ה תַּשְׂבִּ֑יעַ ,וַאֲפֵלָתְךָ֖ כַּֽצָּהֳרָֽיִם׃ ,562576,וַאֲפֵלָתְךָ֖ כַּֽצָּהֳרָֽיִם׃ ,Main,Q,Ø,NmCl,,,,וַאֲפֵלָתְךָ֖ כַּֽצָּהֳרָֽיִם׃ 
232124,וְזָרַ֤ח בַּחֹ֨שֶׁךְ֙ אֹורֶ֔ךָ ,562575,וְזָרַ֤ח בַּחֹ֨שֶׁךְ֙ אֹורֶ֔ךָ ,Main,Q,wqtl,WQtX,p3,ZRX[,זרח,וְזָרַ֤ח בַּחֹ֨שֶׁךְ֙ אֹורֶ֔ךָ וַאֲפֵלָתְךָ֖ כַּֽצָּהֳרָֽיִם׃ ,וְהִשְׂבִּ֤יעַ בְּצַחְצָחֹות֙ נַפְשֶׁ֔ךָ ,562578,וְהִשְׂבִּ֤יעַ בְּצַחְצָחֹות֙ נַפְשֶׁ֔ךָ ,Main,Q,wqtl,WQt0,p3,FB<[,השׂביע,וְהִשְׂבִּ֤יעַ בְּצַחְצָחֹות֙ נַפְשֶׁ֔ךָ 
232128,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ ,562577,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ ,Main,Q,wqtl,WQtX,p3,NXH[,נחך,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ ,וְעַצְמֹתֶ֖יךָ יַחֲלִ֑יץ ,562579,וְעַצְמֹתֶ֖יךָ יַחֲלִ֑יץ ,Main,Q,yqtl,WxY0,p3,XLY[,יחליץ,וְעַצְמֹתֶ֖יךָ יַחֲלִ֑יץ 
232136,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ ,562577,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ ,Main,Q,wqtl,WQtX,p3,NXH[,נחך,וְנָחֲךָ֣ יְהוָה֮ תָּמִיד֒ וְהִשְׂבִּ֤יעַ בְּצַחְצָחֹות֙ נַפְשֶׁ֔ךָ וְעַצְמֹתֶ֖יךָ יַחֲלִ֑יץ ,וּכְמֹוצָ֣א מַ֔יִם ,562581,וּכְמֹוצָ֣א מַ֔יִם ,Main,Q,Ø,NmCl,,,,וּכְמֹוצָ֣א מַ֔יִם 
232149,וְהָיִ֨יתָ֙ כְּגַ֣ן רָוֶ֔ה ,562580,וְהָיִ֨יתָ֙ כְּגַ֣ן רָוֶ֔ה ,Main,Q,wqtl,WQt0,p2,HJH[,היית,וְהָיִ֨יתָ֙ כְּגַ֣ן רָוֶ֔ה וּכְמֹוצָ֣א מַ֔יִם אֲשֶׁ֥ר לֹא־יְכַזְּב֖וּ מֵימָֽיו׃ ,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם ,562584,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם ,Main,Q,yqtl,xYq0,p2,QWM[,תקומם,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם 
232159,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם ,562584,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם ,Main,Q,yqtl,xYq0,p2,QWM[,תקומם,מֹוסְדֵ֥י דֹור־וָדֹ֖ור תְּקֹומֵ֑ם ,גֹּדֵ֣ר פֶּ֔רֶץ ,562586,גֹּדֵ֣ר פֶּ֔רֶץ ,SubArg,Q,ptcp,Ptcp,unknown,GDR[,גדר,גֹּדֵ֣ר פֶּ֔רֶץ 
232178,אִם־תָּשִׁ֤יב מִשַּׁבָּת֙ רַגְלֶ֔ךָ ,562589,אִם־תָּשִׁ֤יב מִשַּׁבָּת֙ רַגְלֶ֔ךָ ,SubAdv,Q,yqtl,xYq0,p2,CWB[,תשׁיב,אִם־תָּשִׁ֤יב מִשַּׁבָּת֙ רַגְלֶ֔ךָ עֲשֹׂ֥ות חֲפָצֶ֖יךָ בְּיֹ֣ום קָדְשִׁ֑י ,לִקְדֹ֤ושׁ יְהוָה֙ מְכֻבָּ֔ד ,562592,לִקְדֹ֤ושׁ יְהוָה֙ מְכֻבָּ֔ד ,Main,Q,Ø,Ellp,,,,לִקְדֹ֤ושׁ יְהוָה֙ מְכֻבָּ֔ד 
232188,וְקָרָ֨אתָ לַשַּׁבָּ֜ת עֹ֗נֶג ,562591,וְקָרָ֨אתָ לַשַּׁבָּ֜ת עֹ֗נֶג ,Main,Q,wqtl,WQt0,p2,QR>[,קראת,וְקָרָ֨אתָ לַשַּׁבָּ֜ת עֹ֗נֶג לִקְדֹ֤ושׁ יְהוָה֙ מְכֻבָּ֔ד ,מֵעֲשֹׂ֣ות דְּרָכֶ֔יךָ ,562594,מֵעֲשֹׂ֣ות דְּרָכֶ֔יךָ ,SubAdv,Q,infc,InfC,unknown,<FH[,עשׂות,מֵעֲשֹׂ֣ות דְּרָכֶ֔יךָ 
232203,אָ֗ז תִּתְעַנַּג֙ עַל־יְהוָ֔ה ,562597,אָ֗ז תִּתְעַנַּג֙ עַל־יְהוָ֔ה ,Main,Q,yqtl,xYq0,p2,<NG[,תתענג,אָ֗ז תִּתְעַנַּג֙ עַל־יְהוָ֔ה ,וְהַאֲכַלְתִּ֗יךָ נַחֲלַת֙ יַעֲקֹ֣ב אָבִ֔יךָ ,562599,וְהַאֲכַלְתִּ֗יךָ נַחֲלַת֙ יַעֲקֹ֣ב אָבִ֔יךָ ,Main,Q,wqtl,WQt0,p1,>KL[,האכלתיך,וְהַאֲכַלְתִּ֗יךָ נַחֲלַת֙ יַעֲקֹ֣ב אָבִ֔יךָ 
232208,וְהִרְכַּבְתִּ֖יךָ עַל־בָּ֣מֳתֵי אָ֑רֶץ ,562598,וְהִרְכַּבְתִּ֖יךָ עַל־בָּ֣מֳתֵי אָ֑רֶץ ,Main,Q,wqtl,WQt0,p1,RKB[,הרכבתיך,וְהִרְכַּבְתִּ֖יךָ עַל־בָּ֣מֳתֵי אָ֑רֶץ ,,,,,,,,,,,
