bhsa_node,ref,book,book_super,canon_part,period,genre,domain2,text_full,text_plain,lex,lex_etcbc,gloss,verb_form,stem,person,gender,number,valence,clause_atom,clause,sentence,txt_type,clause_type,cltype_simp,clause_rela,cl_args,is_question,prec_lexes,prec_pos,prec_part,ref_sbl,ref_abbr,has_objc,objc_pos,has_loca,loca_type,loca_heads,has_time
255,Genesis 1:14,Genesis,Genesis,Law,SBH,prose,Q,הָי֤וּ,היו,היה,HJH[,be,wqtl,qal,p3,unknown,pl,--,וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,וְהָי֤וּ לְאֹתֹת֙ וּלְמֹ֣ועֲדִ֔ים וּלְיָמִ֖ים וְשָׁנִֽים׃ ,?NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 1:14,Gen. 1:14,0,,0,,,0
267,Genesis 1:15,Genesis,Genesis,Law,SBH,prose,Q,הָי֤וּ,היו,היה,HJH[,be,wqtl,qal,p3,unknown,pl,-p,וְהָי֤וּ לִמְאֹורֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,וְהָי֤וּ לִמְאֹורֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם ,וְהָי֤וּ לִמְאֹורֹת֙ בִּרְקִ֣יעַ הַשָּׁמַ֔יִם לְהָאִ֖יר עַל־הָאָ֑רֶץ ,?NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 1:15,Gen. 1:15,0,,1,PP,RQJ</,0
785,Genesis 2:6,Genesis,Genesis,Law,SBH,prose,D,הִשְׁקָ֖ה,השׁקה,שׁקה,CQH[,give drink,wqtl,hif,p3,m,sg,,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,ND,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 2:6,Gen. 2:6,1,VO,0,,,0
878,Genesis 2:10,Genesis,Genesis,Law,SBH,prose,D,הָיָ֖ה,היה,היה,HJH[,be,wqtl,qal,p3,m,sg,--,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,ND,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 2:10,Gen. 2:10,0,,0,,,0
1149,Genesis 2:24,Genesis,Genesis,Law,SBH,prose,D,דָבַ֣ק,דבק,דבק,DBQ[,"cling, cleave to",wqtl,qal,p3,m,sg,-p,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,ND,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 2:24,Gen. 2:24,0,,0,,,0
1153,Genesis 2:24,Genesis,Genesis,Law,SBH,prose,D,הָי֖וּ,היו,היה,HJH[,be,wqtl,qal,p3,unknown,pl,--,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ ,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ ,וְהָי֖וּ לְבָשָׂ֥ר אֶחָֽד׃ ,ND,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 2:24,Gen. 2:24,0,,0,,,0
1251,Genesis 3:5,Genesis,Genesis,Law,SBH,prose,Q,נִפְקְח֖וּ,נפקחו,פקח,PQX[,open,wqtl,nif,p3,unknown,pl,,וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם ,וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם ,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים כִּ֗י בְּיֹום֙ אֲכָלְכֶ֣ם מִמֶּ֔נּוּ וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים יֹדְעֵ֖י טֹ֥וב וָרָֽע׃ ,NQ,WQtX,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:5,Gen. 3:5,0,,0,,,0
1254,Genesis 3:5,Genesis,Genesis,Law,SBH,prose,Q,הְיִיתֶם֙,הייתם,היה,HJH[,be,wqtl,qal,p2,m,pl,--,וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים ,וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים ,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים כִּ֗י בְּיֹום֙ אֲכָלְכֶ֣ם מִמֶּ֔נּוּ וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים יֹדְעֵ֖י טֹ֥וב וָרָֽע׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:5,Gen. 3:5,0,,0,,,0
1537,Genesis 3:18,Genesis,Genesis,Law,SBH,prose,Q,אָכַלְתָּ֖,אכלת,אכל,>KL[,eat,wqtl,qal,p2,m,sg,d-,וְאָכַלְתָּ֖ אֶת־עֵ֥שֶׂב הַשָּׂדֶֽה׃ ,וְאָכַלְתָּ֖ אֶת־עֵ֥שֶׂב הַשָּׂדֶֽה׃ ,וְאָכַלְתָּ֖ אֶת־עֵ֥שֶׂב הַשָּׂדֶֽה׃ ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:18,Gen. 3:18,1,VO,0,,,0
1610,Genesis 3:22,Genesis,Genesis,Law,SBH,prose,Q,לָקַח֙,לקח,לקח,LQX[,take,wqtl,qal,p3,m,sg,-c,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,NQ,WQt0,W,Main,_W_V,0,_W_,_conj_,_W_,Gen 3:22,Gen. 3:22,0,,0,,,0
