bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree
76713,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,MOD can,MOD can,1,FUT ~ MOD can,FUT ~ MOD can,0,0
76718,,,,,,,,,0,,,0,0
76723,,,,,,,,,0,,,0,0
76733,,,,,,,,,0,,,0,0
76926,VBD,VBD,PAST,PAST,VBG,VBG,PRES PART,PRES PART,1,PAST ~ PRES PART,PAST ~ PRES PART,0,0
76928,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
76938,VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
76943,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
76947,VBD,VBD,PAST,PAST,,,,,0,,,0,0
77128,VB,VB,IMPV,IMPV,VBP|VB,VBP|VB,IMPV,IMPV,1,IMPV,IMPV,1,1
77134,VB|PRP|VB|PRP$|NN,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,0
77138,PRP|MD|VB|RB,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
77140,VB,VB,FUT,FUT,VB,VB,FUT,FUT,1,FUT,FUT,1,1
77144,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
77151,VBD,VBD,FUT,FUT,VBD,VBD,FUT,FUT,1,FUT,FUT,1,1
77154,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB|VB,VB|VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
77175,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
77193,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
77198,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
77227,VBZ,VBZ,PRES,PRES,,,,,0,,,0,0
77270,PRP|MD|VB,VB,MOD may,MOD may,VB,VB,TO INF,TO INF,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0
77280,VB|JJ,VB,MOD quest shall,MOD shall,MD|VB|JJ,VB,MOD quest would,MOD would,1,MOD quest shall ~ MOD quest would,MOD shall ~ MOD would,0,0
77291,VB|JJ,VB,MOD quest shall,MOD shall,MD|VB|NN,VB,MOD quest would,MOD would,1,MOD quest shall ~ MOD quest would,MOD shall ~ MOD would,0,0
78027,VB|RP,VB,IMPV,IMPV,,,,,0,,,0,0
78032,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
78099,VB|IN|JJ|NN,VB,IMPV,IMPV,VB|PRP$|JJS,VB,PRES question,PRES,1,IMPV ~ PRES question,IMPV ~ PRES,0,0
78101,VB,VB,IMPV,IMPV,VB|RB,VB,PRES question,PRES,1,IMPV ~ PRES question,IMPV ~ PRES,0,0
78333,VB,VB,MOD let,MOD let,VB|NN|IN,VB,MOD should,MOD should,1,MOD let ~ MOD should,MOD let ~ MOD should,0,0
78555,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
78563,VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
78666,MD|VB|IN,VB,FUT,FUT,MD|VB|IN,VB,FUT,FUT,1,FUT,FUT,1,1
78680,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
78723,PRP|VBP,VBP,PRES,PRES,PRP|VBP|IN|NN,VBP,PRES,PRES,1,PRES,PRES,1,1
78733,,,,,MD|VB,VB,FUT,FUT,0,,,0,0
78898,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
79029,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
79032,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,TO INF,TO INF,1,MOD shall ~ TO INF,MOD shall ~ TO INF,0,0
79058,MD|VB,VB,MOD shall,MOD shall,VBG,VBG,PRES PART,PRES PART,1,MOD shall ~ PRES PART,MOD shall ~ PRES PART,0,0
79092,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
79216,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
79262,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
79331,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
79343,PRP|VBP,VBP,PRES,PRES,PRP|JJ,,,,0,,,0,0
79373,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
79454,MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
79546,PRP|VBZ|TO|VB,VBZ|VB,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
79606,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
79619,,,,,,,,,0,,,0,0
79687,,,,,,,,,0,,,0,0
79697,MD|VB,VB,MOD shall,MOD shall,VBZ|TO|VB,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
79726,MD|VB|NN,VB,MOD shall,MOD shall,VBZ|TO|VB|JJ,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
79735,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
79756,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
79785,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
79792,MD|VB|NN,VB,MOD shall,MOD shall,VBZ|TO|VB|NN,VBZ|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
79811,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
79855,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
79985,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
79988,VB,VB,TO INF,TO INF,VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ TO INF,MOD is to ~ TO INF,0,0
79997,TO|VB,VB,TO INF,TO INF,,,,,0,,,0,0
80005,PRP|MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
80010,VB|IN,VB,TO INF,TO INF,VB|IN,VB,TO INF,TO INF,1,TO INF,TO INF,1,1
80013,VB,VB,TO INF,TO INF,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ TO INF,FUT ~ TO INF,0,0
80019,VB,VB,TO INF,TO INF,PRP|MD|VB,VB,MOD may,MOD may,1,MOD may ~ TO INF,MOD may ~ TO INF,0,0
80036,VB,VB,MOD shall,MOD shall,VB,VB,TO INF,TO INF,1,MOD shall ~ TO INF,MOD shall ~ TO INF,0,0
80041,VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
80159,MD|VB|RB,VB,FUT,FUT,PRP|MD|VB|VB|IN,VB|VB,FUT,FUT,1,FUT,FUT,1,1
80190,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
80253,MD|PRP|VB,VB,MOD would,MOD would,VBP|VBG|TO|VB,VBP|VBG|VB,PRES PROG,PRES PROG,1,MOD would ~ PRES PROG,MOD would ~ PRES PROG,0,0
80381,VBD,VBD,MOD let,MOD let,VBD,VBD,MOD is to,MOD is to,1,MOD is to ~ MOD let,MOD is to ~ MOD let,0,0
80385,VBP,VBP,PRES,PRES,VB,VB,MOD is to,MOD is to,1,MOD is to ~ PRES,MOD is to ~ PRES,0,0
80623,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
80629,VBZ|RP,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
80637,PRP|VBP|RB,VBP,PRES,PRES,PRP|VBP|RB,VBP,PRES,PRES,1,PRES,PRES,1,1
80641,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
81110,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
81123,,,,,,,,,0,,,0,0
81132,PRP|MD|VB|TO|VB,VB|VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
81353,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB|JJ|IN,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
81379,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
81382,VB,VB,MOD shall,MOD shall,VB|JJ,VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
81398,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB|JJ,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
81460,PRP|MD|VB,VB,MOD shall,MOD shall,,,,,0,,,0,0
81801,MD|VB,VB,MOD shall,MOD shall,VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,0
81865,VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
81884,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
81893,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
81925,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,0
81949,PRP|MD|VB,VB,MOD shall,MOD shall,VB,VB,IMPV,IMPV,1,IMPV ~ MOD shall,IMPV ~ MOD shall,0,0
81957,DT|NN|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,0
81969,PRP|MD|VB,VB,MOD may,MOD may,MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1
