bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
68849,וְהִתְוַדּ֤וּ אֶת־עֲוֹנָם֙ וְאֶת־עֲוֹ֣ן אֲבֹתָ֔ם בְּמַעֲלָ֖ם ,529352,וְהִתְוַדּ֤וּ אֶת־עֲוֹנָם֙ וְאֶת־עֲוֹ֣ן אֲבֹתָ֔ם בְּמַעֲלָ֖ם ,Main,Q,wqtl,WQt0,p3,JDH[,התודו,וְאַף֩ אֶת־בְּרִיתִ֨י יִצְחָ֜ק ,529360,וְאַף֩ אֶת־בְּרִיתִ֨י יִצְחָ֜ק ,Main,Q,Ø,Ellp,,,
68922,כִּ֛י אֲנִ֥י יְהוָ֖ה אֱלֹהֵיהֶֽם׃ ,529376,כִּ֛י אֲנִ֥י יְהוָ֖ה אֱלֹהֵיהֶֽם׃ ,SubAdv,Q,Ø,NmCl,,,,אֲשֶׁ֣ר הֹוצֵֽאתִי־אֹתָם֩ מֵאֶ֨רֶץ מִצְרַ֜יִם לְעֵינֵ֣י הַגֹּויִ֗ם ,529378,אֲשֶׁ֣ר הֹוצֵֽאתִי־אֹתָם֩ מֵאֶ֨רֶץ מִצְרַ֜יִם לְעֵינֵ֣י הַגֹּויִ֗ם ,SubMod,Q,qtl,xQt0,p1,JY>[,הוצאתי
68978,דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ ,529385,דַּבֵּ֞ר אֶל־בְּנֵ֤י יִשְׂרָאֵל֙ ,Main,Q,impv,ZIm0,p2,DBR[,דבר,אִ֕ישׁ ,529387,אִ֕ישׁ ,Main,Q,Ø,CPen,,,
68990,כִּ֥י יַפְלִ֖א נֶ֑דֶר ,529388,כִּ֥י יַפְלִ֖א נֶ֑דֶר ,SubAdv,Q,yqtl,xYq0,p3,PL>[,יפלא,וְהָיָ֣ה עֶרְכְּךָ֗ חֲמִשִּׁ֛ים שֶׁ֥קֶל כֶּ֖סֶף בְּשֶׁ֥קֶל הַקֹּֽדֶשׁ׃ ,529391,וְהָיָ֣ה עֶרְכְּךָ֗ חֲמִשִּׁ֛ים שֶׁ֥קֶל כֶּ֖סֶף בְּשֶׁ֥קֶל הַקֹּֽדֶשׁ׃ ,Main,Q,wqtl,WQtX,p3,HJH[,היה
69004,וְהָיָ֤ה עֶרְכְּךָ֙ הַזָּכָ֔ר מִבֶּן֙ עֶשְׂרִ֣ים שָׁנָ֔ה וְעַ֖ד בֶּן־שִׁשִּׁ֣ים שָׁנָ֑ה ,529390,וְהָיָ֤ה עֶרְכְּךָ֙ הַזָּכָ֔ר מִבֶּן֙ עֶשְׂרִ֣ים שָׁנָ֔ה וְעַ֖ד בֶּן־שִׁשִּׁ֣ים שָׁנָ֑ה ,Main,Q,wqtl,WQtX,p3,HJH[,היה,וְאִם־נְקֵבָ֖ה הִ֑וא ,529392,וְאִם־נְקֵבָ֖ה הִ֑וא ,SubAdv,Q,Ø,NmCl,,,
69018,וְאִם־נְקֵבָ֖ה הִ֑וא ,529392,וְאִם־נְקֵבָ֖ה הִ֑וא ,SubAdv,Q,Ø,NmCl,,,,,,,,,,,,,
69034,וְאִ֨ם מִבֶּן־חָמֵ֜שׁ שָׁנִ֗ים וְעַד֙ בֶּן־עֶשְׂרִ֣ים שָׁנָ֔ה ,529394,וְאִ֨ם מִבֶּן־חָמֵ֜שׁ שָׁנִ֗ים וְעַד֙ בֶּן־עֶשְׂרִ֣ים שָׁנָ֔ה ,SubAdv,Q,Ø,NmCl,,,,וְלַנְּקֵבָ֖ה עֲשֶׂ֥רֶת שְׁקָלִֽים׃ ,529396,וְלַנְּקֵבָ֖ה עֲשֶׂ֥רֶת שְׁקָלִֽים׃ ,Main,Q,Ø,NmCl,,,
69057,וְאִ֣ם מִבֶּן־חֹ֗דֶשׁ וְעַד֙ בֶּן־חָמֵ֣שׁ שָׁנִ֔ים ,529397,וְאִ֣ם מִבֶּן־חֹ֗דֶשׁ וְעַד֙ בֶּן־חָמֵ֣שׁ שָׁנִ֔ים ,SubAdv,Q,Ø,NmCl,,,,וְלַנְּקֵבָ֣ה עֶרְכְּךָ֔ שְׁלֹ֥שֶׁת שְׁקָלִ֖ים כָּֽסֶף׃ ,529399,וְלַנְּקֵבָ֣ה עֶרְכְּךָ֔ שְׁלֹ֥שֶׁת שְׁקָלִ֖ים כָּֽסֶף׃ ,Main,Q,Ø,Ellp,,,
69083,אִם־זָכָ֔ר ,529401,אִם־זָכָ֔ר ,SubAdv,Q,Ø,NmCl,,,,וְלַנְּקֵבָ֖ה עֲשָׂרָ֥ה שְׁקָלִֽים׃ ,529403,וְלַנְּקֵבָ֖ה עֲשָׂרָ֥ה שְׁקָלִֽים׃ ,Main,Q,Ø,NmCl,,,
69101,וְאִם־מָ֥ךְ הוּא֙ מֵֽעֶרְכֶּ֔ךָ ,529404,וְאִם־מָ֥ךְ הוּא֙ מֵֽעֶרְכֶּ֔ךָ ,SubAdv,Q,qtl,WxQX,p3,MWK[,מך,וְהֶעֱרִ֥יךְ אֹתֹ֖ו הַכֹּהֵ֑ן ,529406,וְהֶעֱרִ֥יךְ אֹתֹ֖ו הַכֹּהֵ֑ן ,Main,Q,wqtl,WQtX,p3,<RK[,העריך
