bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
255,ἔστωσαν,present,active,impv,3,pl,present impv
267,ἔστωσαν,present,active,impv,3,pl,present impv
785,ἐπότιζεν,imperfect,active,indc,3,sg,imperfect indc
878,,,,,,,
1149,προσκολληθήσεται,future,passsive,indc,3,sg,future indc
1153,ἔσονται,future,middle,indc,3,pl,future indc
1251,διανοιχθήσονται,future,passsive,indc,3,pl,future indc
1254,ἔσεσθε,future,middle,indc,2,pl,future indc
1537,φάγῃ,future,middle,indc,2,sg,future indc
1610,λάβῃ,aorist,active,subj,3,sg,aorist subj
1617,φάγῃ,future,middle,indc,2,sg,future indc
1619,ζήσεται,future,middle,indc,3,sg,future indc
1895,ἔσομαι,future,middle,indc,1,sg,future indc
1903,ἔσται,future,middle,indc,3,sg,future indc
2654,ἔσονται,future,middle,indc,3,pl,future indc
2685,ἐγεννῶσαν,aorist,active,indc,3,pl,aorist indc
2861,ἀσφαλτώσεις,future,active,indc,2,sg,future indc
2943,στήσω,future,active,indc,1,sg,future indc
2948,εἰσελεύσῃ,future,middle,indc,2,sg,future indc
3018,συνάξεις,future,active,indc,2,sg,future indc
3021,ἔσται,future,middle,indc,3,sg,future indc
3121,ἐξαλείψω,aorist,active,subj,1,sg,aorist subj
3900,,,,,,,
3905,αὐξάνεσθε,present,middle,impv,2,pl,present impv
3907,πληθύνεσθε,present,middle,impv,2,pl,present impv
4218,στήσω,future,active,indc,1,sg,future indc
4271,ἔσται,future,middle,indc,3,sg,future indc
4281,ἔσται,future,middle,indc,3,sg,future indc
4289,ὀφθήσεται,future,passsive,indc,3,sg,future indc
4296,μνησθήσομαι,future,passsive,indc,1,sg,future indc
4324,ἔσται,future,middle,indc,3,sg,future indc
4331,ὄψομαι,future,middle,indc,1,sg,future indc
5525,ἐνευλογηθήσονται,future,passsive,indc,3,pl,future indc
5715,ἔσται,future,middle,indc,3,sg,future indc
5722,ἐροῦσιν,future,active,indc,3,pl,future indc
5726,ἀποκτενοῦσίν,future,active,indc,3,pl,future indc
5741,ζήσεται,future,middle,indc,3,sg,future indc
6160,ποιήσω,future,active,indc,1,sg,future indc
6772,ἐπίστευσεν,aorist,active,indc,3,sg,aorist indc
6894,δουλώσουσιν,future,active,indc,3,pl,future indc
6896,ταπεινώσουσιν,future,active,indc,3,pl,future indc
7235,καλέσεις,future,active,indc,2,sg,future indc
7378,ἔσῃ,future,middle,indc,2,sg,future indc
7391,ἔσται,future,middle,indc,3,sg,future indc
7400,αὐξανῶ,future,active,indc,1,sg,future indc
7406,θήσω,future,active,indc,1,sg,future indc
7414,στήσω,future,active,indc,1,sg,future indc
7439,δώσω,future,active,indc,1,sg,future indc
7456,ἔσομαι,future,middle,indc,1,sg,future indc
7492,περιτμηθήσεσθε,future,passsive,indc,2,pl,future indc
7497,ἔσται,future,middle,indc,3,sg,future indc
7536,ἔσται,future,middle,indc,3,sg,future indc
7553,ἐξολεθρευθήσεται,future,passsive,indc,3,sg,future indc
7579,εὐλογήσω,future,active,indc,1,sg,future indc
7588,εὐλογήσω,future,active,indc,1,sg,future indc
7590,ἔσται,future,middle,indc,3,sg,future indc
7643,καλέσεις,future,active,indc,2,sg,future indc
7648,στήσω,future,active,indc,1,sg,future indc
7666,αὐξανῶ,future,active,indc,1,sg,future indc
7669,πληθυνῶ,future,active,indc,1,sg,future indc
7679,δώσω,future,active,indc,1,sg,future indc
8113,ἐνευλογηθήσονται,future,passsive,indc,3,pl,future indc
8131,φυλάξουσιν,future,active,indc,3,pl,future indc
8244,ἔσται,future,middle,indc,3,sg,future indc
8275,ἀφήσω,future,active,indc,1,sg,future indc
8466,ὀρθρίσαντες,aorist,active,ptcp,,pl,aorist ptcp
8468,ἀπελεύσεσθε,future,middle,indc,2,pl,future indc
8867,ἀποθάνω,aorist,active,subj,1,sg,aorist subj
9483,ἀποκτενοῦσιν,future,active,indc,3,pl,future indc
10067,ἤλεγξεν,aorist,active,indc,3,sg,aorist indc
10622,ἐνευλογηθήσονται,future,passsive,indc,3,pl,future indc
11175,λήμψῃ,future,middle,indc,2,sg,future indc
11259,λήμψῃ,future,middle,indc,2,sg,future indc
11275,ἔσῃ,future,middle,indc,2,sg,future indc
11385,ἔσται,future,middle,indc,3,sg,future indc
11397,εἴπῃ,aorist,active,subj,3,sg,aorist subj
11855,λήμψῃ,future,middle,indc,2,sg,future indc
11881,εὐοδώσει,future,active,indc,3,sg,future indc
11884,λήμψῃ,future,middle,indc,2,sg,future indc
11908,ἔσῃ,future,middle,indc,2,sg,future indc
11942,,,,,,,
11950,,,,,,,
11959,εἴπῃ,aorist,active,subj,3,sg,aorist subj
13043,στήσω,future,active,indc,1,sg,future indc
13053,πληθυνῶ,future,active,indc,1,sg,future indc
13061,δώσω,future,active,indc,1,sg,future indc
13071,ἐνευλογηθήσονται,future,passsive,indc,3,pl,future indc
13189,ἐπήγαγες,aorist,active,indc,2,sg,aorist indc
13405,ηὔξησεν,aorist,active,indc,3,sg,aorist indc
13436,ηὐλόγηκά,perfect,active,indc,1,sg,perfect indc
13438,πληθυνῶ,future,active,indc,1,sg,future indc
13793,εἰσοίσεις,future,active,indc,2,sg,future indc
13797,φάγεται,future,middle,indc,3,sg,future indc
13824,ἔσομαι,future,middle,indc,1,sg,future indc
13830,ἐπάξω,future,active,indc,1,sg,future indc
14360,ἔσται,future,middle,indc,3,sg,future indc
14365,ἐκλύσεις,future,active,indc,2,sg,future indc
14439,οἴκησον,aorist,active,impv,2,sg,aorist impv
14454,ἐπιλάθηται,aorist,middle,subj,3,sg,aorist subj
14460,ἀποστείλασα,aorist,active,ptcp,,sg,aorist ptcp
14462,μεταπέμψομαί,future,middle,indc,1,sg,future indc
14547,ἔσῃ,future,middle,indc,2,sg,future indc
14602,ἀπῴχετο,imperfect,middle,indc,3,sg,imperfect indc
14753,ἔσται,future,middle,indc,3,sg,future indc
14760,πλατυνθήσεται,future,passsive,indc,3,sg,future indc
14769,ἐνευλογηθήσονται,future,passsive,indc,3,pl,future indc
14783,διαφυλάσσων,present,active,ptcp,,sg,present ptcp
14789,ἀποστρέψω,future,active,indc,1,sg,future indc
14898,διαφυλάξῃ,aorist,active,subj,3,sg,aorist subj
14908,δῷ,aorist,active,subj,3,sg,aorist subj
14918,ἀποστρέψῃ,aorist,active,subj,3,sg,aorist subj
14925,ἔσται,future,middle,indc,3,sg,future indc
14992,συνήγοντο,imperfect,middle,indc,3,pl,imperfect indc
14998,ἀπεκύλιον,imperfect,active,indc,3,pl,imperfect indc
15008,ἐπότιζον,imperfect,active,indc,3,pl,imperfect indc
15013,ἀπεκαθίστων,imperfect,active,indc,3,pl,imperfect indc
15094,ἀποκυλίσωσιν,aorist,active,subj,3,pl,aorist subj
15104,ποτιοῦμεν,future,active,indc,1,pl,future indc
15249,δουλεύσεις,future,active,indc,2,sg,future indc
16121,ἔσται,future,middle,indc,3,sg,future indc
16124,ἐπακούσεταί,future,middle,indc,3,sg,future indc
16317,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
16326,ἔθηκεν,aorist,active,indc,3,sg,aorist indc
16351,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
16483,ἤλλαξεν,aorist,active,indc,3,sg,aorist indc
16502,τέξεται,future,middle,indc,3,sg,future indc
16515,τέξεται,future,middle,indc,3,sg,future indc
17241,ἔσται,future,middle,indc,3,sg,future indc
17600,ἐκκόψῃ,aorist,active,subj,3,sg,aorist subj
17602,ἔσται,future,middle,indc,3,sg,future indc
17676,πατάξῃ,aorist,active,subj,3,sg,aorist subj
17687,θήσω,future,active,indc,1,sg,future indc
17779,ἐρωτᾷ,present,active,indc,3,sg,present indc
17795,ἐρεῖς,future,active,indc,2,sg,future indc
17844,ἐρεῖτε,future,active,indc,2,pl,future indc
18251,δέξαι,aorist,middle,impv,2,sg,aorist impv
18313,καταδιώξω,aorist,active,subj,1,sg,aorist subj
18317,ἀποθανοῦνται,future,middle,indc,3,pl,future indc
18537,παρεσιώπησεν,aorist,active,indc,3,sg,aorist indc
18720,δώσομεν,future,active,indc,1,pl,future indc
18730,οἰκήσομεν,future,active,indc,1,pl,future indc
18733,ἐσόμεθα,future,middle,indc,1,pl,future indc
18745,λαβόντες,aorist,active,ptcp,,pl,aorist ptcp
18749,ἀπελευσόμεθα,future,middle,indc,1,pl,future indc
19028,συναχθέντες,aorist,passsive,ptcp,,pl,aorist ptcp
19031,συγκόψουσίν,future,active,indc,3,pl,future indc
19033,ἐκτριβήσομαι,future,passsive,indc,1,sg,future indc
20223,ἐποίησεν,aorist,active,indc,3,sg,aorist indc
20531,ἐροῦμεν,future,active,indc,1,pl,future indc
20659,κρύψωμεν,aorist,active,subj,1,pl,aorist subj
20914,,,,,,,
20969,ἐγίνετο,imperfect,middle,indc,3,sg,imperfect indc
20976,ἐξέχεεν,imperfect,active,indc,3,sg,imperfect indc
21629,ἁμαρτήσομαι,future,middle,indc,1,sg,future indc
22141,ἀποκαταστήσει,future,active,indc,3,sg,future indc
22145,δώσεις,future,active,indc,2,sg,future indc
22167,ποιήσεις,future,active,indc,2,sg,future indc
22172,μνησθήσῃ,future,passsive,indc,2,sg,future indc
22176,ἐξάξεις,future,active,indc,2,sg,future indc
22271,κρεμάσει,future,active,indc,3,sg,future indc
22276,φάγεται,future,middle,indc,3,sg,future indc
22883,ἥξει,future,active,indc,3,sg,future indc
22889,ἐπιλήσονται,future,middle,indc,3,pl,future indc
22897,ἀναλώσει,future,active,indc,3,sg,future indc
22967,ἀποπεμπτωσάτωσαν,aorist,active,impv,3,pl,aorist impv
23000,φυλαχθήτω,aorist,passsive,impv,3,sg,aorist impv
23002,ἔσται,future,middle,indc,3,sg,future indc
24124,συμβήσεται,future,middle,indc,3,sg,future indc
24133,κατάξετέ,future,active,indc,2,pl,future indc
24303,στήσω,aorist,active,subj,1,sg,aorist subj
24307,ἡμαρτηκὼς,perfect,active,ptcp,,sg,perfect ptcp
24396,ἀποστείλαι,aorist,middle,impv,2,sg,aorist impv
24912,καταλήμψῃ,future,middle,indc,2,sg,future indc
24914,ἐρεῖς,future,active,indc,2,sg,future indc
24994,ἀποθνῃσκέτω,present,active,impv,3,sg,present impv
25241,καταλίπῃ,aorist,active,subj,3,sg,aorist subj
25245,ἀποθανεῖται,future,middle,indc,3,sg,future indc
25296,καταβησόμεθα,future,middle,indc,1,pl,future indc
25340,λάβητε,aorist,active,subj,2,pl,aorist subj
25348,συμβῇ,aorist,active,subj,3,sg,aorist subj
25351,κατάξετέ,future,active,indc,2,pl,future indc
25375,ἔσται,future,middle,indc,3,sg,future indc
25383,τελευτήσει,future,active,indc,3,sg,future indc
25385,κατάξουσιν,future,active,indc,3,pl,future indc
25410,ἡμαρτηκὼς,perfect,active,ptcp,,sg,perfect ptcp
25625,εἴπατε,aorist,active,impv,2,pl,aorist impv
25643,κατοικήσεις,future,active,indc,2,sg,future indc
25648,ἔσῃ,future,middle,indc,2,sg,future indc
25666,ἐκθρέψω,future,active,indc,1,sg,future indc
25697,ἀπαγγείλατε,aorist,active,impv,2,pl,aorist impv
25711,ταχύναντες,aorist,active,ptcp,,pl,aorist ptcp
