bhsa_node,french_tense
50990,passé_simp
50993,
51114,
51886,
51893,
51901,
51906,
51910,
51915,
51919,
51932,
51941,
51953,
51965,
51969,
51975,
51982,
51988,
51998,
52005,
52008,
52018,
52023,
52029,
52037,
52040,
52051,
52057,
52065,
52068,
52071,
52078,
52082,
52090,
52093,
52374,passé_simp
52530,
52573,
52580,
52586,
52595,
52604,
52617,
52622,
52627,
52637,
52643,
52678,
52711,
52722,
52734,
52745,
52771,
52778,
52798,
52810,
52817,
52821,
52825,
52832,
52838,
52849,
52856,
52888,
52892,
52896,
52903,
52917,
52984,
53000,
53011,
53016,
53021,
53030,
53132,
53136,
53142,
53179,
53185,
53190,
53203,
53255,
53300,
53306,
53313,
53320,
53330,
53392,
53406,
53411,
53417,
53424,
53434,
53484,
53538,
53554,
53568,
53580,
53588,
53596,
53606,
53612,passé_simp
53621,
53636,
53732,
53758,
53777,
53796,
53803,
53813,
53815,
53822,
53831,
53838,
53852,
53860,
53873,
53881,
53930,
53934,
53949,
53954,
53957,
53968,
53986,
53999,
54008,
54016,
54023,
54038,
54048,
54076,
54083,
54106,
54114,
54125,
54133,
54142,
54150,
54180,
54191,
54196,
54209,
54217,
54229,
54239,
54270,
54280,
54289,
54296,
54310,
54336,
54342,
54356,
54362,
54385,
54391,
54397,
54405,
54410,
54430,
54444,
54465,
54471,
54479,
54489,
54521,
54530,
54546,
54570,
54575,
54584,
54593,
54606,
54609,
54628,
54635,
54669,
54684,
54692,
54705,
54707,
54710,
54724,
54737,
54756,
54761,
54781,
54784,
54800,
54804,
54806,
54841,
54876,
54884,
54935,passé_simp
54947,
54962,
54967,
54971,
54975,
54999,
55011,
55016,
55046,
55067,
55287,
55289,
55396,
55511,
55548,
55688,
55715,
55725,
55782,
55811,
55869,
55878,
56852,
57653,
57720,
57828,
58257,
58318,
58411,
58416,
58505,
58539,
58551,
58610,
58617,
58619,
58653,
58723,
58726,
58773,
58818,
58823,
58826,
58849,
58864,
58869,
58892,
58900,
58913,
58942,
58946,
58969,
58978,
59001,
59008,
59032,
59038,
59041,
59059,
59065,
59077,
59089,
59094,
59123,
59141,
59161,
59173,
59191,
59200,
59217,
59221,
59226,
59237,
59254,passé_comp
59256,
59268,
59273,
59288,
59319,
59332,
59351,
59363,
59373,
59398,
59428,
59434,
59449,
59475,
59497,
59516,
59552,
59562,
59595,
59603,
59613,
59641,
59646,
59649,
59662,
59702,
59718,
59779,
59888,
59918,
59923,
59930,
59937,
59980,
60046,
60050,
60057,
60062,
60110,
60175,passé_comp
60180,
60183,
60225,
60230,
60240,
60253,
60257,
60274,
60278,
60312,
60332,
60342,
60344,
60355,
60361,
60366,
60371,
60379,
60387,
60412,
60416,
60423,
60454,
60473,
60482,
60492,
60499,
60532,
60540,
60563,
60571,
60579,
60595,
60657,
60665,
60672,
60685,
60698,
60703,
60713,
60746,
60754,
60774,
60787,
60796,
60802,
60810,
60844,
60865,
60921,
60954,
60997,
61005,
61011,
61025,
61029,
61063,
61086,
61097,
61104,
61113,
61124,
61128,
61137,
61157,
61173,
61177,
61187,
61197,
61216,
61220,
61238,
61254,
61303,
61319,
61330,
61347,
61360,
61381,
