,prose,prophetic,prose,poetry,instruction,prophetic,prophetic,list,poetry,prose,prose,list,instruction,prophetic,instruction,list,instruction,list
,Q,Q,N,Q,Q,N,?,N,?,D,?,?,D,D,?,Q,N,D
PRES ~ PRES PART,0.22,1.56,-11.22,1.52,2.1,-0.6,0.0,-0.31,3.09,-0.0,0.0,0.0,0.24,0.0,1.17,0.0,0.0,0.0
PAST ~ PAST PROG,-6.14,-6.37,29.69,-3.88,-1.74,3.03,-0.8,-0.41,-0.41,0.37,1.18,0.0,0.0,0.51,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-8.64,-4.17,14.23,-1.9,-1.55,5.67,0.0,2.3,-0.2,1.1,1.25,0.46,0.0,0.0,0.0,0.0,0.0,1.09
PRES ~ PRES PROG,4.84,0.88,-8.93,-0.63,1.04,-0.45,-0.15,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0
PAST ~ PRES,-1.68,-0.18,-1.87,7.52,0.0,-0.59,1.36,0.73,0.0,1.44,0.0,0.0,0.0,0.71,0.82,0.0,0.0,0.0
FUT ~ PRES,0.27,2.43,-5.23,0.0,0.3,-0.38,0.93,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,6.92,-0.29,-5.04,-1.74,-0.78,-0.39,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.0,0.21,-4.6,5.38,0.0,-0.4,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,-3.62,-2.91,13.73,-0.61,-0.39,0.9,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT going-to,2.35,1.29,-3.34,-1.18,-0.4,-0.2,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,1.57,0.66,-2.95,0.47,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,-1.83,-2.24,9.2,-0.8,-0.21,0.24,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,1.35,0.0
PRES PART ~ PRES PROG,4.94,-0.19,-2.33,-0.14,-0.21,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,-0.19,6.23,-1.89,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,-0.52,2.78,-1.47,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,-0.76,-1.07,5.44,-0.41,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,0.0,1.76,-0.85,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,0.45,0.0,-0.85,1.11,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES,1.03,-0.0,-0.87,-0.21,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,-1.4,-1.12,0.6,-0.21,0.0,0.0,0.0,5.24,0.0,0.0,1.33,3.09,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PROG,-0.14,1.62,-0.64,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-0.14,0.0,-0.16,0.22,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.53,0.14,0.0,0.22,0.45,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.15,0.36,-0.43,0.29,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.0,-0.43,0.29,1.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,0.37,-0.17,-0.45,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0
PRES PART ~ PRES PERF,-0.0,0.73,-0.45,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.0,0.21,-0.23,0.44,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PAST PROG,0.0,-0.48,0.56,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,2.12,-0.24,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.23,-0.24,-0.23,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.49,-0.24,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.0,-0.24,-0.23,0.0,2.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
