,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
PAST..IND,0.28,2.59,1.94,0.35,0.3,5.43,1.92,6.35,3.45,20.79,7.04,5.88,2.37,0.62,1.74,inf,0.09,0.2,0.4,inf,0.41,0.81
PRES.PERF.IND,7.0,0.01,0.0,3.51,4.44,0.0,0.49,0.04,0.0,0.0,0.0,0.0,0.64,2.06,0.35,0.0,8.31,5.34,7.12,0.0,0.71,0.0
PAST.PERF.IND,0.17,3.81,3.28,0.23,0.0,0.94,0.29,0.46,1.28,0.27,0.8,0.8,0.37,0.0,2.02,0.0,0.0,0.0,0.0,0.0,3.43,6.86
PRES..IND,4.72,0.02,0.04,2.34,2.7,0.0,1.75,0.13,0.0,0.0,0.0,0.0,0.66,2.47,0.0,0.0,3.07,3.07,0.0,0.0,0.0,0.0
PRES..MOD,0.44,2.33,0.99,0.36,0.0,0.87,1.35,1.38,5.14,0.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39,0.0
PAST..SUBJ,1.37,1.43,1.02,0.76,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,3.21,0.0,0.0,2.34,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,0.67,4.49,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.39,3.07,0.0,3.12,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,4.15,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
past.PERF_PROG.IND,0.0,2.55,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
