period,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH
genre,prose,prose,prose,prose,instruction,prose,poetry,list,prose,list,instruction,list,poetry,instruction,prose,list,instruction,prophetic,list,poetry,list,prose
domain2,Q,N,N,Q,Q,?,Q,N,?,?,N,N,Q,D,D,?,?,Q,Q,N,Q,D
eng_TAM,,,,,,,,,,,,,,,,,,,,,,
PAST..IND,3.3,1.75,6.94,25.3,50.2,21.22,41.16,33.13,41.79,37.23,41.16,56.34,97.86,219.54,190.13,158.28,2866.0,1432.5,954.67,357.38,1432.5,2866.0
PRES.PERF.IND,0.4,227.6,inf,6.01,9.49,inf,94.25,1142.0,inf,inf,inf,inf,189.5,102.91,570.5,inf,162.29,189.5,189.5,inf,1142.0,inf
PAST.PERF.IND,8.72,0.82,3.41,54.08,inf,35.72,164.25,109.17,49.85,219.33,81.62,109.17,329.5,inf,131.2,inf,inf,inf,inf,inf,329.5,660.0
PRES..IND,0.43,97.0,195.0,6.54,10.2,inf,31.67,391.0,inf,inf,inf,inf,195.0,77.4,inf,inf,195.0,195.0,inf,inf,inf,inf
PRES..MOD,4.0,1.11,9.0,39.0,inf,39.0,39.0,39.0,12.33,inf,inf,39.0,inf,inf,inf,inf,inf,inf,inf,inf,39.0,inf
PAST..SUBJ,1.29,1.79,8.75,18.5,inf,inf,inf,38.0,inf,inf,inf,inf,inf,38.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT..IND,0.56,inf,inf,6.0,3.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES..,2.67,0.57,inf,inf,inf,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST.PROG.IND,4.5,0.83,inf,4.5,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PROG.IND,0.43,inf,inf,2.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
past.PERF_PROG.IND,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
..,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
