esv_TAMsimp,PAST,PRES,PRES PERF,PAST PERF,PRES PART,?PAST,TO INF,FUT,PAST PROG,?PRES,MOD would,?VB,MOD could,?TO INF,IMPV,?FUT,PRES PROG,??PAST,?PRES PERF,?PAST did not,?PAST wh-question,MOD let,MOD may,MOD must,?PAST question,MOD can,MOD might,?PAST do-support,PRES PERF PROG,?MOD would,MOD is to,??VB,PAST PERF PROG
PAST,0.05,249.49,286.15,90.26,82.5,195.22,172.13,1961.17,469.92,3923.33,3923.33,1961.17,1307.11,3923.33,3923.33,5885.5,inf,11772.0,11772.0,5885.5,11772.0,inf,inf,11772.0,inf,inf,inf,11772.0,inf,inf,inf,inf,11772.0
PRES PERF,3.18,10.42,0.68,73.25,73.25,296.0,147.5,58.4,296.0,147.5,inf,296.0,inf,inf,inf,inf,296.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,296.0,inf,inf,inf,296.0,inf,inf
PRES,6.94,0.52,15.4,inf,81.0,inf,122.0,15.4,inf,40.0,inf,122.0,inf,245.0,inf,245.0,60.5,inf,inf,inf,inf,inf,245.0,245.0,inf,122.0,inf,inf,inf,inf,inf,inf,inf
?PAST,1.81,59.0,inf,179.0,35.0,0.76,inf,inf,inf,inf,inf,179.0,inf,179.0,89.0,inf,inf,179.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,1.11,inf,inf,1.04,36.33,inf,111.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,0.65,80.0,80.0,inf,2.12,80.0,80.0,inf,inf,inf,inf,inf,inf,inf,80.0,80.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES,6.25,3.14,inf,inf,13.5,inf,28.0,28.0,inf,1.23,inf,inf,inf,inf,inf,28.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would,13.0,13.0,inf,inf,inf,inf,inf,13.0,inf,inf,0.27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,3.67,13.0,13.0,inf,inf,inf,0.56,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,3.0,inf,11.0,inf,inf,5.0,inf,inf,inf,11.0,inf,1.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,2.33,9.0,inf,inf,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.0,2.33,9.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,3.0,inf,inf,inf,7.0,inf,inf,inf,0.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,2.0,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not,0.5,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,2.0,inf
?PAST wh-question,inf,inf,inf,inf,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,inf,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf
PRES PERF PROG,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
?TO INF,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
