genre,prophetic,prose,prose,poetry,instruction,poetry,prophetic,prophetic,prose,list,poetry,instruction,prose,list,instruction,prophetic,instruction,list,list,poetry
domain2,Q,Q,N,Q,Q,?,N,?,?,N,D,D,D,?,N,D,?,Q,D,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
PRES,0.04,-0.06,-0.26,0.2,0.04,0.06,-0.02,0.01,0.0,-0.02,0.02,0.0,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.0,0.0
PAST,-0.14,-0.13,0.35,-0.11,-0.04,-0.04,0.02,-0.01,0.03,0.03,-0.01,-0.01,0.01,0.02,0.01,0.0,-0.0,0.0,0.0,0.0
PRES PART,-0.08,-0.03,0.12,-0.02,-0.01,0.0,0.02,-0.01,-0.01,0.0,-0.0,0.0,0.02,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PROG,0.1,0.27,-0.19,-0.14,0.07,-0.04,-0.02,-0.01,-0.02,-0.01,-0.01,0.03,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PART,0.07,0.05,-0.14,0.02,0.03,0.01,-0.0,-0.0,-0.02,-0.0,-0.01,-0.01,0.0,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
FUT,0.39,0.07,-0.19,-0.09,-0.04,-0.04,-0.02,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PROG,0.09,0.28,-0.19,-0.12,0.03,-0.03,-0.01,0.01,-0.02,-0.01,-0.01,0.0,-0.01,-0.01,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
PAST PROG,-0.2,-0.16,0.51,-0.15,-0.05,-0.04,0.09,-0.01,0.03,-0.0,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PROG,-0.19,-0.13,0.52,-0.15,-0.05,-0.04,0.08,-0.02,0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PART,-0.16,-0.17,0.37,-0.13,-0.05,-0.04,0.12,0.0,0.01,0.04,-0.01,-0.01,0.02,0.01,-0.0,-0.0,-0.0,-0.0,0.01,-0.0
PAST ~ PRES,-0.02,-0.06,-0.11,0.19,-0.02,-0.04,-0.02,0.05,-0.01,0.02,-0.01,-0.01,0.03,-0.01,-0.0,0.01,0.01,-0.0,-0.0,-0.0
FUT ~ PRES,0.19,0.11,-0.19,-0.07,0.01,-0.04,-0.02,0.04,-0.01,-0.01,-0.01,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD shall,-0.04,0.43,-0.19,-0.15,-0.05,-0.04,-0.02,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
PRES ~ PRES PERF,0.04,0.07,-0.19,0.17,-0.01,-0.01,-0.02,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.21,-0.16,0.66,-0.12,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
TO INF,0.31,-0.01,-0.07,-0.1,-0.05,0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF,0.12,0.31,-0.19,-0.08,-0.05,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,-0.2,-0.17,0.59,-0.12,-0.05,-0.04,0.06,0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT going-to,0.16,0.31,-0.19,-0.15,-0.05,-0.04,-0.02,0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PRES PERF,0.1,0.26,-0.19,-0.02,-0.02,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PROG,0.46,0.0,-0.19,-0.11,-0.05,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ PRES PROG,-0.12,0.48,-0.19,-0.11,0.02,-0.04,0.01,-0.02,-0.01,-0.01,-0.01,0.03,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.22,-0.15,0.58,-0.15,-0.05,-0.04,0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.03,0.03,-0.0,-0.0,-0.0,-0.0,-0.0
