bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
35,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,WayX,wayq,Main,N,,,,,
82,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,WYq0,yqtl,Main,Q
89,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,ZYqX,yqtl,Main,Q,,,,,
143,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,וְתֵרָאֶ֖ה הַיַּבָּשָׁ֑ה ,WYqX,yqtl,Main,Q
154,יִקָּו֨וּ הַמַּ֜יִם מִתַּ֤חַת הַשָּׁמַ֨יִם֙ אֶל־מָקֹ֣ום אֶחָ֔ד ,ZYqX,yqtl,Main,Q,,,,,
182,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,מַזְרִ֣יעַ זֶ֔רַע ,Ptcp,ptcp,SubMod,Q
239,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,InfC,infc,SubAdv,Q
363,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וְעֹוף֙ יְעֹופֵ֣ף עַל־הָאָ֔רֶץ עַל־פְּנֵ֖י רְקִ֥יעַ הַשָּׁמָֽיִם׃ ,WXYq,yqtl,Main,Q
371,יִשְׁרְצ֣וּ הַמַּ֔יִם שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה ,ZYqX,yqtl,Main,Q,,,,,
434,פְּר֣וּ ,ZIm0,impv,Main,Q,,,,,
449,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,WayX,wayq,Main,N,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,Ellp,Ø,Main,Q
498,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,WayX,wayq,Main,N,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,WYq0,yqtl,Main,Q
505,נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ כִּדְמוּתֵ֑נוּ ,ZYq0,yqtl,Main,Q,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,Ptcp,ptcp,SubMod,Q
619,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ ,xQt0,qtl,Main,Q,,,,,
751,בְּיֹ֗ום ,CPen,Ø,Main,N,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,WXYq,yqtl,Main,D
761,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,WXYq,yqtl,Main,D,כִּי֩ לֹ֨א הִמְטִ֜יר יְהוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ ,xQtX,qtl,SubAdv,D
780,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,WXYq,yqtl,Main,D,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,WQt0,wqtl,Main,D
876,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,Ptcp,ptcp,Main,N,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,WQt0,wqtl,Main,D
977,לֵאמֹ֑ר ,InfC,infc,SubAdv,N,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,CPen,Ø,Main,Q
987,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,CPen,Ø,Main,Q,כִּ֗י בְּיֹ֛ום ,Defc,Ø,SubAdv,Q
995,כִּ֗י בְּיֹ֛ום ,Defc,Ø,SubAdv,Q,,,,,
1007,לֹא־טֹ֛וב ,AjCl,Ø,Main,Q,,,,,
1037,לִרְאֹ֖ות ,InfC,infc,SubAdv,N,,,,,
1042,וְכֹל֩ ,CPen,Ø,Main,N,,,,,
1132,זֹ֣את הַפַּ֗עַם עֶ֚צֶם מֵֽעֲצָמַ֔י וּבָשָׂ֖ר מִבְּשָׂרִ֑י ,NmCl,Ø,Main,Q,כִּ֥י מֵאִ֖ישׁ לֻֽקֳחָה־זֹּֽאת׃ ,xQtX,qtl,SubAdv,Q
1141,וַיֹּאמֶר֮ הָֽאָדָם֒ ,WayX,wayq,Main,N,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,WQt0,wqtl,Main,D
1167,וַיִּֽהְי֤וּ שְׁנֵיהֶם֙ עֲרוּמִּ֔ים הָֽאָדָ֖ם וְאִשְׁתֹּ֑ו ,WayX,wayq,Main,N,,,,,
1192,אַ֚ף כִּֽי־אָמַ֣ר אֱלֹהִ֔ים ,xQtX,qtl,Main,Q,,,,,
1210,וַתֹּ֥אמֶר הָֽאִשָּׁ֖ה אֶל־הַנָּחָ֑שׁ ,WayX,wayq,Main,N,וּמִפְּרִ֣י הָעֵץ֮ ,CPen,Ø,Main,Q
1224,וּמִפְּרִ֣י הָעֵץ֮ ,CPen,Ø,Main,Q,וְלֹ֥א תִגְּע֖וּ בֹּ֑ו ,WxY0,yqtl,Main,Q
1228,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,xYq0,yqtl,Main,Q,,,,,
1231,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,xYq0,yqtl,Main,Q,,,,,
1241,וַיֹּ֥אמֶר הַנָּחָ֖שׁ אֶל־הָֽאִשָּׁ֑ה ,WayX,wayq,Main,N,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים ,Ptcp,ptcp,SubAdv,Q
1449,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,Ptcp,ptcp,Main,Q,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,WxY0,yqtl,Main,Q
1452,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ ,xYq0,yqtl,Main,Q,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,WxY0,yqtl,Main,Q
1458,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,WxY0,yqtl,Main,Q,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,XYqt,yqtl,Main,Q
1471,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,WxY0,yqtl,Main,Q,וְאַתָּ֖ה תְּשׁוּפֶ֥נּוּ עָקֵֽב׃ ס ,WXYq,yqtl,Main,Q
1475,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,XYqt,yqtl,Main,Q,,,,,
1482,אֶֽל־הָאִשָּׁ֣ה אָמַ֗ר ,xQt0,qtl,Main,N,בְּעֶ֖צֶב תֵּֽלְדִ֣י בָנִ֑ים ,xYq0,yqtl,Main,Q
1488,הַרְבָּ֤ה אַרְבֶּה֙ עִצְּבֹונֵ֣ךְ וְהֵֽרֹנֵ֔ךְ ,xYq0,yqtl,Main,Q,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,NmCl,Ø,Main,Q
1496,וְאֶל־אִישֵׁךְ֙ תְּשׁ֣וּקָתֵ֔ךְ ,NmCl,Ø,Main,Q,,,,,
1517,לֵאמֹ֔ר ,InfC,infc,SubAdv,Q,,,,,
1526,אֲרוּרָ֤ה הָֽאֲדָמָה֙ בַּֽעֲבוּרֶ֔ךָ ,Ptcp,ptcp,Main,Q,וְקֹ֥וץ וְדַרְדַּ֖ר תַּצְמִ֣יחַֽ לָ֑ךְ ,WxY0,yqtl,Main,Q
1534,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,xYq0,yqtl,Main,Q,,,,,
1545,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,xYq0,yqtl,Main,Q,עַ֤ד שֽׁוּבְךָ֙ אֶל־הָ֣אֲדָמָ֔ה ,InfC,infc,SubAdv,Q
1561,כִּֽי־עָפָ֣ר אַ֔תָּה ,NmCl,Ø,SubAdv,Q,,,,,
1607,וְעַתָּ֣ה׀ ,MSyn,Ø,Main,Q,וְלָקַח֙ גַּ֚ם מֵעֵ֣ץ הַֽחַיִּ֔ים ,WQt0,wqtl,Main,Q
1769,שְׂאֵ֔ת ,NmCl,Ø,Main,Q,,,,,
1774,הֲלֹ֤וא ,Defc,Ø,Main,Q,לַפֶּ֖תַח חַטָּ֣את רֹבֵ֑ץ ,Ptcp,ptcp,Main,Q
1785,וְאֵלֶ֨יךָ֙ תְּשׁ֣וּקָתֹ֔ו ,NmCl,Ø,Main,Q,,,,,
1855,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,Ptcp,ptcp,Main,Q,לֹֽא־תֹסֵ֥ף ,xYq0,yqtl,Main,Q
1860,כִּ֤י תַֽעֲבֹד֙ אֶת־הָ֣אֲדָמָ֔ה ,xYq0,yqtl,SubAdv,Q,תֵּת־כֹּחָ֖הּ לָ֑ךְ ,InfC,infc,SubArg,Q
1867,אָר֣וּר אָ֑תָּה מִן־הָֽאֲדָמָה֙ ,Ptcp,ptcp,Main,Q,,,,,
1893,הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה ,xQt0,qtl,Main,Q,וְהָיִ֜יתִי נָ֤ע וָנָד֙ בָּאָ֔רֶץ ,WQt0,wqtl,Main,Q
1906,כָל־,Defc,Ø,Main,Q,,,,,
1916,לָכֵן֙ כָּל־,Defc,Ø,Main,Q,,,,,
2069,כִּ֣י אִ֤ישׁ הָרַ֨גְתִּי֙ לְפִצְעִ֔י ,xQt0,qtl,SubAdv,Q,וְלֶ֖מֶךְ שִׁבְעִ֥ים וְשִׁבְעָֽה׃ ,Ellp,Ø,SubAdv,Q
2536,לֵאמֹ֑ר ,InfC,infc,SubAdv,N,אֲשֶׁ֥ר אֵֽרְרָ֖הּ יְהוָֽה׃ ,xQtX,qtl,SubMod,Q
2641,וַיֹּ֣אמֶר יְהוָ֗ה ,WayX,wayq,Main,N,בְּשַׁגַּ֖ם ה֣וּא בָשָׂ֑ר ,NmCl,Ø,SubAdv,Q
2676,הַנְּפִלִ֞ים הָי֣וּ בָאָרֶץ֮ בַּיָּמִ֣ים הָהֵם֒ ,XQtl,qtl,Main,N,וְיָלְד֖וּ לָהֶ֑ם ,WQt0,wqtl,Main,D
2735,וַיֹּ֣אמֶר יְהוָ֗ה ,WayX,wayq,Main,N,אֲשֶׁר־בָּרָ֨אתִי֙ ,xQt0,qtl,SubMod,Q
2856,עֲשֵׂ֤ה לְךָ֙ תֵּבַ֣ת עֲצֵי־גֹ֔פֶר ,ZIm0,impv,Main,Q,וְכָֽפַרְתָּ֥ אֹתָ֛הּ מִבַּ֥יִת וּמִח֖וּץ בַּכֹּֽפֶר׃ ,WQt0,wqtl,Main,Q
2874,וְזֶ֕ה ,NmCl,Ø,Main,Q,,,,,
2890,קִנִּ֖ים תַּֽעֲשֶׂ֣ה אֶת־הַתֵּבָ֑ה ,xYq0,yqtl,Main,Q,וְאֶל־אַמָּה֙ תְּכַלֶ֣נָּה מִלְמַ֔עְלָה ,WxY0,yqtl,Main,Q
2897,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,xYq0,yqtl,Main,Q,,,,,
2907,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,xYq0,yqtl,Main,Q,,,,,
2912,צֹ֣הַר׀ תַּֽעֲשֶׂ֣ה לַתֵּבָ֗ה ,xYq0,yqtl,Main,Q,,,,,
2941,כֹּ֥ל ,Defc,Ø,Main,Q,,,,,
2972,וּמִכָּל־הָ֠חַי מִֽכָּל־בָּשָׂ֞ר ,CPen,Ø,Main,Q,לְהַחֲיֹ֣ת אִתָּ֑ךְ ,InfC,infc,SubAdv,Q
2982,שְׁנַ֧יִם מִכֹּ֛ל תָּבִ֥יא אֶל־הַתֵּבָ֖ה ,xYq0,yqtl,Main,Q,,,,,
3004,מֵהָעֹ֣וף לְמִינֵ֗הוּ וּמִן־הַבְּהֵמָה֙ לְמִינָ֔הּ מִכֹּ֛ל רֶ֥מֶשׂ הָֽאֲדָמָ֖ה לְמִינֵ֑הוּ ,CPen,Ø,Main,Q,לְהַֽחֲיֹֽות׃ ,InfC,infc,SubAdv,Q
3016,וְאַתָּ֣ה קַח־לְךָ֗ מִכָּל־מַֽאֲכָל֙ ,WXIm,impv,Main,Q,,,,,
3068,בֹּֽא־אַתָּ֥ה וְכָל־בֵּיתְךָ֖ אֶל־הַתֵּבָ֑ה ,ZImX,impv,Main,Q,וּמִן־הַבְּהֵמָ֡ה ,Ellp,Ø,Main,Q
3983,וַיֹּ֨אמֶר יְהוָ֜ה אֶל־לִבֹּ֗ו ,WayX,wayq,Main,N,לְקַלֵּ֨ל עֹ֤וד אֶת־הָֽאֲדָמָה֙ בַּעֲב֣וּר הָֽאָדָ֔ם ,InfC,infc,SubAdv,Q
4004,לֹֽא־אֹ֠סִף ,xYq0,yqtl,Main,Q,לְהַכֹּ֥ות אֶת־כָּל־חַ֖י ,InfC,infc,SubAdv,Q
4035,לֹֽא־אֹ֠סִף ,xYq0,yqtl,Main,Q,,,,,
4059,פְּר֥וּ ,ZIm0,impv,Main,Q,בְּכֹל֩ ,NmCl,Ø,Main,Q
4074,בְּכֹל֩ ,NmCl,Ø,Main,Q,,,,,
4092,כָּל־רֶ֨מֶשׂ֙ ,Defc,Ø,Main,Q,,,,,
4108,כָּל־רֶ֨מֶשׂ֙ ,Defc,Ø,Main,Q,וְאַ֨ךְ אֶת־דִּמְכֶ֤ם לְנַפְשֹֽׁתֵיכֶם֙ אֶדְרֹ֔שׁ ,WxY0,yqtl,Main,Q
4115,אַךְ־בָּשָׂ֕ר בְּנַפְשֹׁ֥ו דָמֹ֖ו לֹ֥א תֹאכֵֽלוּ׃ ,xYq0,yqtl,Main,Q,,,,,
4120,אַךְ־בָּשָׂ֕ר בְּנַפְשֹׁ֥ו דָמֹ֖ו לֹ֥א תֹאכֵֽלוּ׃ ,xYq0,yqtl,Main,Q,וּמִיַּ֣ד הָֽאָדָ֗ם מִיַּד֙ אִ֣ישׁ אָחִ֔יו אֶדְרֹ֖שׁ אֶת־נֶ֥פֶשׁ הָֽאָדָֽם׃ ,WxY0,yqtl,Main,Q
4130,מִיַּ֥ד כָּל־חַיָּ֖ה אֶדְרְשֶׁ֑נּוּ ,xYq0,yqtl,Main,Q,שֹׁפֵךְ֙ דַּ֣ם הָֽאָדָ֔ם ,CPen,Ø,Main,Q
4143,שֹׁפֵךְ֙ דַּ֣ם הָֽאָדָ֔ם ,CPen,Ø,Main,Q,כִּ֚י בְּצֶ֣לֶם אֱלֹהִ֔ים עָשָׂ֖ה אֶת־הָאָדָֽם׃ ,xQt0,qtl,SubAdv,Q
4224,וַהֲקִמֹתִ֤י אֶת־בְּרִיתִי֙ אִתְּכֶ֔ם ,WQt0,wqtl,Main,Q,וְלֹֽא־יִהְיֶ֥ה עֹ֛וד מַבּ֖וּל ,WxYX,yqtl,Main,Q
4234,וְלֹֽא־יִכָּרֵ֧ת כָּל־בָּשָׂ֛ר עֹ֖וד מִמֵּ֣י הַמַּבּ֑וּל ,WxYX,yqtl,Main,Q,לְשַׁחֵ֥ת הָאָֽרֶץ׃ ,InfC,infc,SubAdv,Q
4313,וְזָכַרְתִּ֣י אֶת־בְּרִיתִ֗י ,WQt0,wqtl,Main,Q,לְשַׁחֵ֖ת כָּל־בָּשָֽׂר׃ ,InfC,infc,SubAdv,Q
4486,אָר֣וּר כְּנָ֑עַן ,Ptcp,ptcp,Main,Q,,,,,
4496,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,Ptcp,ptcp,Main,Q,,,,,
4500,בָּר֥וּךְ יְהֹוָ֖ה אֱלֹ֣הֵי שֵׁ֑ם ,Ptcp,ptcp,Main,Q,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,WYq0,yqtl,Main,Q
4505,יַ֤פְתְּ אֱלֹהִים֙ לְיֶ֔פֶת ,ZYqX,yqtl,Main,Q,וִיהִ֥י כְנַ֖עַן עֶ֥בֶד לָֽמֹו׃ ,WYqX,yqtl,Main,Q
4510,וְיִשְׁכֹּ֖ן בְּאָֽהֳלֵי־שֵׁ֑ם ,WYq0,yqtl,Main,Q,,,,,
4652,הֽוּא־הָיָ֥ה גִבֹּֽר־צַ֖יִד לִפְנֵ֣י יְהוָ֑ה ,XQtl,qtl,Main,?,כְּנִמְרֹ֛ד גִּבֹּ֥ור צַ֖יִד לִפְנֵ֥י יְהוָֽה׃ ,NmCl,Ø,Main,Q
4997,הָ֚בָה ,ZIm0,impv,Main,Q,וְנִשְׂרְפָ֖ה לִשְׂרֵפָ֑ה ,WYq0,yqtl,Main,Q
5000,נִלְבְּנָ֣ה לְבֵנִ֔ים ,ZYq0,yqtl,Main,Q,,,,,
5021,הָ֣בָה׀ ,ZIm0,impv,Main,Q,וְרֹאשֹׁ֣ו בַשָּׁמַ֔יִם ,NmCl,Ø,Main,Q
5032,נִבְנֶה־לָּ֣נוּ עִ֗יר וּמִגְדָּל֙ ,ZYq0,yqtl,Main,Q,,,,,
5036,נִבְנֶה־לָּ֣נוּ עִ֗יר וּמִגְדָּל֙ ,ZYq0,yqtl,Main,Q,,,,,
5078,וְזֶ֖ה ,NmCl,Ø,Main,Q,אֲשֶׁ֥ר יָזְמ֖וּ ,xYq0,yqtl,SubMod,Q
5082,וְעַתָּה֙ לֹֽא־יִבָּצֵ֣ר מֵהֶ֔ם כֹּ֛ל ,WxYX,yqtl,Main,Q,לַֽעֲשֹֽׂות׃ ,InfC,infc,SubAdv,Q
5086,הָ֚בָה ,ZIm0,impv,Main,Q,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,WYq0,yqtl,Main,Q
5088,נֵֽרְדָ֔ה ,ZYq0,yqtl,Main,Q,אֲשֶׁר֙ לֹ֣א יִשְׁמְע֔וּ ,xYq0,yqtl,SubAdv,Q
5093,וְנָבְלָ֥ה שָׁ֖ם שְׂפָתָ֑ם ,WYq0,yqtl,Main,Q,אִ֖ישׁ שְׂפַ֥ת רֵעֵֽהוּ׃ ,Ellp,Ø,SubAdv,Q
5504,לֶךְ־לְךָ֛ מֵאַרְצְךָ֥ וּמִמֹּֽולַדְתְּךָ֖ וּמִבֵּ֣ית אָבִ֑יךָ אֶל־הָאָ֖רֶץ ,ZIm0,impv,Main,Q,,,,,
5506,לֶךְ־לְךָ֛ מֵאַרְצְךָ֥ וּמִמֹּֽולַדְתְּךָ֖ וּמִבֵּ֣ית אָבִ֑יךָ אֶל־הָאָ֖רֶץ ,ZIm0,impv,Main,Q,וַאֲבָ֣רֶכְךָ֔ ,WYq0,yqtl,Main,Q
5511,וְאֶֽעֶשְׂךָ֙ לְגֹ֣וי גָּדֹ֔ול ,WYq0,yqtl,Main,Q,וַאֲגַדְּלָ֖ה שְׁמֶ֑ךָ ,WYq0,yqtl,Main,Q
5513,וַאֲבָ֣רֶכְךָ֔ ,WYq0,yqtl,Main,Q,,,,,
5519,וֶהְיֵ֖ה בְּרָכָֽה׃ ,WIm0,impv,Main,Q,וּמְקַלֶּלְךָ֖ אָאֹ֑ר ,WxY0,yqtl,Main,Q
5523,וַאֲבָֽרֲכָה֙ מְבָ֣רְכֶ֔יךָ ,WYq0,yqtl,Main,Q,,,,,
5618,וַיֹּ֕אמֶר ,Way0,wayq,Main,N,,,,,
5717,וְהָיָ֗ה ,WQt0,wqtl,Main,Q,,,,,
5730,וְהָרְג֥וּ אֹתִ֖י ,WQt0,wqtl,Main,Q,,,,,
5736,אִמְרִי־נָ֖א ,ZIm0,impv,Main,Q,וְחָיְתָ֥ה נַפְשִׁ֖י בִּגְלָלֵֽךְ׃ ,WQtX,wqtl,Main,Q
6002,וַיֹּ֨אמֶר אַבְרָ֜ם אֶל־לֹ֗וט ,WayX,wayq,Main,N,כִּֽי־אֲנָשִׁ֥ים אַחִ֖ים אֲנָֽחְנוּ׃ ,NmCl,Ø,SubAdv,Q
6032,אִם־הַשְּׂמֹ֣אל ,Ellp,Ø,SubAdv,Q,,,,,
6038,וְאִם־הַיָּמִ֖ין ,Ellp,Ø,SubAdv,Q,,,,,
6153,כִּ֧י אֶת־כָּל־הָאָ֛רֶץ ,CPen,Ø,SubAdv,Q,וּֽלְזַרְעֲךָ֖ עַד־עֹולָֽם׃ ,Ellp,Ø,Main,Q
6169,גַּֽם־זַרְעֲךָ֖ יִמָּנֶֽה׃ ,XYqt,yqtl,SubMod,Q,לִמְנֹות֙ אֶת־עֲפַ֣ר הָאָ֔רֶץ ,InfC,infc,SubArg,Q
6179,אֲשֶׁ֣ר׀ ,Defc,Ø,SubMod,Q,אִם־יוּכַ֣ל אִ֗ישׁ ,xYqX,yqtl,SubAdv,Q
6192,הִתְהַלֵּ֣ךְ בָּאָ֔רֶץ לְאָרְכָּ֖הּ וּלְרָחְבָּ֑הּ ,ZIm0,impv,Main,Q,,,,,
6638,אִם־מִחוּט֙ וְעַ֣ד שְׂרֹֽוךְ־נַ֔עַל ,Ellp,Ø,SubAdv,Q,אֲשֶׁר־לָ֑ךְ ,NmCl,Ø,SubMod,Q
6645,אִם־מִחוּט֙ וְעַ֣ד שְׂרֹֽוךְ־נַ֔עַל ,Ellp,Ø,SubAdv,Q,אֲנִ֖י הֶעֱשַׁ֥רְתִּי אֶת־אַבְרָֽם׃ ,XQtl,qtl,Main,Q
6668,וְחֵ֨לֶק֙ הָֽאֲנָשִׁ֔ים ,NmCl,Ø,SubAdv,Q,,,,,
6686,לֵאמֹ֑ר ,InfC,infc,SubAdv,?,אַבְרָ֗ם ,Voct,Ø,Main,Q
6700,אֲדֹנָ֤י יֱהוִה֙ ,Voct,Ø,Main,Q,וְאָנֹכִ֖י הֹולֵ֣ךְ עֲרִירִ֑י ,Ptcp,ptcp,Main,Q
6735,לֵאמֹ֔ר ,InfC,infc,SubAdv,N,כִּי־אִם֙ ,CPen,Ø,SubAdv,Q
6740,כִּי־אִם֙ ,CPen,Ø,SubAdv,Q,,,,,
6744,כִּי־אִם֙ ,CPen,Ø,SubAdv,Q,,,,,
6761,הַבֶּט־נָ֣א הַשָּׁמַ֗יְמָה ,ZIm0,impv,Main,Q,לִסְפֹּ֣ר אֹתָ֑ם ,InfC,infc,SubArg,Q
6769,וַיֹּ֣אמֶר לֹ֔ו ,Way0,wayq,Main,N,,,,,
6805,אֲדֹנָ֣י יֱהוִ֔ה ,Voct,Ø,Main,Q,כִּ֥י אִֽירָשֶֽׁנָּה׃ ,xYq0,yqtl,SubArg,Q
6807,בַּמָּ֥ה אֵדַ֖ע ,xYq0,yqtl,Main,Q,,,,,
6884,וַיֹּ֣אמֶר לְאַבְרָ֗ם ,Way0,wayq,Main,N,כִּי־גֵ֣ר׀ יִהְיֶ֣ה זַרְעֲךָ֗ בְּאֶ֨רֶץ֙ ,xYqX,yqtl,SubArg,Q
6887,יָדֹ֨עַ תֵּדַ֜ע ,xYq0,yqtl,Main,Q,לֹ֣א לָהֶ֔ם ,NmCl,Ø,SubMod,Q
6907,וְגַ֧ם אֶת־הַגֹּ֛וי ,Defc,Ø,Main,Q,,,,,
6913,וְגַ֧ם אֶת־הַגֹּ֛וי ,Defc,Ø,Main,Q,,,,,
6919,יָדֹ֨עַ תֵּדַ֜ע ,xYq0,yqtl,Main,Q,תִּקָּבֵ֖ר בְּשֵׂיבָ֥ה טֹובָֽה׃ ,ZYq0,yqtl,Main,Q
6924,וְאַתָּ֛ה תָּבֹ֥וא אֶל־אֲבֹתֶ֖יךָ בְּשָׁלֹ֑ום ,WXYq,yqtl,Main,Q,,,,,
6931,וְאַתָּ֛ה תָּבֹ֥וא אֶל־אֲבֹתֶ֖יךָ בְּשָׁלֹ֑ום ,WXYq,yqtl,Main,Q,כִּ֧י לֹא־שָׁלֵ֛ם עֲוֹ֥ן הָאֱמֹרִ֖י עַד־הֵֽנָּה׃ ,AjCl,Ø,SubAdv,Q
7062,בֹּא־נָא֙ אֶל־שִׁפְחָתִ֔י ,ZIm0,impv,Main,Q,,,,,
7134,חֲמָסִ֣י עָלֶיךָ֒ ,NmCl,Ø,Main,Q,,,,,
7189,אֵֽי־מִזֶּ֥ה בָ֖את ,xQt0,qtl,Main,Q,,,,,
7216,וַיֹּ֤אמֶר לָהּ֙ מַלְאַ֣ךְ יְהוָ֔ה ,WayX,wayq,Main,N,וְלֹ֥א יִסָּפֵ֖ר מֵרֹֽב׃ ,WxY0,yqtl,Main,Q
7221,הַרְבָּ֥ה אַרְבֶּ֖ה אֶת־זַרְעֵ֑ךְ ,xYq0,yqtl,Main,Q,,,,,
7245,וְקָרָ֤את שְׁמֹו֙ יִשְׁמָעֵ֔אל ,WQt0,wqtl,Main,Q,יָדֹ֣ו בַכֹּ֔ל ,NmCl,Ø,Main,Q
7261,וְה֤וּא יִהְיֶה֙ פֶּ֣רֶא אָדָ֔ם ,WXYq,yqtl,Main,Q,,,,,
7351,הִתְהַלֵּ֥ךְ לְפָנַ֖י ,ZIm0,impv,Main,Q,וְאַרְבֶּ֥ה אֹותְךָ֖ בִּמְאֹ֥ד מְאֹֽד׃ ,WYq0,yqtl,Main,Q
7357,וְאֶתְּנָ֥ה בְרִיתִ֖י בֵּינִ֣י וּבֵינֶ֑ךָ ,WYq0,yqtl,Main,Q,,,,,
7385,וְהָיִ֕יתָ לְאַ֖ב הֲמֹ֥ון גֹּויִֽם׃ ,WQt0,wqtl,Main,Q,וְהָיָ֤ה שִׁמְךָ֙ אַבְרָהָ֔ם ,WQtX,wqtl,Main,Q
7412,וּנְתַתִּ֖יךָ לְגֹויִ֑ם ,WQt0,wqtl,Main,Q,,,,,
7469,וַיֹּ֤אמֶר אֱלֹהִים֙ אֶל־אַבְרָהָ֔ם ,WayX,wayq,Main,N,זֹ֣את בְּרִיתִ֞י ,NmCl,Ø,Main,Q
7479,זֹ֣את בְּרִיתִ֞י ,NmCl,Ø,Main,Q,,,,,
7508,הִמֹּ֥ול לָכֶ֖ם כָּל־זָכָֽר׃ ,InfA,infa,Main,Q,אֲשֶׁ֛ר לֹ֥א מִֽזַּרְעֲךָ֖ הֽוּא׃ ,NmCl,Ø,SubMod,Q
