bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
323966,וַיִּתֵּ֣ן לֶחָסִ֣יל יְבוּלָ֑ם ,Way0,wayq,Main,Q,וְ֝שִׁקְמֹותָ֗ם בַּֽחֲנָמַֽל׃ ,Ellp,Ø,Main,Q
323987,וַיַּסְגֵּ֣ר לַבָּרָ֣ד בְּעִירָ֑ם ,Way0,wayq,Main,Q,יְפַלֵּ֥ס נָתִ֗יב לְאַ֫פֹּ֥ו ,ZYq0,yqtl,Main,Q
323999,יְשַׁלַּח־בָּ֨ם׀ חֲרֹ֬ון אַפֹּ֗ו עֶבְרָ֣ה וָזַ֣עַם וְצָרָ֑ה מִ֝שְׁלַ֗חַת מַלְאֲכֵ֥י רָעִֽים׃ ,ZYq0,yqtl,Main,Q,לֹא־חָשַׂ֣ךְ מִמָּ֣וֶת נַפְשָׁ֑ם ,xQt0,qtl,Main,Q
324105,וַיַּכְעִיס֥וּהוּ בְּבָמֹותָ֑ם ,Way0,wayq,Main,Q,,,,,
324160,כֹּ֭הֲנָיו בַּחֶ֣רֶב נָפָ֑לוּ ,XQtl,qtl,Main,Q,,,,,
324242,וַ֭יִּרְעֵם כְּתֹ֣ם לְבָבֹ֑ו ,Way0,wayq,Main,Q,,,,,
324296,עַד־מָ֣ה ,NmCl,Ø,Main,Q,תִּבְעַ֥ר כְּמֹו־אֵ֝֗שׁ קִנְאָתֶֽךָ׃ ,ZYqX,yqtl,Main,Q
324299,תֶּאֱנַ֣ף לָנֶ֑צַח ,ZYq0,yqtl,Main,Q,,,,,
324328,שְׁפֹ֤ךְ חֲמָתְךָ֨ אֶֽל־הַגֹּויִם֮ ,ZIm0,impv,Main,Q,מַ֭הֵר ,ZIm0,impv,Main,Q
324333,מַ֭הֵר ,ZIm0,impv,Main,Q,כִּ֖י דַלֹּ֣ונוּ מְאֹֽד׃ ,xQt0,qtl,SubAdv,Q
324354,עָזְרֵ֤נוּ׀ ,ZIm0,impv,Main,Q,אַיֵּ֪ה אֱֽלֹהֵ֫יהֶ֥ם ,NmCl,Ø,Main,Q
324359,לָ֤מָּה׀ יֹאמְר֣וּ הַגֹּויִם֮ ,xYqX,yqtl,Main,Q,הַשָּׁפֽוּךְ׃ ,Ptcp,ptcp,SubMod,Q
324370,יִוָּדַ֣ע בַּגֹּויִ֣ם לְעֵינֵ֑ינוּ נִ֝קְמַ֗ת דַּֽם־עֲבָדֶ֥יךָ ,ZYqX,yqtl,Main,Q,,,,,
324398,וְהָ֘שֵׁ֤ב לִשְׁכֵנֵ֣ינוּ שִׁ֭בְעָתַיִם אֶל־חֵיקָ֑ם חֶרְפָּ֘תָ֤ם ,WIm0,impv,Main,Q,נְ֝סַפֵּ֗ר תְּהִלָּתֶֽךָ׃ ,ZYq0,yqtl,Main,Q
324406,וַאֲנַ֤חְנוּ עַמְּךָ֨׀ וְצֹ֥אן מַרְעִיתֶךָ֮ נֹ֤ודֶ֥ה לְּךָ֗ לְעֹ֫ולָ֥ם לְדֹ֥ר וָדֹ֑ר ,WXYq,yqtl,Main,Q,,,,,
324450,וְהָאֵ֥ר פָּ֝נֶ֗יךָ ,WIm0,impv,Main,Q,,,,,
324468,וַ֝תַּשְׁקֵ֗מֹו בִּדְמָעֹ֥ות שָׁלִֽישׁ׃ ,Way0,wayq,Main,Q,וְ֝אֹיְבֵ֗ינוּ יִלְעֲגוּ־לָֽמֹו׃ ,WXYq,yqtl,Main,Q
324474,תְּשִׂימֵ֣נוּ מָ֭דֹון לִשְׁכֵנֵ֑ינוּ ,ZYq0,yqtl,Main,Q,,,,,
324483,וְהָאֵ֥ר פָּ֝נֶ֗יךָ ,WIm0,impv,Main,Q,,,,,
324487,אֱלֹהִ֣ים צְבָאֹ֣ות ,Voct,Ø,Main,Q,תְּגָרֵ֥שׁ גֹּ֝ויִ֗ם ,ZYq0,yqtl,Main,Q
324488,גֶּ֭פֶן מִמִּצְרַ֣יִם תַּסִּ֑יעַ ,xYq0,yqtl,Main,Q,וַתִּטָּעֶֽהָ׃ ,Way0,wayq,Main,Q
