bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
35,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,515678,וַיֹּ֥אמֶר אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,,,,,,,,,,
82,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,515689,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,515691,וִיהִ֣י מַבְדִּ֔יל בֵּ֥ין מַ֖יִם לָמָֽיִם׃ ,Main,Q,yqtl,WYq0,p3,HJH[,יהי
89,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,515690,יְהִ֥י רָקִ֖יעַ בְּתֹ֣וךְ הַמָּ֑יִם ,Main,Q,yqtl,ZYqX,p3,HJH[,יהי,,,,,,,,,,
143,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515702,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וְתֵרָאֶ֖ה הַיַּבָּשָׁ֑ה ,515704,וְתֵרָאֶ֖ה הַיַּבָּשָׁ֑ה ,Main,Q,yqtl,WYqX,p3,R>H[,תראה
154,יִקָּו֨וּ הַמַּ֜יִם מִתַּ֤חַת הַשָּׁמַ֨יִם֙ אֶל־מָקֹ֣ום אֶחָ֔ד ,515703,יִקָּו֨וּ הַמַּ֜יִם מִתַּ֤חַת הַשָּׁמַ֨יִם֙ אֶל־מָקֹ֣ום אֶחָ֔ד ,Main,Q,yqtl,ZYqX,p3,QWH=[,יקוו,,,,,,,,,,
182,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515710,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,מַזְרִ֣יעַ זֶ֔רַע ,515712,מַזְרִ֣יעַ זֶ֔רַע ,SubMod,Q,ptcp,Ptcp,unknown,ZR<[,מזריע
239,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515729,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,515731,לְהַבְדִּ֕יל בֵּ֥ין הַיֹּ֖ום וּבֵ֣ין הַלָּ֑יְלָה ,SubAdv,Q,infc,InfC,unknown,BDL[,הבדיל
363,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,515746,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וְעֹוף֙ יְעֹופֵ֣ף עַל־הָאָ֔רֶץ עַל־פְּנֵ֖י רְקִ֥יעַ הַשָּׁמָֽיִם׃ ,515748,וְעֹוף֙ יְעֹופֵ֣ף עַל־הָאָ֔רֶץ עַל־פְּנֵ֖י רְקִ֥יעַ הַשָּׁמָֽיִם׃ ,Main,Q,yqtl,WXYq,p3,<WP[,יעופף
371,יִשְׁרְצ֣וּ הַמַּ֔יִם שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה ,515747,יִשְׁרְצ֣וּ הַמַּ֔יִם שֶׁ֖רֶץ נֶ֣פֶשׁ חַיָּ֑ה ,Main,Q,yqtl,ZYqX,p3,CRY[,ישׁרצו,,,,,,,,,,
434,פְּר֣וּ ,515759,פְּר֣וּ ,Main,Q,impv,ZIm0,p2,PRH[,פרו,,,,,,,,,,
449,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515766,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,515768,בְּהֵמָ֥ה וָרֶ֛מֶשׂ וְחַֽיְתֹו־אֶ֖רֶץ לְמִינָ֑הּ ,Main,Q,Ø,Ellp,,,
498,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,515775,וַיֹּ֣אמֶר אֱלֹהִ֔ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,515777,וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּ֜ם וּבְעֹ֣וף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙ וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ ,Main,Q,yqtl,WYq0,p3,RDH[,ירדו
505,נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ כִּדְמוּתֵ֑נוּ ,515776,נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ כִּדְמוּתֵ֑נוּ ,Main,Q,yqtl,ZYq0,p1,<FH[,נעשׂה,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,515778,הָֽרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ ,SubMod,Q,ptcp,Ptcp,unknown,RMF[,רמשׂ
619,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ וְאֶת־כָּל־הָעֵ֛ץ ,515791,הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם אֶת־כָּל־עֵ֣שֶׂב׀ ,Main,Q,qtl,xQt0,p1,NTN[,נתתי,,,,,,,,,,
751,בְּיֹ֗ום ,515820,בְּיֹ֗ום ,Main,N,Ø,CPen,,,,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,515823,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,Main,D,yqtl,WXYq,p3,YMX[,יצמח
761,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,515822,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,Main,D,yqtl,WXYq,p3,HJH[,יהיה,כִּי֩ לֹ֨א הִמְטִ֜יר יְהוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ ,515824,כִּי֩ לֹ֨א הִמְטִ֜יר יְהוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ ,SubAdv,D,qtl,xQtX,p3,MVR[,המטיר
780,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,515823,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,Main,D,yqtl,WXYq,p3,YMX[,יצמח,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,515828,וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־הָֽאֲדָמָֽה׃ ,Main,D,wqtl,WQt0,p3,CQH[,השׁקה
876,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,515840,וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן ,Main,N,ptcp,Ptcp,unknown,JY>[,יצא,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,515843,וְהָיָ֖ה לְאַרְבָּעָ֥ה רָאשִֽׁים׃ ,Main,D,wqtl,WQt0,p3,HJH[,היה
977,לֵאמֹ֑ר ,515863,לֵאמֹ֑ר ,SubAdv,N,infc,InfC,unknown,>MR[,אמר,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,515865,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,Main,Q,Ø,CPen,,,
987,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,515865,וּמֵעֵ֗ץ הַדַּ֨עַת֙ טֹ֣וב וָרָ֔ע ,Main,Q,Ø,CPen,,,,כִּ֗י בְּיֹ֛ום מֹ֥ות תָּמֽוּת׃ ,515867,כִּ֗י בְּיֹ֛ום ,SubAdv,Q,Ø,Defc,,,
995,כִּ֗י בְּיֹ֛ום מֹ֥ות תָּמֽוּת׃ ,515867,כִּ֗י בְּיֹ֛ום ,SubAdv,Q,Ø,Defc,,,,,,,,,,,,,
1007,לֹא־טֹ֛וב ,515871,לֹא־טֹ֛וב ,Main,Q,Ø,AjCl,,,,,,,,,,,,,
1037,לִרְאֹ֖ות ,515876,לִרְאֹ֖ות ,SubAdv,N,infc,InfC,unknown,R>H[,ראות,,,,,,,,,,
1042,וְכֹל֩ ,515878,וְכֹל֩ ,Main,N,Ø,CPen,,,,,,,,,,,,,
1132,זֹ֣את הַפַּ֗עַם עֶ֚צֶם מֵֽעֲצָמַ֔י וּבָשָׂ֖ר מִבְּשָׂרִ֑י ,515892,זֹ֣את הַפַּ֗עַם עֶ֚צֶם מֵֽעֲצָמַ֔י וּבָשָׂ֖ר מִבְּשָׂרִ֑י ,Main,Q,Ø,NmCl,,,,כִּ֥י מֵאִ֖ישׁ לֻֽקֳחָה־זֹּֽאת׃ ,515894,כִּ֥י מֵאִ֖ישׁ לֻֽקֳחָה־זֹּֽאת׃ ,SubAdv,Q,qtl,xQtX,p3,LQX[,לקחה
1141,וַיֹּאמֶר֮ הָֽאָדָם֒ ,515891,וַיֹּאמֶר֮ הָֽאָדָם֒ ,Main,N,wayq,WayX,p3,>MR[,יאמר,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,515896,וְדָבַ֣ק בְּאִשְׁתֹּ֔ו ,Main,D,wqtl,WQt0,p3,DBQ[,דבק
1167,וַיִּֽהְי֤וּ שְׁנֵיהֶם֙ עֲרוּמִּ֔ים הָֽאָדָ֖ם וְאִשְׁתֹּ֑ו ,515898,וַיִּֽהְי֤וּ שְׁנֵיהֶם֙ עֲרוּמִּ֔ים הָֽאָדָ֖ם וְאִשְׁתֹּ֑ו ,Main,N,wayq,WayX,p3,HJH[,יהיו,,,,,,,,,,
1192,אַ֚ף כִּֽי־אָמַ֣ר אֱלֹהִ֔ים ,515903,אַ֚ף כִּֽי־אָמַ֣ר אֱלֹהִ֔ים ,Main,Q,qtl,xQtX,p3,>MR[,אמר,,,,,,,,,,
1210,וַתֹּ֥אמֶר הָֽאִשָּׁ֖ה אֶל־הַנָּחָ֑שׁ ,515905,וַתֹּ֥אמֶר הָֽאִשָּׁ֖ה אֶל־הַנָּחָ֑שׁ ,Main,N,wayq,WayX,p3,>MR[,תאמר,וּמִפְּרִ֣י הָעֵץ֮ ,515907,וּמִפְּרִ֣י הָעֵץ֮ ,Main,Q,Ø,CPen,,,
1224,וּמִפְּרִ֣י הָעֵץ֮ ,515907,וּמִפְּרִ֣י הָעֵץ֮ ,Main,Q,Ø,CPen,,,,וְלֹ֥א תִגְּע֖וּ בֹּ֑ו ,515911,וְלֹ֥א תִגְּע֖וּ בֹּ֑ו ,Main,Q,yqtl,WxY0,p2,NG<[,תגעו
1228,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,515910,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלו,,,,,,,,,,
1231,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,515910,לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ ,Main,Q,yqtl,xYq0,p2,>KL[,תאכלו,,,,,,,,,,
1241,וַיֹּ֥אמֶר הַנָּחָ֖שׁ אֶל־הָֽאִשָּׁ֑ה ,515913,וַיֹּ֥אמֶר הַנָּחָ֖שׁ אֶל־הָֽאִשָּׁ֑ה ,Main,N,wayq,WayX,p3,>MR[,יאמר,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים ,515915,כִּ֚י יֹדֵ֣עַ אֱלֹהִ֔ים ,SubAdv,Q,ptcp,Ptcp,unknown,JD<[,ידע
1449,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,515965,אָר֤וּר אַתָּה֙ מִכָּל־הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה ,Main,Q,ptcp,Ptcp,unknown,>RR[,ארור,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,515967,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,WxY0,p2,>KL[,תאכל
1452,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ ,515966,עַל־גְּחֹנְךָ֣ תֵלֵ֔ךְ ,Main,Q,yqtl,xYq0,p2,HLK[,תלך,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,515968,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,Main,Q,yqtl,WxY0,p1,CJT[,אשׁית
1458,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,515967,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,Main,Q,yqtl,WxY0,p2,>KL[,תאכל,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,515969,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,Main,Q,yqtl,XYqt,p3,CWP[,ישׁופך
1471,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,515968,וְאֵיבָ֣ה׀ אָשִׁ֗ית בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖ וּבֵ֣ין זַרְעָ֑הּ ,Main,Q,yqtl,WxY0,p1,CJT[,אשׁית,וְאַתָּ֖ה תְּשׁוּפֶ֥נּוּ עָקֵֽב׃ ס ,515970,וְאַתָּ֖ה תְּשׁוּפֶ֥נּוּ עָקֵֽב׃ ס ,Main,Q,yqtl,WXYq,p2,CWP=[,תשׁופנו
1475,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,515969,ה֚וּא יְשׁוּפְךָ֣ רֹ֔אשׁ ,Main,Q,yqtl,XYqt,p3,CWP[,ישׁופך,,,,,,,,,,
1482,אֶֽל־הָאִשָּׁ֣ה אָמַ֗ר ,515971,אֶֽל־הָאִשָּׁ֣ה אָמַ֗ר ,Main,N,qtl,xQt0,p3,>MR[,אמר,בְּעֶ֖צֶב תֵּֽלְדִ֣י בָנִ֑ים ,515973,בְּעֶ֖צֶב תֵּֽלְדִ֣י בָנִ֑ים ,Main,Q,yqtl,xYq0,p2,JLD[,תלדי
