clause_type,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
xQt0,0.41,0.32,0.14,0.11,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
xQtX,0.36,0.16,0.32,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WXQt,0.67,0.11,0.13,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
XQtl,0.37,0.31,0.26,0.04,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZQt0,0.32,0.33,0.32,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WxQ0,0.6,0.19,0.1,0.05,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ZQtX,0.25,0.28,0.44,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
WxQX,0.71,0.11,0.07,0.03,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPen,0.36,0.59,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voct,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
