,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
FUT,-13.31,25.51,1.39,-2.22,-1.38,0.0,-0.87,-0.83,0.0,0.0
FUT ~ MOD shall,13.82,-19.12,-8.6,7.81,-0.9,0.55,-0.11,-0.65,0.0,0.73
PRES,0.16,-4.76,-0.63,2.23,6.71,0.36,2.71,0.75,0.0,0.0
IMPV ~ MOD shall,2.34,-0.11,0.17,-8.06,0.0,-0.39,-0.39,0.0,0.0,0.0
IMPV,7.51,-3.04,-1.4,-1.83,0.11,-0.19,-0.19,-0.21,0.0,0.0
MOD is to ~ MOD shall,0.27,1.77,-0.62,-3.25,-0.43,0.0,0.0,0.63,0.0,0.0
PAST,-2.35,0.6,1.5,0.86,-0.14,0.0,0.72,0.0,0.0,0.0
MOD shall,-2.46,1.92,3.93,-1.28,-0.56,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-8.65,0.3,3.28,5.27,0.17,0.93,1.69,0.0,0.0,0.0
FUT ~ PRES,0.12,-0.29,-0.37,0.65,0.51,0.45,0.0,0.0,0.0,0.0
MOD may,0.82,-0.88,0.0,-0.1,0.0,0.0,0.0,0.74,1.63,0.0
PAST ~ PRES,4.03,-1.58,-1.73,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,1.05,-0.44,-0.44,0.0,0.0,0.0,0.71,0.0,0.0,0.0
FUT ~ MOD may,0.0,-1.03,0.0,1.78,0.0,1.74,0.0,0.0,0.0,0.0
PRES PERF,-2.16,0.45,2.23,-0.14,0.52,0.0,0.89,0.0,0.0,0.0
MOD shall ~ TO INF,-0.96,-1.14,6.13,-0.38,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-0.0,-0.95,0.13,0.0,3.83,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.0,-0.53,0.0,1.14,0.0,0.0,1.01,0.0,0.0,0.0
MOD would,-0.0,0.55,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.52,-0.97,0.51,-0.4,0.0,0.0,0.0,1.14,0.0,0.0
FUT ~ MOD lest,-0.28,0.24,-0.79,0.74,1.61,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.08,-0.0,0.14,0.0,0.0,0.0,0.0,1.16,0.0,0.0
MOD may ~ TO INF,0.57,-1.62,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,1.72,-1.43,-0.15,-0.2,0.0,0.0,1.1,0.0,0.0,0.0
MOD let,-1.95,0.86,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,-0.84,0.27,0.95,0.48,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-0.0,0.0,0.15,-0.2,0.0,0.0,0.0,1.25,0.0,0.0
