eng_TAMsimp,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
IMPV ~ MOD lest,-0.25,0.24,-0.1,0.14,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD would,0.15,0.04,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ MOD must,-0.05,0.04,-0.1,0.14,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can,-0.45,-0.16,0.3,0.34,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.05,0.24,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PAST,-0.45,0.64,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,0.1,-0.16,-0.1,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ PAST,-0.4,0.59,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD may,-0.15,-0.16,0.15,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD must,-0.15,0.09,0.15,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF,-0.4,0.09,0.4,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ MOD should,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD can,-0.4,0.34,-0.1,0.19,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ TO INF,0.1,-0.16,0.15,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ FUT PERF,-0.65,0.34,0.4,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should,0.1,-0.16,0.15,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD may,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF,-0.65,0.17,0.57,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,0.01,0.17,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD would,-0.32,0.5,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD VB ~ PRES,-0.32,-0.16,0.57,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ TO INF,-0.32,-0.16,0.57,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to ~ MOD would,-0.32,0.17,0.23,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
HAB used to,0.35,-0.16,-0.1,-0.06,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
