,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,-0.05,0.0,-0.08,-0.08,3.55,-0.11,0.25,-1.24,-1.21,-0.61,0.0
FUT ~ MOD shall,-13.53,-1.25,39.0,9.48,-17.8,1.8,-6.96,-2.37,8.49,-0.04,0.0
PRES,-1.55,-5.76,-0.23,4.28,11.31,1.77,-2.5,0.98,-2.14,-1.34,3.37
IMPV,56.69,10.48,-9.54,-21.56,-9.73,-12.93,-8.16,-7.31,-3.26,-2.45,0.0
IMPV ~ MOD shall,48.28,16.64,-13.63,-19.15,-11.62,-9.93,-15.66,-7.49,-2.86,-2.87,0.0
MOD let,-27.97,-11.16,-6.19,-1.53,22.44,-2.13,14.27,38.16,-1.56,6.12,0.0
PAST,-4.76,0.25,-0.79,-0.53,13.65,0.17,0.04,-0.05,0.3,-0.31,0.0
MOD must ~ MOD shall,8.64,3.44,0.76,-1.75,-6.0,-1.07,-8.79,-4.4,-0.54,-1.03,0.0
FUT ~ PRES,-1.88,-0.74,3.6,4.3,-0.08,-0.35,-0.57,-0.81,0.07,0.0,0.0
MOD is to ~ MOD shall,2.15,0.67,-0.32,0.04,-3.47,2.11,-4.74,-2.47,1.56,-1.26,0.0
MOD may,-12.77,-2.97,-4.06,0.22,-1.49,0.05,28.56,2.16,0.52,13.44,0.0
MOD shall,2.7,-0.34,-1.26,2.22,-1.69,2.75,-4.98,-1.73,-0.18,-0.9,0.0
MOD can,0.33,0.68,0.04,0.72,-1.79,2.72,-5.74,-3.21,0.45,-0.28,0.0
MOD shall ~ PRES,0.59,-0.33,1.81,1.02,-0.3,-0.14,-2.32,-1.82,-0.11,0.17,0.0
IMPV ~ MOD let,-5.38,-1.79,-0.55,-0.12,1.66,0.34,0.9,7.16,0.12,4.62,0.0
MOD let ~ MOD may,-9.71,-6.1,-0.46,-0.2,1.51,-0.72,2.56,27.23,-0.28,1.79,0.0
MOD would,0.52,-1.01,-1.03,1.04,0.91,-0.16,0.27,-0.23,0.13,-0.19,0.0
FUT ~ MOD may,-7.05,-0.0,-0.9,-1.24,0.48,-1.18,11.17,0.38,2.01,3.54,0.0
PAST ~ PRES,0.4,-0.61,-0.23,0.07,1.62,-0.08,0.55,-0.58,-0.14,-0.2,0.0
PRES ~ PRES PART,1.63,0.0,-1.71,0.28,0.2,0.0,-0.1,-0.75,0.17,0.0,0.0
MOD may ~ MOD shall,-1.79,-1.32,2.82,2.87,-1.67,0.0,0.0,0.32,0.76,0.27,0.0
FUT ~ MOD can,0.0,0.67,0.73,1.37,-1.67,-0.1,-0.23,-0.76,-0.39,0.0,0.0
MOD should,0.55,-1.18,-0.77,-0.77,-1.7,4.87,0.0,0.0,1.96,0.0,0.0
TO INF,-2.16,0.45,-1.41,-0.78,0.53,-1.31,12.63,-0.57,0.0,0.0,0.0
MOD can ~ PRES,0.38,-0.0,-0.32,-0.32,-0.23,4.12,-1.13,-0.58,0.0,0.0,0.0
MOD can ~ MOD may,-0.41,0.0,-0.1,-0.51,-1.12,-0.44,8.44,-0.39,-0.2,0.96,0.0
PRES ~ PRES PERF,0.52,0.0,-0.92,0.21,0.0,-0.0,0.0,0.65,0.0,0.0,0.0
MOD can ~ MOD shall,3.46,-1.01,0.0,0.0,-1.12,-0.44,0.0,-0.39,1.05,0.0,0.0
PRES PART,0.65,1.03,0.0,-0.36,0.87,-0.94,-0.28,-0.39,-0.2,0.0,0.0
MOD may ~ PRES,-2.33,-0.3,-0.76,0.38,0.0,2.46,0.51,1.28,0.21,1.88,0.0
IMPV ~ PRES,-0.74,2.37,0.0,0.4,0.0,-0.76,-0.77,1.36,0.0,0.0,0.0
FUT ~ MOD would,1.25,-0.59,0.0,0.11,0.12,0.0,0.0,-0.19,0.23,0.0,0.0
MOD must,1.73,0.09,-0.24,-0.24,0.0,-0.29,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.16,0.09,0.0,0.0,-0.76,1.17,0.33,-0.2,0.0,0.0,0.0
MOD shall ~ TO INF,0.16,0.33,-0.12,0.89,-0.76,-0.78,0.33,-0.2,0.26,0.46,0.0
