eng_TAMsimp,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
FUT,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,0.0,-0.01,-0.01,-0.0,-0.0
FUT ~ MOD shall,-0.09,-0.02,0.12,0.06,-0.06,0.02,-0.04,-0.02,0.03,-0.0,-0.0
PRES,-0.03,-0.05,-0.01,0.04,0.06,0.02,-0.02,0.01,-0.01,-0.01,0.0
IMPV,0.33,0.11,-0.07,-0.1,-0.06,-0.07,-0.05,-0.04,-0.02,-0.01,-0.0
IMPV ~ MOD shall,0.33,0.16,-0.09,-0.1,-0.07,-0.07,-0.07,-0.04,-0.02,-0.01,-0.0
MOD let,-0.24,-0.13,-0.08,-0.04,0.18,-0.04,0.13,0.19,-0.02,0.04,-0.0
PAST,-0.1,0.01,-0.02,-0.02,0.13,0.01,0.0,-0.0,0.01,-0.01,-0.0
MOD must ~ MOD shall,0.16,0.08,0.02,-0.04,-0.07,-0.03,-0.07,-0.04,-0.01,-0.01,-0.0
FUT ~ PRES,-0.06,-0.03,0.07,0.08,-0.01,-0.01,-0.02,-0.02,0.0,-0.0,-0.0
MOD is to ~ MOD shall,0.08,0.03,-0.02,0.0,-0.06,0.05,-0.06,-0.03,0.02,-0.01,-0.0
MOD may,-0.2,-0.08,-0.07,0.01,-0.04,0.0,0.24,0.04,0.01,0.09,-0.0
MOD shall,0.1,-0.02,-0.04,0.06,-0.05,0.06,-0.07,-0.03,-0.01,-0.01,-0.0
MOD can,0.03,0.04,0.0,0.03,-0.05,0.06,-0.07,-0.04,0.01,-0.01,-0.0
MOD shall ~ PRES,0.05,-0.03,0.07,0.05,-0.02,-0.01,-0.06,-0.04,-0.01,0.0,-0.0
IMPV ~ MOD let,-0.19,-0.09,-0.04,-0.02,0.06,0.02,0.04,0.14,0.0,0.07,-0.0
MOD let ~ MOD may,-0.25,-0.16,-0.03,-0.02,0.06,-0.04,0.08,0.34,-0.02,0.03,-0.0
MOD would,0.05,-0.07,-0.06,0.06,0.05,-0.02,0.02,-0.02,0.01,-0.01,-0.0
FUT ~ MOD may,-0.23,0.0,-0.05,-0.06,0.03,-0.05,0.24,0.01,0.05,0.06,-0.0
PAST ~ PRES,0.04,-0.06,-0.02,0.0,0.08,-0.01,0.03,-0.03,-0.01,-0.01,-0.0
PRES ~ PRES PART,0.14,-0.01,-0.09,0.03,0.02,-0.01,-0.02,-0.04,0.01,-0.01,-0.0
MOD may ~ MOD shall,-0.15,-0.1,0.15,0.15,-0.08,-0.0,-0.01,0.01,0.03,0.0,-0.0
FUT ~ MOD can,-0.0,0.06,0.06,0.1,-0.08,-0.02,-0.03,-0.04,-0.03,-0.01,-0.0
MOD should,0.08,-0.1,-0.07,-0.07,-0.08,0.2,-0.01,-0.0,0.07,-0.01,-0.0
TO INF,-0.18,0.05,-0.09,-0.07,0.04,-0.07,0.38,-0.04,-0.01,-0.01,-0.0
MOD can ~ PRES,0.06,0.0,-0.04,-0.04,-0.04,0.19,-0.07,-0.04,-0.0,-0.01,-0.0
MOD can ~ MOD may,-0.07,-0.0,-0.03,-0.06,-0.08,-0.05,0.33,-0.04,-0.03,0.04,-0.0
PRES ~ PRES PERF,0.08,-0.0,-0.08,0.02,-0.01,0.0,-0.02,0.03,-0.0,-0.01,-0.0
MOD can ~ MOD shall,0.28,-0.1,-0.01,-0.01,-0.08,-0.05,-0.02,-0.04,0.05,-0.01,-0.0
PRES PART,0.09,0.11,-0.01,-0.06,0.07,-0.07,-0.04,-0.04,-0.03,-0.01,-0.0
MOD may ~ PRES,-0.21,-0.06,-0.08,0.04,-0.03,0.15,0.04,0.07,0.0,0.07,-0.0
IMPV ~ PRES,-0.12,0.22,-0.02,0.04,-0.02,-0.07,-0.07,0.08,-0.03,-0.01,-0.0
FUT ~ MOD would,0.16,-0.09,-0.02,0.01,0.01,-0.01,-0.01,-0.04,0.0,-0.01,-0.0
MOD must,0.2,0.01,-0.05,-0.05,-0.02,-0.04,-0.01,-0.01,-0.03,-0.01,-0.0
