clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
esv_TAM,,,,,,,,,,,,,
MOD shall,2.21,3.17,9.92,18.83,28.6,40.11,184.5,119.03,283.85,1230.0,3690.0,3690.0,inf
PRES,3.9,7.45,7.92,4.87,21.94,9.09,16.07,43.59,70.71,57.85,227.29,795.5,inf
FUT,3.0,4.27,6.05,9.54,10.24,40.38,62.72,60.16,294.8,737.0,1474.0,737.0,2948.0
MOD let,5.46,9.65,2.21,106.11,4.05,inf,318.33,inf,inf,inf,inf,955.0,inf
MOD may,6.12,7.89,10.52,5.98,2.55,34.3,56.36,197.25,394.5,inf,789.0,inf,inf
PAST,3.93,4.9,4.07,10.14,13.29,17.59,37.38,66.44,149.5,85.43,598.0,598.0,598.0
IMPV,2.16,3.35,6.25,47.22,19.32,inf,212.5,inf,inf,inf,inf,inf,inf
IMPV do not,1.5,3.15,132.33,397.0,inf,inf,397.0,397.0,inf,inf,inf,inf,inf
MOD can,2.59,3.79,50.5,7.77,75.75,9.77,21.64,37.88,151.5,151.5,inf,inf,inf
PRES do not,3.53,2.7,inf,7.43,inf,13.0,9.45,52.0,inf,inf,inf,104.0,inf
MOD would,2.94,7.14,6.06,11.76,8.7,40.0,50.0,12.5,50.0,200.0,200.0,inf,inf
MOD should,3.48,8.79,41.75,3.88,16.7,10.44,18.56,11.93,inf,83.5,83.5,inf,inf
MOD lest,28.0,4.0,inf,1.51,70.0,inf,28.0,inf,inf,inf,inf,inf,inf
TO INF,11.25,6.14,11.25,15.0,2.93,10.38,45.0,12.27,135.0,67.5,inf,33.75,inf
PRES PERF,5.41,6.26,7.93,3.05,29.75,9.92,39.67,119.0,59.5,119.0,119.0,inf,inf
PRES PART,2.5,4.23,7.86,18.33,27.5,13.75,27.5,110.0,inf,55.0,110.0,inf,inf
FUT question,1.4,29.33,6.29,22.0,88.0,88.0,44.0,inf,inf,inf,inf,inf,inf
PRES wh-question,1.51,6.17,7.4,inf,24.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,2.19,5.23,9.71,8.5,34.0,13.6,inf,68.0,inf,68.0,inf,inf,inf
PRES question,1.55,7.22,10.83,13.0,32.5,inf,inf,inf,65.0,inf,inf,inf,inf
MOD quest shall,1.25,18.33,18.33,18.33,27.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest can,1.58,8.67,17.33,5.78,inf,inf,52.0,inf,inf,inf,inf,inf,inf
MOD could,3.64,4.25,25.5,12.75,51.0,4.25,51.0,17.0,inf,inf,25.5,inf,inf
MOD might,5.62,11.25,45.0,4.5,4.09,inf,11.25,22.5,45.0,22.5,45.0,45.0,inf
PAST did not,4.0,1.65,inf,28.0,inf,14.0,28.0,inf,inf,inf,inf,inf,inf
MOD is to,3.43,inf,6.0,24.0,inf,4.0,inf,4.0,inf,inf,inf,inf,inf
MOD quest should,1.46,19.0,9.5,9.5,19.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT wh-question,1.73,2.71,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,2.83,3.4,inf,17.0,inf,5.67,inf,17.0,inf,17.0,inf,inf,inf
PAST PERF,6.5,3.25,13.0,13.0,inf,6.5,13.0,6.5,inf,inf,inf,inf,inf
MOD was to,3.0,4.0,inf,inf,12.0,3.0,inf,inf,inf,inf,inf,inf,inf
PRES do-support,9.0,9.0,9.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD that be,8.0,2.0,inf,4.0,8.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB,8.0,8.0,8.0,2.67,inf,inf,8.0,8.0,inf,inf,inf,inf,inf
PRES PROG,4.0,8.0,8.0,4.0,8.0,8.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,2.0,inf,inf,inf,6.0,inf,6.0,inf,inf,inf,inf,6.0
MOD quest would,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF question,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES shall,inf,1.5,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
FUT PROG,3.0,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST question,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF wh-question,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF,inf,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES do,inf,2.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD need not,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest could,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST wh-question,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
IMPV not,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES can,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG keep,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD that,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
