,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
MOD shall,59.36,57.46,-16.06,-44.77,-42.84,-14.04,-23.16,-4.88,-1.25,-6.31,-1.95,-1.03,0.0
PRES,-29.31,-40.18,-2.15,67.22,-21.75,64.68,40.78,3.26,10.01,18.09,3.39,-0.0,0.0
FUT,-0.36,1.8,4.44,-0.92,1.89,-11.06,-3.64,0.17,-1.13,-3.64,-0.84,0.12,0.32
MOD let,-27.68,-20.64,129.58,-37.71,53.8,-20.34,-7.07,-6.56,-2.2,-1.99,-0.38,0.0,0.0
MOD may,-29.12,-10.64,-4.11,5.58,131.97,-1.92,-0.7,-2.1,-0.48,-1.65,0.0,0.0,0.0
PAST,-5.36,-0.35,11.49,-0.54,-0.43,0.62,0.1,0.0,0.24,1.33,0.0,0.29,0.94
IMPV,7.0,4.11,0.59,-12.04,-2.08,-8.78,-2.61,-2.64,-0.75,-0.75,0.0,0.0,0.0
IMPV do not,40.56,5.48,-21.65,-18.9,-15.46,-8.26,-3.05,-1.64,-0.75,-0.55,0.0,0.0,0.0
MOD can,1.06,1.24,-12.51,0.44,-7.16,4.31,1.59,0.81,0.16,0.16,0.0,0.0,0.0
PRES do not,-1.05,6.36,-13.51,0.49,-7.92,1.32,7.85,0.24,-0.2,-0.2,0.0,1.6,0.0
MOD would,-0.0,-2.14,0.51,-0.59,0.79,-0.75,-0.09,6.91,1.58,0.0,0.52,0.0,0.0
MOD should,-0.79,-3.2,-6.33,6.74,-0.57,2.08,1.4,6.36,0.0,0.63,1.45,0.0,0.0
MOD lest,-17.89,0.45,-9.05,53.69,-3.17,-2.69,0.39,-0.75,0.0,0.0,0.0,0.0,0.0
TO INF,-10.91,-0.85,-1.08,-1.0,16.15,1.89,0.0,5.0,0.27,0.77,0.0,4.77,0.0
PRES PERF,-3.55,-0.83,-0.1,9.48,-1.33,1.87,-0.0,0.0,0.84,0.32,0.72,0.0,0.0
PRES PART,0.72,0.19,-0.11,-1.31,-1.22,0.6,0.44,0.0,0.0,0.91,0.75,0.0,0.0
