clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
esv_TAM,,,,,,,,,,,,,
MOD shall,0.15,0.13,-0.05,-0.08,-0.07,-0.03,-0.03,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0
PRES,-0.11,-0.11,-0.02,0.12,-0.05,0.08,0.05,0.01,0.01,0.01,0.0,0.0,-0.0
FUT,-0.01,0.02,0.03,-0.01,0.01,-0.03,-0.01,0.0,-0.0,-0.01,-0.0,0.0,0.0
MOD let,-0.17,-0.12,0.33,-0.11,0.17,-0.05,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD may,-0.19,-0.1,-0.05,0.06,0.32,-0.02,-0.01,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0
PAST,-0.09,-0.01,0.11,-0.01,-0.01,0.01,0.0,-0.0,0.0,0.01,-0.0,0.0,0.0
IMPV,0.13,0.08,0.02,-0.09,-0.04,-0.05,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
IMPV do not,0.34,0.1,-0.14,-0.11,-0.09,-0.05,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0
MOD can,0.05,0.05,-0.12,0.02,-0.07,0.06,0.02,0.01,0.0,0.0,-0.0,-0.0,-0.0
PRES do not,-0.06,0.15,-0.14,0.02,-0.09,0.03,0.08,0.0,-0.01,-0.01,-0.0,0.01,-0.0
MOD would,0.0,-0.08,0.02,-0.03,0.03,-0.02,-0.01,0.07,0.01,-0.0,0.0,-0.0,-0.0
MOD should,-0.05,-0.11,-0.12,0.15,-0.03,0.05,0.03,0.07,-0.01,0.01,0.01,-0.0,-0.0
MOD lest,-0.31,0.03,-0.14,0.56,-0.07,-0.05,0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
TO INF,-0.25,-0.06,-0.05,-0.05,0.26,0.05,-0.0,0.07,0.0,0.01,-0.0,0.03,-0.0
PRES PERF,-0.16,-0.06,-0.02,0.22,-0.05,0.05,0.0,-0.01,0.01,0.0,0.01,-0.0,-0.0
PRES PART,0.06,0.02,-0.01,-0.06,-0.05,0.03,0.01,-0.01,-0.01,0.01,0.01,-0.0,-0.0
FUT question,0.38,-0.18,0.02,-0.07,-0.08,-0.04,-0.0,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES wh-question,0.32,-0.06,-0.01,-0.11,-0.05,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD must,0.12,-0.03,-0.04,0.0,-0.06,0.03,-0.03,-0.0,-0.01,0.01,-0.0,-0.0,-0.0
PRES question,0.31,-0.08,-0.05,-0.04,-0.06,-0.05,-0.03,-0.02,0.01,-0.01,-0.0,-0.0,-0.0
MOD quest shall,0.46,-0.16,-0.09,-0.06,-0.05,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest can,0.3,-0.1,-0.08,0.06,-0.09,-0.05,-0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD could,-0.07,0.02,-0.1,-0.03,-0.07,0.19,-0.01,0.04,-0.01,-0.01,0.04,-0.0,-0.0
MOD might,-0.16,-0.13,-0.12,0.11,0.16,-0.05,0.06,0.03,0.02,0.04,0.02,0.02,-0.0
PAST did not,-0.09,0.39,-0.14,-0.08,-0.09,0.02,0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD is to,-0.05,-0.22,0.03,-0.07,-0.09,0.2,-0.03,0.23,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest should,0.34,-0.17,-0.04,-0.01,-0.03,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
FUT wh-question,0.24,0.15,-0.09,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
HAB used to,0.01,0.08,-0.14,-0.05,-0.09,0.13,-0.03,0.04,-0.01,0.05,-0.0,-0.0,-0.0
PAST PERF,-0.19,0.09,-0.06,-0.04,-0.09,0.11,0.05,0.14,-0.01,-0.01,-0.0,-0.0,-0.0
MOD was to,-0.01,0.03,-0.14,-0.11,-0.0,0.29,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES do-support,-0.23,-0.11,-0.03,0.22,-0.09,-0.05,0.31,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD that be,-0.21,0.28,-0.14,0.14,0.04,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD VB,-0.21,-0.09,-0.02,0.26,-0.09,-0.05,0.1,0.11,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PROG,-0.09,-0.09,-0.02,0.14,0.04,0.08,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST PROG,-0.34,0.28,-0.14,-0.11,-0.09,0.12,-0.03,0.15,-0.01,-0.01,-0.0,-0.0,0.17
MOD quest would,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
?VB,0.16,0.28,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD,0.16,-0.22,-0.14,-0.11,0.41,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PERF question,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES shall,-0.34,0.45,-0.14,-0.11,-0.09,0.29,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
FUT PROG,-0.01,0.45,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST question,0.33,0.12,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PERF wh-question,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
FUT PERF,-0.34,0.28,-0.14,0.39,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES do,-0.34,0.28,-0.14,-0.11,-0.09,-0.05,0.47,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD need not,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest could,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST wh-question,0.16,-0.22,-0.14,-0.11,0.41,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
IMPV not,-0.34,0.78,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES can,-0.34,-0.22,-0.14,0.89,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
JJ,-0.34,0.78,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST PROG keep,0.66,-0.22,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD that,-0.34,-0.22,-0.14,-0.11,0.91,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest must,-0.34,0.78,-0.14,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
