,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
MOD shall,1.9,2.02,0.62,0.37,0.32,0.44,0.17,0.46,0.56,0.12,0.12,0.18,0.0
PRES,0.61,0.49,0.85,2.67,0.45,3.95,4.27,1.66,4.25,7.46,4.04,1.07,0.0
FUT,0.97,1.13,1.27,0.9,1.19,0.46,0.57,1.06,0.55,0.21,0.33,1.18,2.06
MOD let,0.42,0.4,6.06,0.07,4.04,0.0,0.11,0.0,0.0,0.0,0.0,0.87,0.0
MOD may,0.36,0.51,0.63,1.63,8.67,0.59,0.69,0.3,0.43,0.0,0.7,0.0,0.0
PAST,0.65,0.92,2.06,0.85,0.86,1.23,1.07,0.95,1.2,2.24,0.93,1.43,12.13
IMPV,1.71,1.55,1.17,0.17,0.57,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0
IMPV do not,4.06,1.7,0.05,0.02,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0
MOD can,1.23,1.3,0.12,1.16,0.14,2.36,1.91,1.71,1.18,1.21,0.0,0.0,0.0
PRES do not,0.77,2.14,0.0,1.22,0.0,1.7,4.79,1.22,0.0,0.0,0.0,9.01,0.0
MOD would,1.0,0.58,1.21,0.73,1.39,0.51,0.79,5.71,3.73,0.91,2.87,0.0,0.0
MOD should,0.78,0.46,0.15,2.77,0.67,2.17,2.23,5.97,0.0,2.22,7.22,0.0,0.0
MOD lest,0.07,1.2,0.0,16.37,0.15,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.19,0.7,0.59,0.56,5.66,2.17,0.88,5.73,1.32,2.76,0.0,32.56,0.0
PRES PERF,0.44,0.68,0.88,3.89,0.37,2.29,1.0,0.52,3.06,1.54,4.87,0.0,0.0
PRES PART,1.3,1.11,0.89,0.45,0.4,1.59,1.46,0.57,0.0,3.4,5.27,0.0,0.0
FUT question,4.95,0.13,1.15,0.37,0.12,0.23,0.9,0.0,0.0,0.0,0.0,0.0,0.0
PRES wh-question,3.84,0.69,0.95,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,1.63,0.85,0.7,1.05,0.32,1.61,0.0,0.93,0.0,2.72,0.0,0.0,0.0
