french_tense,TOTAL,PAST,PRES PERF,PAST ~ PRES PERF,PRES,PRES ~ PRES PERF,PAST ~ PAST PERF,PAST PERF,PAST ~ PRES,PAST ~ PRES PART,MOD could,MOD would,?PAST ~ PAST,FUT ~ PRES PERF,MOD could ~ PAST,MOD would ~ PAST,PAST ~ TO INF,PAST ~ PAST PROG,FUT ~ PRES,?PAST,?VB ~ PAST,PAST PROG,PRES PART ~ PRES PERF,PRES PART,PAST PERF ~ PRES PERF,?VB ~ PRES PERF,FUT ~ MOD shall,?PRES ~ PRES,HAB used to ~ PAST,MOD let,IMPV ~ PRES PERF,?VB ~ PRES,PAST PERF ~ PAST PROG,PRES PERF ~ PRES PROG,?PRES ~ PAST,?VB,MOD let ~ PRES PERF,PRES PROG,PAST PROG ~ PRES PART,PRES PERF ~ PRES PERF PROG,PRES ~ PRES PART,?PAST ~ PRES PART,?PAST ~ PAST PERF,?IMPV ~ PAST,?MOD let ~ MOD let,FUT ~ PAST,?MOD let,?IMPV,PRES ~ PRES PROG,MOD shall ~ PRES PERF,MOD would ~ TO INF,PAST PROG ~ PRES PERF,IMPV ~ PAST,?MOD let ~ PRES PERF,?PAST did not ~ PAST,?PAST did not,?MOD would,?MOD shall ~ PRES PERF,PAST PERF ~ PRES PART,?MOD let ~ PAST,MOD would ~ PRES PART,?MOD let ~ ?MOD may,?MOD could ~ PRES,?MOD could ~ PAST,?MOD could ~ ?PAST did not,PRES PERF ~ TO INF,?PAST ~ MOD would,?PAST ~ PRES,MOD should ~ PRES,MOD let ~ PRES PART,MOD could ~ PAST PERF,FUT ~ FUT PERF,FUT going-to ~ PRES PERF,FUT,MOD could ~ PRES PERF,MOD let ~ PAST,MOD may ~ PRES PERF,IMPV ~ PRES,?PRES ~ PRES PERF,MOD might ~ MOD would,MOD shall ~ PAST,?PRES ~ ?VB,?PRES PERF,?PRES,PRES ~ TO INF
passé_comp,2731,851,1011,293,201,117,30,19,38,9,1,4,10,22,2,4,4,0,12,3,5,0,7,5,6,6,6,5,1,0,4,4,0,4,1,3,2,3,0,3,3,0,0,2,0,2,2,2,2,2,0,2,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
passé_simp,1328,1126,3,0,5,0,52,24,3,19,9,15,11,0,11,12,8,2,0,8,2,1,0,1,0,0,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
imparfait,628,393,9,13,11,6,27,59,10,15,18,5,1,0,7,4,4,12,0,1,1,6,0,1,0,0,0,0,3,1,0,0,3,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
