,passé_comp,passé_simp,imparfait
PAST,-225.03,204.51,10.08
PRES PERF,255.22,-163.52,-57.33
PAST ~ PRES PERF,53.72,-45.95,-7.12
PRES,30.32,-24.45,-4.22
PRES ~ PRES PERF,20.25,-17.9,-2.54
PAST ~ PAST PERF,-10.09,4.69,2.84
PAST PERF,-15.86,-0.5,25.92
PAST ~ PRES,1.67,-3.94,0.68
PAST ~ PRES PART,-6.01,1.58,3.56
MOD could,-9.07,0.17,9.26
MOD would,-4.43,3.09,0.44
?PAST ~ PAST,-0.55,1.5,-0.46
FUT ~ PRES PERF,5.06,-2.91,-1.2
MOD could ~ PAST,-5.01,1.92,1.92
MOD would ~ PAST,-3.07,2.37,0.48
PAST ~ TO INF,-2.02,1.05,0.59
PAST ~ PAST PROG,-5.33,-0.43,8.67
FUT ~ PRES,2.7,-1.61,-0.41
?PAST,-1.45,2.19,0.0
?VB ~ PAST,-0.0,0.0,0.0
PAST PROG,-2.66,-0.17,4.45
PRES PART ~ PRES PERF,1.33,-0.69,-0.22
PRES PART,0.15,-0.17,-0.0
PAST PERF ~ PRES PERF,1.35,-0.71,0.0
?VB ~ PRES PERF,1.35,-0.71,0.0
FUT ~ MOD shall,1.35,-0.71,0.0
?PRES ~ PRES,1.1,-0.48,0.0
HAB used to ~ PAST,-0.77,0.0,1.71
MOD let,-1.52,1.15,0.36
IMPV ~ PRES PERF,0.84,-0.23,0.0
?VB ~ PRES,0.84,-0.23,0.0
PAST PERF ~ PAST PROG,-1.52,0.0,2.06
PRES PERF ~ PRES PROG,0.84,-0.23,0.0
?PRES ~ PAST,-0.24,-0.0,0.46
?VB,0.57,-0.25,0.0
MOD let ~ PRES PERF,-0.0,-0.25,0.46
PRES PROG,0.57,-0.25,0.0
PAST PROG ~ PRES PART,-1.14,-0.25,2.62
PRES PERF ~ PRES PERF PROG,0.57,-0.25,0.0
PRES ~ PRES PART,0.57,-0.25,0.0
?PAST ~ PRES PART,-0.76,1.1,0.0
?PAST ~ PAST PERF,-0.76,0.0,1.75
?IMPV ~ PAST,0.29,0.0,0.0
?MOD let ~ MOD let,-0.76,1.1,0.0
FUT ~ PAST,0.29,0.0,0.0
?MOD let,0.29,0.0,0.0
?IMPV,0.29,0.0,0.0
PRES ~ PRES PROG,0.29,0.0,0.0
MOD shall ~ PRES PERF,0.29,0.0,0.0
MOD would ~ TO INF,-0.76,0.31,0.6
PAST PROG ~ PRES PERF,0.29,0.0,0.0
IMPV ~ PAST,-0.38,0.55,0.0
?MOD let ~ PRES PERF,-0.0,0.0,0.0
?PAST did not ~ PAST,-0.0,0.0,0.0
?PAST did not,-0.38,0.55,0.0
?MOD would,-0.38,0.0,0.87
?MOD shall ~ PRES PERF,-0.0,0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0,0.0
?MOD let ~ PAST,-0.38,0.0,0.87
MOD would ~ PRES PART,-0.38,0.55,0.0
?MOD let ~ ?MOD may,-0.0,0.0,0.0
?MOD could ~ PRES,-0.38,0.0,0.87
?MOD could ~ PAST,-0.38,0.0,0.87
?MOD could ~ ?PAST did not,-0.38,0.55,0.0
PRES PERF ~ TO INF,-0.0,0.0,0.0
?PAST ~ MOD would,-0.38,0.55,0.0
?PAST ~ PRES,-0.0,0.0,0.0
MOD should ~ PRES,-0.38,0.0,0.87
MOD let ~ PRES PART,-0.38,0.0,0.87
MOD could ~ PAST PERF,-0.38,0.0,0.87
FUT ~ FUT PERF,-0.0,0.0,0.0
FUT going-to ~ PRES PERF,-0.0,0.0,0.0
FUT,-0.0,0.0,0.0
MOD could ~ PRES PERF,-0.0,0.0,0.0
MOD let ~ PAST,-0.38,0.0,0.87
MOD may ~ PRES PERF,-0.0,0.0,0.0
IMPV ~ PRES,-0.0,0.0,0.0
?PRES ~ PRES PERF,-0.0,0.0,0.0
MOD might ~ MOD would,-0.38,0.0,0.87
MOD shall ~ PAST,-0.0,0.0,0.0
?PRES ~ ?VB,-0.0,0.0,0.0
?PRES PERF,-0.0,0.0,0.0
?PRES,-0.0,0.0,0.0
PRES ~ TO INF,-0.38,0.0,0.87
