eng_TAMsimp,passé_comp,passé_simp,imparfait
PAST,-0.45,0.39,0.06
PRES PERF,0.52,-0.36,-0.16
PAST ~ PRES PERF,0.4,-0.3,-0.1
PRES,0.36,-0.27,-0.09
PRES ~ PRES PERF,0.38,-0.29,-0.09
PAST ~ PAST PERF,-0.31,0.2,0.12
PAST PERF,-0.41,-0.05,0.45
PAST ~ PRES,0.16,-0.23,0.06
PAST ~ PRES PART,-0.38,0.16,0.22
MOD could,-0.55,0.04,0.51
MOD would,-0.42,0.34,0.07
?PAST ~ PAST,-0.13,0.22,-0.09
FUT ~ PRES PERF,0.42,-0.28,-0.13
MOD could ~ PAST,-0.48,0.27,0.22
MOD would ~ PAST,-0.38,0.32,0.07
PAST ~ TO INF,-0.33,0.22,0.12
PAST ~ PAST PROG,-0.58,-0.14,0.73
FUT ~ PRES,0.42,-0.28,-0.13
?PAST,-0.33,0.38,-0.05
?VB ~ PAST,0.04,-0.03,-0.01
PAST PROG,-0.58,-0.14,0.72
PRES PART ~ PRES PERF,0.42,-0.28,-0.13
PRES PART,0.13,-0.14,0.01
PAST PERF ~ PRES PERF,0.42,-0.28,-0.13
?VB ~ PRES PERF,0.42,-0.28,-0.13
FUT ~ MOD shall,0.42,-0.28,-0.13
?PRES ~ PRES,0.42,-0.28,-0.13
HAB used to ~ PAST,-0.38,-0.08,0.47
MOD let,-0.58,0.47,0.12
IMPV ~ PRES PERF,0.42,-0.28,-0.13
?VB ~ PRES,0.42,-0.28,-0.13
PAST PERF ~ PAST PROG,-0.58,-0.03,0.62
PRES PERF ~ PRES PROG,0.42,-0.28,-0.13
?PRES ~ PAST,-0.25,0.05,0.2
?VB,0.42,-0.28,-0.13
MOD let ~ PRES PERF,0.08,-0.28,0.2
PRES PROG,0.42,-0.28,-0.13
PAST PROG ~ PRES PART,-0.58,-0.28,0.87
PRES PERF ~ PRES PERF PROG,0.42,-0.28,-0.13
PRES ~ PRES PART,0.42,-0.28,-0.13
?PAST ~ PRES PART,-0.58,0.72,-0.13
?PAST ~ PAST PERF,-0.58,-0.28,0.87
?IMPV ~ PAST,0.42,-0.28,-0.13
?MOD let ~ MOD let,-0.58,0.72,-0.13
FUT ~ PAST,0.42,-0.28,-0.13
?MOD let,0.42,-0.28,-0.13
?IMPV,0.42,-0.28,-0.13
PRES ~ PRES PROG,0.42,-0.28,-0.13
MOD shall ~ PRES PERF,0.42,-0.28,-0.13
MOD would ~ TO INF,-0.58,0.22,0.37
PAST PROG ~ PRES PERF,0.42,-0.28,-0.13
IMPV ~ PAST,-0.58,0.72,-0.13
?MOD let ~ PRES PERF,0.42,-0.28,-0.13
?PAST did not ~ PAST,0.42,-0.28,-0.13
?PAST did not,-0.58,0.72,-0.13
?MOD would,-0.58,-0.28,0.87
?MOD shall ~ PRES PERF,0.42,-0.28,-0.13
PAST PERF ~ PRES PART,0.42,-0.28,-0.13
?MOD let ~ PAST,-0.58,-0.28,0.87
MOD would ~ PRES PART,-0.58,0.72,-0.13
?MOD let ~ ?MOD may,0.42,-0.28,-0.13
?MOD could ~ PRES,-0.58,-0.28,0.87
?MOD could ~ PAST,-0.58,-0.28,0.87
?MOD could ~ ?PAST did not,-0.58,0.72,-0.13
PRES PERF ~ TO INF,0.42,-0.28,-0.13
?PAST ~ MOD would,-0.58,0.72,-0.13
?PAST ~ PRES,0.42,-0.28,-0.13
MOD should ~ PRES,-0.58,-0.28,0.87
MOD let ~ PRES PART,-0.58,-0.28,0.87
MOD could ~ PAST PERF,-0.58,-0.28,0.87
FUT ~ FUT PERF,0.42,-0.28,-0.13
FUT going-to ~ PRES PERF,0.42,-0.28,-0.13
FUT,0.42,-0.28,-0.13
MOD could ~ PRES PERF,0.42,-0.28,-0.13
MOD let ~ PAST,-0.58,-0.28,0.87
MOD may ~ PRES PERF,0.42,-0.28,-0.13
IMPV ~ PRES,0.42,-0.28,-0.13
?PRES ~ PRES PERF,0.42,-0.28,-0.13
MOD might ~ MOD would,-0.58,-0.28,0.87
MOD shall ~ PAST,0.42,-0.28,-0.13
?PRES ~ ?VB,0.42,-0.28,-0.13
?PRES PERF,0.42,-0.28,-0.13
?PRES,0.42,-0.28,-0.13
PRES ~ TO INF,-0.58,-0.28,0.87
