clause_rela,cltype_simp,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,x,0.36,0.24,0.34,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,Wx,0.66,0.13,0.1,0.05,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,x,0.47,0.24,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Main,Ø,0.34,0.3,0.33,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubAdv,x,0.36,0.31,0.21,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,x,0.31,0.31,0.08,0.29,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0
SubAdv,Wx,0.33,0.28,0.21,0.12,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.0
SubAdv,Ø,0.26,0.42,0.28,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,Ø,0.46,0.24,0.21,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubMod,Wx,0.5,0.12,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubArg,Ø,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
