clause_rela,Main,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubAdv,SubMod,SubMod,SubArg
cltype_simp,x,Wx,x,Ø,x,x,Wx,Ø,Ø,Wx,Ø
eng_TAM,,,,,,,,,,,
PAST..IND,0.23,0.29,0.18,0.13,0.13,0.03,0.01,0.01,0.01,0.0,0.0
PRES.PERF.IND,0.26,0.1,0.16,0.19,0.2,0.04,0.02,0.02,0.01,0.0,0.0
PRES..IND,0.42,0.09,0.05,0.24,0.15,0.01,0.02,0.01,0.01,0.0,0.0
PAST.PERF.IND,0.09,0.11,0.42,0.01,0.2,0.12,0.03,0.0,0.01,0.0,0.0
FUT..IND,0.38,0.19,0.0,0.28,0.14,0.01,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.24,0.47,0.05,0.1,0.13,0.0,0.02,0.0,0.0,0.0,0.0
PRES..MOD,0.16,0.53,0.02,0.05,0.13,0.04,0.05,0.0,0.02,0.0,0.0
PRES..,0.28,0.19,0.16,0.12,0.12,0.0,0.09,0.03,0.0,0.0,0.0
PRES.PROG.IND,0.39,0.11,0.11,0.22,0.06,0.11,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.15,0.46,0.0,0.0,0.15,0.15,0.08,0.0,0.0,0.0,0.0
..,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2
past.PERF_PROG.IND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
