clause_rela,cltype_simp,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Main,x,-0.09,-0.0,0.17,-0.07,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Main,Wx,0.29,-0.14,-0.14,-0.04,0.0,0.01,0.01,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
SubMod,x,0.05,-0.0,-0.18,0.16,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Main,Ø,-0.1,0.06,0.13,-0.09,0.01,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
SubAdv,x,-0.08,0.07,-0.01,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
SubArg,x,-0.12,0.06,-0.14,0.21,-0.0,-0.01,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Wx,-0.1,0.04,-0.01,0.04,-0.01,-0.0,0.01,0.02,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
SubAdv,Ø,-0.17,0.18,0.07,-0.06,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Ø,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubMod,Wx,0.07,-0.12,-0.22,0.29,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SubArg,Ø,-0.23,0.35,-0.22,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.2,-0.0,-0.0,-0.0
