,Main,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubAdv,SubMod,SubMod,SubArg
,x,Wx,x,Ø,x,x,Wx,Ø,Ø,Wx,Ø
PAST..IND,0.69,3.28,1.21,0.65,0.7,0.58,0.66,0.46,1.14,1.33,0.33
PRES.PERF.IND,0.98,0.41,0.99,1.38,1.44,1.37,1.22,2.27,0.96,0.44,4.6
PRES..IND,2.5,0.37,0.21,2.02,0.95,0.3,0.97,1.44,0.96,0.0,0.0
PAST.PERF.IND,0.25,0.54,4.6,0.04,1.4,4.97,1.6,0.27,0.91,6.77,0.0
FUT..IND,1.66,1.02,0.0,2.03,0.9,0.41,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,0.87,3.91,0.26,0.57,0.79,0.0,0.95,0.0,0.0,0.0,0.0
PRES..MOD,0.53,4.97,0.1,0.3,0.77,1.05,3.4,0.0,2.65,0.0,0.0
PRES..,1.07,1.02,0.97,0.76,0.76,0.0,6.1,3.63,0.0,0.0,0.0
PRES.PROG.IND,1.74,0.55,0.65,1.52,0.31,3.48,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,0.5,3.78,0.0,0.0,0.97,5.07,4.86,0.0,0.0,0.0,0.0
..,0.0,0.0,0.0,7.97,1.33,0.0,0.0,0.0,0.0,0.0,597.75
past.PERF_PROG.IND,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT.PERF.IND,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
