,SBH,SBH,LBH,LBH
,Q,N,N,Q
PAST..IND,0.28,3.53,2.56,0.46
PRES.PERF.IND,10.54,0.01,0.0,2.79
PAST.PERF.IND,0.13,3.73,2.71,0.27
PRES..IND,7.26,0.02,0.05,1.97
PAST..SUBJ,0.96,1.17,1.03,0.62
PRES..MOD,0.39,2.51,1.09,0.66
FUT..IND,7.18,0.0,0.0,1.88
PRES..,0.45,3.5,0.68,0.0
PRES.PROG.IND,2.79,0.0,0.0,4.86
PAST.PROG.IND,0.3,3.0,0.0,2.83
past.PERF_PROG.IND,0.0,2.0,6.79,0.0
PRES.PERF_PROG.IND,inf,0.0,0.0,0.0
..,0.0,inf,0.0,0.0
