eng_TAMsimp,instruction,prophetic,prose,list,poetry
FUT ~ MOD shall,-0.33,0.44,-0.07,-0.03,-0.01
IMPV ~ MOD shall,0.39,-0.28,-0.06,-0.02,-0.03
MOD is to ~ MOD shall,0.52,-0.34,-0.13,-0.02,-0.03
MOD must ~ MOD shall,0.56,-0.3,-0.21,-0.03,-0.02
FUT ~ PRES,-0.23,0.11,0.06,-0.03,0.09
PAST ~ PRES,-0.29,-0.21,-0.25,0.69,0.05
MOD shall ~ PRES,0.03,0.01,-0.0,-0.01,-0.03
FUT ~ MOD may,-0.16,0.19,0.03,-0.03,-0.03
MOD shall ~ TO INF,0.21,-0.17,-0.02,0.01,-0.03
PRES ~ PRES PART,-0.11,-0.09,0.03,0.12,0.05
PRES ~ PRES PERF,-0.13,-0.16,0.31,-0.03,0.01
MOD would ~ PAST,-0.37,-0.23,0.61,-0.03,0.02
FUT ~ MOD lest,-0.16,-0.11,0.06,-0.03,0.23
MOD may ~ TO INF,-0.1,-0.32,0.43,0.02,-0.03
MOD may ~ PRES,0.11,-0.12,-0.03,-0.03,0.07
PRES ~ TO INF,-0.05,0.0,0.1,-0.03,-0.03
FUT ~ IMPV,-0.37,0.32,0.04,-0.03,0.03
MOD may ~ MOD shall,0.19,-0.26,0.12,-0.03,-0.03
PAST ~ PRES PART,-0.37,-0.32,0.26,0.27,0.15
FUT ~ TO INF,-0.3,0.12,0.17,-0.03,0.04
MOD shall ~ PRES PART,0.14,-0.25,0.17,-0.03,-0.03
IMPV ~ PRES,-0.23,-0.11,0.4,-0.03,-0.03
IMPV ~ MOD let,-0.08,-0.31,0.45,-0.03,-0.03
IMPV ~ TO INF,-0.29,0.07,0.27,-0.03,-0.03
PAST ~ PRES PERF,-0.37,0.23,0.04,-0.03,0.13
FUT ~ PRES PART,-0.37,0.27,0.15,-0.03,-0.03
FUT ~ MOD let,-0.37,0.35,0.06,-0.03,-0.03
FUT ~ MOD would,-0.37,-0.13,0.46,-0.03,0.07
MOD can ~ MOD may,-0.18,-0.31,0.55,-0.03,-0.03
MOD can ~ MOD shall,-0.06,-0.31,0.43,-0.03,-0.03
MOD shall ~ PAST,0.08,0.24,-0.27,-0.03,-0.03
MOD let ~ MOD shall,-0.25,0.02,0.29,-0.03,-0.03
FUT ~ PAST,-0.24,-0.06,0.23,-0.03,0.1
MOD let ~ MOD may,-0.36,0.06,0.35,-0.03,-0.03
MOD is to ~ PRES,0.26,-0.19,-0.02,-0.03,-0.03
MOD is to ~ MOD let,0.51,-0.31,-0.15,-0.03,-0.03
MOD lest ~ TO INF,-0.36,-0.17,0.59,-0.03,-0.03
PAST ~ PAST PROG,-0.36,-0.03,0.44,-0.03,-0.03
MOD is to ~ PAST,0.49,-0.17,-0.27,-0.03,-0.03
MOD lest ~ MOD may,-0.36,-0.03,-0.13,-0.03,0.55
PAST ~ TO INF,0.06,-0.03,-0.27,0.12,0.12
MOD shall ~ PRES PERF,-0.03,0.19,-0.1,-0.03,-0.03
FUT ~ PRES PERF,-0.36,0.35,0.06,-0.03,-0.03
MOD may ~ MOD must,0.44,-0.31,-0.07,-0.03,-0.03
IMPV ~ PAST,-0.16,-0.31,0.53,-0.03,-0.03
IMPV ~ MOD lest,-0.16,0.09,0.13,-0.03,-0.03
MOD shall ~ MOD would,-0.36,-0.31,0.73,-0.03,-0.03
MOD would ~ PRES,-0.16,-0.31,0.13,-0.03,0.38
FUT ~ FUT PERF,-0.36,-0.31,0.48,-0.03,0.23
FUT ~ MOD can,-0.36,0.44,-0.02,-0.03,-0.03
