,instruction,prophetic,prose,list,poetry
FUT ~ MOD shall,-76.58,134.37,-4.05,-6.5,-1.45
IMPV ~ MOD shall,50.61,-36.6,-1.83,-2.34,-4.65
MOD is to ~ MOD shall,68.72,-46.26,-6.21,-1.68,-3.42
MOD must ~ MOD shall,44.27,-19.58,-9.56,-1.49,-0.74
FUT ~ PRES,-6.54,1.69,0.72,-0.93,4.9
PAST ~ PRES,-6.66,-3.74,-6.25,62.58,1.68
MOD shall ~ PRES,0.17,0.05,0.0,0.0,-0.4
FUT ~ MOD may,-1.84,2.35,0.19,-0.4,-0.19
MOD shall ~ TO INF,1.54,-1.2,0.0,0.28,0.0
PRES ~ PRES PART,-0.5,-0.39,0.08,2.32,0.83
PRES ~ PRES PERF,-0.66,-1.04,2.92,0.0,0.31
MOD would ~ PAST,-4.68,-1.87,9.06,0.0,0.34
FUT ~ MOD lest,-0.86,-0.42,0.31,0.0,4.71
MOD may ~ TO INF,-0.41,-3.46,4.6,0.34,0.0
MOD may ~ PRES,0.44,-0.46,0.0,0.0,1.02
PRES ~ TO INF,-0.09,-0.0,0.36,0.0,0.0
FUT ~ IMPV,-3.44,2.31,0.21,0.0,0.41
MOD may ~ MOD shall,0.86,-1.72,0.54,0.0,0.0
PAST ~ PRES PART,-3.24,-2.58,1.59,4.28,2.09
FUT ~ TO INF,-2.04,0.54,0.8,0.0,0.47
MOD shall ~ PRES PART,0.52,-1.53,0.8,0.0,0.0
IMPV ~ PRES,-0.99,-0.38,2.81,0.0,0.0
IMPV ~ MOD let,-0.11,-2.13,3.17,0.0,0.0
IMPV ~ TO INF,-1.4,0.25,1.27,0.0,0.0
PAST ~ PRES PERF,-2.49,0.89,0.12,0.0,1.39
FUT ~ PRES PART,-2.26,1.23,0.49,0.0,0.0
FUT ~ MOD let,-2.26,1.91,0.13,0.0,0.0
FUT ~ MOD would,-2.02,-0.28,2.68,0.0,0.61
MOD can ~ MOD may,-0.46,-1.67,3.61,0.0,0.0
MOD can ~ MOD shall,-0.12,-1.44,2.24,0.0,0.0
MOD shall ~ PAST,0.14,0.83,-0.9,0.0,0.0
MOD let ~ MOD shall,-0.77,-0.0,1.17,0.0,0.0
FUT ~ PAST,-0.57,0.0,0.65,0.0,0.73
MOD let ~ MOD may,-1.24,0.15,1.42,0.0,0.0
MOD is to ~ PRES,0.83,-0.35,0.0,0.0,0.0
MOD is to ~ MOD let,2.34,-1.2,-0.16,0.0,0.0
MOD lest ~ TO INF,-1.28,-0.35,2.67,0.0,0.0
PAST ~ PAST PROG,-1.28,0.0,1.73,0.0,0.0
MOD is to ~ PAST,1.95,-0.35,-0.7,0.0,0.0
MOD lest ~ MOD may,-1.28,0.0,-0.17,0.0,4.91
PAST ~ TO INF,0.15,0.0,-0.7,0.77,0.79
MOD shall ~ PRES PERF,0.0,0.41,0.0,0.0,0.0
FUT ~ PRES PERF,-1.03,1.09,0.18,0.0,0.0
MOD may ~ MOD must,1.21,-0.48,0.0,0.0,0.0
IMPV ~ PAST,-0.18,-0.48,1.67,0.0,0.0
IMPV ~ MOD lest,-0.18,0.19,0.21,0.0,0.0
MOD shall ~ MOD would,-0.78,-0.48,2.84,0.0,0.0
MOD would ~ PRES,-0.18,-0.48,0.21,0.0,2.23
FUT ~ FUT PERF,-0.52,-0.5,1.2,0.0,1.01
FUT ~ MOD can,-0.52,1.03,0.0,0.0,0.0
HAB used to ~ PAST,-0.52,-0.5,2.27,0.0,0.0
MOD shall ~ MOD should,-0.52,-0.5,2.27,0.0,0.0
IMPV ~ MOD may,0.0,0.0,0.53,0.0,0.0
MOD should ~ PRES,0.0,0.0,0.53,0.0,0.0
MOD let ~ TO INF,-0.52,-0.5,2.27,0.0,0.0
IMPV ~ MOD must,-0.52,-0.5,2.27,0.0,0.0
MOD VB ~ PRES,0.52,-0.0,-0.25,0.0,0.0
MOD is to ~ TO INF,1.32,-0.25,-0.25,0.0,0.0
MOD could ~ MOD may,-0.25,-0.25,1.7,0.0,0.0
IMPV ~ MOD would,-0.25,-0.25,1.7,0.0,0.0
HAB used to ~ MOD would,-0.25,-0.25,1.7,0.0,0.0
MOD can ~ PRES,0.0,-0.25,-0.0,0.0,1.13
MOD should ~ TO INF,-0.25,-0.0,-0.25,0.0,2.73
PAST ~ PAST PERF,-0.25,-0.0,0.74,0.0,0.0
FUT ~ FUT going-to,-0.25,0.63,-0.0,0.0,0.0
IMPV ~ PRES PART,-0.27,0.0,1.13,0.0,0.0
IMPV ~ MOD is to,-0.27,0.0,1.13,0.0,0.0
FUT ~ MOD must,-0.27,0.0,1.13,0.0,0.0
MOD can ~ MOD let,-0.0,0.0,0.33,0.0,0.0
MOD lest ~ MOD might,-0.0,0.0,0.33,0.0,0.0
FUT going-to ~ MOD shall,-0.27,0.0,1.13,0.0,0.0
MOD was to ~ PAST,-0.27,0.0,0.0,3.17,0.0
MOD may ~ MOD should,-0.27,0.0,0.0,0.0,3.2
PRES ~ PRES PROG,-0.27,0.0,1.13,0.0,0.0
MOD must ~ PRES PART,-0.0,0.0,0.33,0.0,0.0
MOD must ~ PRES,-0.0,0.0,0.0,0.0,1.3
PRES PART ~ PRES PERF,-0.27,1.01,0.0,0.0,0.0
MOD lest ~ MOD must,-0.27,0.0,1.13,0.0,0.0
MOD may ~ PRES PART,-0.27,0.0,0.33,0.0,1.3
MOD lest ~ PRES PART,-0.27,0.0,1.13,0.0,0.0
MOD let ~ MOD must,-0.27,0.28,0.33,0.0,0.0
MOD that be ~ TO INF,0.88,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,-0.27,0.0,1.13,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.33,0.0,0.0
FUT ~ MOD that be,0.44,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,0.0,0.57,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,0.57,0.0,0.0
MOD can ~ TO INF,0.0,0.5,0.0,0.0,0.0
MOD would ~ TO INF,0.0,0.0,0.57,0.0,0.0
MOD ~ MOD would,0.0,0.0,0.57,0.0,0.0
FUT ~ MOD is to,0.0,0.0,0.57,0.0,0.0
PAST PROG ~ TO INF,0.0,0.0,0.57,0.0,0.0
FUT ~ MOD VB,0.0,0.0,0.57,0.0,0.0
PRES PERF ~ TO INF,0.0,0.0,0.57,0.0,0.0
FUT ~ FUT PROG,0.44,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,0.57,0.0,0.0
MOD might ~ MOD would,0.0,0.0,0.57,0.0,0.0
MOD should ~ MOD would,0.0,0.0,0.57,0.0,0.0
MOD let ~ MOD might,0.0,0.0,0.0,1.58,0.0
MOD could ~ TO INF,0.0,0.0,0.57,0.0,0.0
MOD is to ~ MOD lest,0.0,0.5,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,0.57,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,0.57,0.0,0.0
MOD is to ~ PRES PART,0.44,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.44,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.0,0.0,0.57,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.57,0.0,0.0
MOD let ~ MOD would,0.0,0.0,0.0,1.58,0.0
MOD let ~ PRES PART,0.0,0.0,0.57,0.0,0.0
IMPV ~ MOD VB,0.0,0.0,0.57,0.0,0.0
HAB used to ~ PRES PART,0.0,0.0,0.57,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,0.57,0.0,0.0
MOD could ~ MOD would,0.0,0.0,0.57,0.0,0.0
PRES ~ VB,0.0,0.5,0.0,0.0,0.0
