,sum
FUT,183
MOD let,148
MOD may,35
PRES,31
MOD can,25
TO INF,17
MOD would,17
PAST,10
MOD must,5
IMPV do not,4
MOD could,4
PRES PART,3
IMPV,3
MOD might,2
FUT going-to,2
PRES PERF,2
MOD should,2
MOD quest must,1
FUT PERF,1
MOD was to,1
MOD shall,1
PRES do-support,1
