eng_TAM,Q,N,?,D
PAST..IND,1.1,1.38,9.86,84.75
PRES.PERF.IND,0.04,167.14,55.05,57.85
PRES..IND,0.13,72.64,11.13,49.29
PAST.PERF.IND,4.47,0.32,19.58,85.89
FUT..IND,0.11,inf,16.25,22.0
PAST..SUBJ,0.55,2.1,inf,30.0
PRES..MOD,1.2,1.12,12.75,inf
PRES..,0.45,2.56,31.0,inf
PRES.PROG.IND,0.0,inf,inf,inf
PAST.PROG.IND,1.6,0.86,12.0,inf
..,0.25,4.0,inf,inf
past.PERF_PROG.IND,inf,0.0,inf,inf
FUT.PERF.IND,0.0,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf
