domain2,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
Q,0.31,0.35,0.29,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.71,0.01,0.01,0.24,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
?,0.59,0.07,0.27,0.06,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.34,0.28,0.29,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
