bhsa_node,mother_clause,mother_cl_atom,mother_clause_atom,mother_rela,mother_domain2,mother_verbtype,mother_type,mother_verb_ps,mother_verb_lex,mother_verbplain,daught_clause,daught_cl_atom,daught_clause_atom,daught_rela,daught_domain2,daught_verbtype,daught_type,daught_verb_ps,daught_verb_lex,daught_verbplain
3,,,,,,,,,,,וְהָאָ֗רֶץ הָיְתָ֥ה תֹ֨הוּ֙ וָבֹ֔הוּ ,515675.0,וְהָאָ֗רֶץ הָיְתָ֥ה תֹ֨הוּ֙ וָבֹ֔הוּ ,Main,?,qtl,WXQt,p3,HJH[,היתה
15,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ,515674.0,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ,Main,?,qtl,xQtX,p3,BR>[,ברא,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,515676.0,וְחֹ֖שֶׁךְ עַל־פְּנֵ֣י תְהֹ֑ום ,Main,?,Ø,NmCl,,,
47,וַיַּ֧רְא אֱלֹהִ֛ים אֶת־הָאֹ֖ור ,515681.0,וַיַּ֧רְא אֱלֹהִ֛ים אֶת־הָאֹ֖ור ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
69,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לָאֹור֙ יֹ֔ום ,515684.0,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לָאֹור֙ יֹ֔ום ,Main,N,wayq,WayX,p3,QR>[,יקרא,,,,,,,,,,
172,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לַיַּבָּשָׁה֙ אֶ֔רֶץ ,515706.0,וַיִּקְרָ֨א אֱלֹהִ֤ים׀ לַיַּבָּשָׁה֙ אֶ֔רֶץ ,Main,N,wayq,WayX,p3,QR>[,יקרא,,,,,,,,,,
178,וַיַּ֥רְא אֱלֹהִ֖ים ,515708.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
227,וַיַּ֥רְא אֱלֹהִ֖ים ,515724.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
351,וַיַּ֥רְא אֱלֹהִ֖ים ,515741.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
397,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ לְמִֽינֵהֶ֗ם ,515749.0,וַיִּבְרָ֣א אֱלֹהִ֔ים אֶת־הַתַּנִּינִ֖ם הַגְּדֹלִ֑ים וְאֵ֣ת כָּל־נֶ֣פֶשׁ ,Main,N,wayq,WayX,p3,BR>[,יברא,,,,,,,,,,
413,וַיַּ֥רְא אֱלֹהִ֖ים ,515755.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
494,וַיַּ֥רְא אֱלֹהִ֖ים ,515773.0,וַיַּ֥רְא אֱלֹהִ֖ים ,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
545,וַיִּבְרָ֨א אֱלֹהִ֤ים׀ אֶת־הָֽאָדָם֙ בְּצַלְמֹ֔ו ,515779.0,וַיִּבְרָ֨א אֱלֹהִ֤ים׀ אֶת־הָֽאָדָם֙ בְּצַלְמֹ֔ו ,Main,N,wayq,WayX,p3,BR>[,יברא,זָכָ֥ר וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם׃ ,515781.0,זָכָ֥ר וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם׃ ,Main,N,qtl,xQt0,p3,BR>[,ברא
550,בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹתֹ֑ו ,515780.0,בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹתֹ֑ו ,Main,N,qtl,xQt0,p3,BR>[,ברא,,,,,,,,,,
594,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,515790.0,וַיֹּ֣אמֶר אֱלֹהִ֗ים ,Main,N,wayq,WayX,p3,>MR[,יאמר,זֹרֵ֣עַ זֶ֗רַע ,515792.0,זֹרֵ֣עַ זֶ֗רַע ,SubMod,Q,ptcp,Ptcp,unknown,ZR<[,זרע
660,וַיַּ֤רְא אֱלֹהִים֙ אֶת־כָּל־,515802.0,וַיַּ֤רְא אֱלֹהִים֙ אֶת־כָּל־,Main,N,wayq,WayX,p3,R>H[,ירא,,,,,,,,,,
694,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו ,515809.0,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו ,Main,N,wayq,WayX,p3,KLH[,יכל,,,,,,,,,,
706,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו ,515811.0,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו ,Main,N,wayq,Way0,p3,CBT[,ישׁבת,,,,,,,,,,
719,וַיְבָ֤רֶךְ אֱלֹהִים֙ אֶת־יֹ֣ום הַשְּׁבִיעִ֔י ,515813.0,וַיְבָ֤רֶךְ אֱלֹהִים֙ אֶת־יֹ֣ום הַשְּׁבִיעִ֔י ,Main,N,wayq,WayX,p3,BRK[,יברך,אֲשֶׁר־בָּרָ֥א אֱלֹהִ֖ים ,515816.0,אֲשֶׁר־בָּרָ֥א אֱלֹהִ֖ים ,SubMod,N,qtl,xQtX,p3,BR>[,ברא
