has_objc,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
0,0.03,-0.05,-0.02,0.04,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
1,-0.03,0.05,0.02,-0.04,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
