esv_TAM,sum
PAST..IND,4830
PRES.PERF.IND,3264
PRES..IND,2434
PAST.PERF.IND,943
PRES..MOD,128
PAST..SUBJ,92
FUT..IND,84
PRES..,66
PAST.PROG.IND,24
PRES.PROG.IND,20
..,13
FUT.PERF.IND,4
PRES.PERF_PROG.IND,3
past.PERF_PROG.IND,2
