clause_rela,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
cltype_simp,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
niv_TAM,,,,,,,,,,,,,
FUT,0.0,0.09,-0.0,-0.02,0.0,-0.04,-0.02,-0.0,-0.0,-0.01,-0.0,-0.0,0.0
PRES,-0.09,-0.1,-0.01,0.11,-0.06,0.08,0.04,0.01,0.01,0.01,0.0,0.0,-0.0
IMPV do not,0.34,0.1,-0.14,-0.11,-0.09,-0.05,-0.02,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0
MOD may,-0.15,-0.1,0.08,0.03,0.2,-0.03,-0.01,-0.01,-0.0,-0.01,-0.0,0.0,-0.0
IMPV,0.1,0.08,0.02,-0.09,-0.02,-0.04,-0.02,-0.02,-0.0,-0.01,-0.0,0.0,-0.0
MOD let,-0.2,-0.15,0.34,-0.1,0.21,-0.05,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST,-0.08,-0.02,0.1,-0.02,-0.01,0.02,0.0,-0.0,0.01,0.01,-0.0,0.0,0.0
MOD can,0.03,0.04,-0.12,0.01,0.01,0.03,0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must,0.17,0.06,-0.01,-0.08,-0.06,-0.04,-0.03,-0.01,-0.0,-0.01,-0.0,-0.0,-0.0
MOD is to,0.15,0.04,-0.05,-0.08,-0.07,0.05,-0.03,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
TO INF,-0.2,-0.07,-0.07,-0.01,0.24,-0.02,0.02,0.09,0.0,0.0,-0.0,0.01,-0.0
PRES PART,-0.06,0.02,-0.02,0.01,-0.01,0.02,0.01,0.01,0.0,0.02,-0.0,-0.0,-0.0
MOD would,-0.0,-0.05,0.02,-0.03,0.02,-0.02,0.0,0.05,0.0,-0.0,0.01,-0.0,-0.0
PRES do not,-0.06,0.09,-0.14,0.06,-0.09,0.01,0.14,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0
MOD shall,0.24,0.0,-0.03,-0.04,-0.07,-0.05,-0.03,-0.02,-0.01,-0.0,-0.0,-0.0,-0.0
PRES PERF,-0.16,-0.12,-0.02,0.18,-0.02,0.06,0.02,0.01,0.01,0.03,0.0,-0.0,-0.0
MOD should,0.05,-0.04,-0.11,0.04,-0.03,0.04,-0.0,0.05,-0.01,0.0,0.01,-0.0,-0.0
FUT question,0.28,-0.15,-0.0,-0.01,-0.06,-0.04,0.0,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES wh-question,0.25,-0.0,-0.06,-0.06,-0.02,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES question,0.23,-0.03,-0.05,-0.05,-0.06,-0.05,0.01,-0.02,0.01,-0.01,-0.0,-0.0,-0.0
MOD could,-0.09,0.01,-0.12,0.03,-0.04,0.15,0.03,0.03,-0.01,-0.01,0.03,-0.0,-0.0
MOD quest can,0.26,-0.15,-0.08,0.1,-0.04,-0.05,-0.03,-0.02,-0.01,0.02,-0.0,-0.0,-0.0
MOD might,-0.11,-0.18,-0.08,0.25,-0.02,-0.01,0.04,0.02,-0.01,0.03,0.03,0.03,-0.0
MOD quest should,0.33,-0.15,-0.08,0.09,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST did not,-0.11,0.48,-0.14,-0.11,-0.09,-0.01,0.01,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest shall,0.51,-0.18,-0.03,-0.11,-0.09,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PRES PROG,-0.19,-0.07,-0.04,0.14,-0.04,0.16,0.02,0.03,-0.01,-0.01,-0.0,-0.0,-0.0
FUT wh-question,0.13,0.15,-0.09,-0.11,0.02,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
MOD was to,-0.06,-0.05,-0.09,-0.0,-0.03,0.23,-0.03,0.04,-0.01,-0.01,-0.0,-0.0,-0.0
MOD quest would,0.36,-0.16,-0.03,-0.05,-0.03,-0.05,-0.03,-0.02,-0.01,-0.01,-0.0,-0.0,-0.0
PAST PERF,-0.22,0.08,0.09,-0.11,-0.03,0.13,0.03,0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT going-to,0.28,-0.22,-0.14,0.01,0.1,-0.05,-0.03,0.05,-0.01,-0.01,-0.0,-0.0,-0.0
