clause_rela,cltype_simp,sum
Main,x,5033
Main,Wx,3196
Main,Ø,2106
SubAdv,x,1657
Main,W,1273
SubMod,x,663
SubAdv,Wx,372
SubArg,x,234
SubAdv,Ø,84
SubMod,Ø,77
SubAdv,W,28
SubArg,Ø,15
SubMod,Wx,3
