,Main,Main,Main,SubAdv,Main,SubMod,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,Ø,x,W,x,Wx,x,Ø,Ø,W,Ø,Wx
FUT,0.21,31.32,-0.03,-3.83,0.44,-23.74,-18.59,-1.24,-1.21,-7.2,-1.86,-0.78,-0.0
PRES,-21.86,-34.13,-1.1,62.39,-27.49,65.72,30.76,1.35,5.51,9.73,3.73,0.97,0.0
IMPV do not,78.84,10.25,-45.63,-33.86,-29.83,-14.42,-4.7,-2.71,-1.62,-1.44,-0.4,0.0,0.0
MOD may,-17.05,-9.95,7.48,1.37,50.16,-3.64,-0.34,-1.56,-0.1,-1.28,-0.19,0.29,0.0
IMPV,6.99,5.62,0.68,-14.13,-1.26,-10.49,-4.99,-4.42,-0.73,-1.3,0.0,0.3,0.0
MOD let,-28.56,-21.59,91.31,-23.58,52.7,-13.04,-2.89,-4.42,-1.26,-1.3,-0.2,0.0,0.0
PAST,-4.8,-0.43,10.07,-0.61,-0.67,1.22,0.05,-0.38,1.59,1.79,0.0,0.32,0.91
MOD can,0.81,1.21,-18.53,0.47,0.21,2.66,0.12,0.72,-0.28,0.0,0.0,0.0,0.0
MOD must,13.03,2.78,-0.14,-8.31,-7.09,-5.6,-4.72,-1.29,0.0,-0.75,0.0,0.0,0.0
MOD is to,7.31,1.09,-1.94,-6.33,-7.48,3.38,-3.52,0.0,0.14,0.0,0.0,0.0,0.0
TO INF,-14.43,-2.4,-3.17,-0.15,30.54,-0.68,1.84,15.83,0.16,0.67,0.0,2.48,0.0
PRES PART,-1.08,0.25,-0.31,0.13,-0.09,1.01,0.57,0.4,0.45,2.25,0.0,0.0,0.0
MOD would,0.0,-1.17,0.36,-0.71,0.48,-0.6,0.08,4.99,0.45,0.0,2.1,0.0,0.0
PRES do not,-1.09,2.72,-12.52,2.08,-8.07,0.39,17.2,0.0,-0.2,-0.2,0.0,0.0,0.0
MOD shall,11.65,0.03,-0.56,-1.21,-4.75,-3.87,-2.15,-1.07,-0.2,0.0,0.0,0.0,0.0
PRES PERF,-4.41,-3.91,-0.26,9.04,-0.33,2.96,0.55,0.52,1.27,2.96,0.61,0.0,0.0
MOD should,0.67,-0.58,-4.48,0.85,-0.64,1.42,0.0,4.02,0.0,0.28,0.62,0.0,0.0
FUT question,8.05,-4.07,0.0,-0.06,-1.32,-1.03,0.13,-0.38,0.0,0.0,0.0,0.0,0.0
PRES wh-question,4.85,0.0,-0.86,-0.86,-0.17,-1.3,-0.57,-0.2,0.0,0.0,0.0,0.0,0.0
PRES question,4.37,-0.24,-0.6,-0.57,-1.2,-1.3,0.36,-0.2,0.46,0.0,0.0,0.0,0.0
MOD could,-0.97,0.05,-2.68,0.34,-0.68,5.49,0.96,0.97,0.0,0.0,2.09,0.0,0.0
MOD quest can,3.69,-2.13,-0.84,1.21,-0.36,-0.56,-0.2,0.0,0.0,0.65,0.0,0.0,0.0
MOD might,-0.6,-1.9,-0.52,3.6,0.0,0.0,0.76,0.42,0.0,0.84,1.26,1.52,0.0
MOD quest should,3.47,-1.34,-0.52,0.85,-0.97,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST did not,-0.6,7.71,-1.78,-1.37,-0.97,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest shall,6.79,-1.54,0.0,-0.96,-0.79,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,-1.02,-0.23,-0.12,1.18,0.0,1.96,0.4,0.56,0.0,0.0,0.0,0.0,0.0
FUT wh-question,0.63,0.8,-0.3,-0.58,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,-0.09,-0.11,-0.3,0.0,0.0,3.02,0.0,0.6,0.0,0.0,0.0,0.0,0.0
MOD quest would,2.5,-0.84,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,-1.15,0.41,0.54,-0.61,0.0,1.41,0.45,0.62,0.0,0.0,0.0,0.0,0.0
FUT going-to,1.51,-1.5,-0.82,0.16,0.81,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0
MOD lest,-1.69,-0.87,-0.42,6.9,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,-0.75,0.38,-0.43,0.57,0.0,0.47,0.69,0.0,0.0,0.0,0.0,0.0,2.74
HAB used to,0.0,0.38,-0.43,-0.21,0.0,0.47,0.0,2.08,0.0,0.0,0.0,0.0,0.0
MOD VB,-0.99,0.92,-0.22,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES do-support,-0.17,-0.45,-0.0,0.29,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF wh-question,2.8,-0.45,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST wh-question,0.0,0.92,-0.22,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF question,-0.0,0.53,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0
MOD quest must,0.0,0.68,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,-0.26,0.92,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST question,0.57,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest could,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0
FUT PROG,-0.26,0.0,0.43,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,-0.26,0.41,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST do-support,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
