bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree,is_progressive
3,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
15,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
47,,,,,,,,,0,,,0,0,0
69,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
172,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
178,,,,,,,,,0,,,0,0,0
227,,,,,,,,,0,,,0,0,0
351,,,,,,,,,0,,,0,0,0
397,NNP,,,,NNS,,,,0,,,0,0,0
413,,,,,,,,,0,,,0,0,0
494,,,,,,,,,0,,,0,0,0
545,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
550,PRP|VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
594,PRP|VBP|VBN,VBP|VBN,PRES PERF,PRES PERF,PRP|VBP,VBP,PRES,PRES,1,PRES ~ PRES PERF,PRES ~ PRES PERF,0,0,0
660,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1,0
694,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,PRP|VBD|VBN|VBG,VBD|VBN|VBG,PAST PERF PROG,PAST PERF PROG,1,PAST PERF ~ PAST PERF PROG,PAST PERF ~ PAST PERF PROG,0,0,1
706,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,,,,,0,,,0,0,0
719,VBD,VBD,PAST,PAST,PRP|VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
724,PRP|VBD|VBN|IN|NN,VBD|VBN,PAST PERF,PAST PERF,VBG,VBG,PRES PART,PRES PART,1,PAST PERF ~ PRES PART,PAST PERF ~ PRES PART,0,0,0
764,VBD|VBN|TO|VB,VBD|VBN|VB,PAST PERF,PAST PERF,VBD|VBN|NN,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1,0
831,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1,0
1074,VBN,VBN,,,VBD|VBN,VBD|VBN,PAST,PAST,0,,,0,0,0
1105,VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,PRP|VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1,0
1137,VBD|VBN,VBD|VBN,PAST,PAST,VBD|VBN,VBD|VBN,PAST,PAST,1,PAST,PAST,1,1,0
1171,VBD,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1,0
1179,VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,VBD|VBN,VBD|VBN,PAST PERF,PAST PERF,1,PAST PERF,PAST PERF,1,1,0
1189,VBD|VB,VBD|VB,PAST question,PAST,VBD|VB,VBD|VB,PAST question,PAST,1,PAST question,PAST,1,1,0
