genre,domain2,person,TOTAL,PRES,PAST,PRES PART,PRES ~ PRES PART,FUT,PAST PROG,PRES PROG,PAST ~ PAST PROG,PAST ~ PRES PART,PRES ~ PRES PROG,PAST ~ PRES,FUT ~ PRES,FUT ~ MOD shall,PRES ~ PRES PERF,PRES PERF,TO INF,PAST PERF,PAST PROG ~ PRES PART,FUT ~ FUT going-to,PAST ~ PRES PERF,PAST ~ PAST PERF,PRES PART ~ PRES PROG,FUT ~ PRES PROG,FUT ~ PRES PART,PAST ~ TO INF,FUT ~ TO INF,MOD may ~ PRES,FUT going-to ~ PRES,MOD could ~ PAST,PRES PART ~ TO INF,FUT going-to ~ PRES PROG,PRES ~ TO INF,IMPV ~ PRES,MOD is to ~ PRES,MOD can ~ PRES,MOD could,PRES PART ~ PRES PERF,MOD shall ~ PRES,MOD should,IMPV,MOD can,PAST PERF ~ PAST PROG,IMPV ~ MOD may,FUT going-to ~ MOD shall,MOD would ~ PRES,MOD would ~ PAST,MOD would,FUT ~ MOD must,MOD is to ~ MOD shall,PAST PROG ~ PRES,PAST ~ PRES PROG,PAST ~ PAST PERF PROG,MOD shall ~ TO INF,PRES PERF PROG,MOD is to ~ PRES PART,PRES PERF ~ PRES PROG,MOD may,MOD let ~ PRES,MOD is to,MOD should ~ MOD would,PRES PERF PROG ~ PRES PROG,FUT PROG ~ PRES PART,MOD should ~ TO INF,MOD can ~ TO INF,FUT ~ MOD is to,MOD was to ~ PAST,PRES ~ PRES PERF PROG,MOD can ~ MOD shall,MOD can ~ PRES PART,MOD is to ~ TO INF,MOD let,PRES ~ PRES PROG keep,MOD may ~ PAST,PAST PERF PROG ~ PAST PROG,MOD was to ~ TO INF,FUT ~ MOD may,MOD must ~ MOD shall,MOD must ~ PRES,PAST PERF ~ PAST PERF PROG,PRES PART ~ PRES PERF PROG,FUT going-to ~ PRES PART,FUT ~ PAST PROG,PAST PERF ~ PRES PART,MOD may ~ TO INF,MOD was to ~ PAST PROG,PAST PERF ~ PRES,FUT ~ FUT PROG,IMPV ~ PRES PROG,FUT ~ MOD can,HAB used to ~ PAST PERF,FUT PROG ~ MOD is to,IMPV ~ PAST,FUT ~ MOD would,FUT ~ VB,HAB used to ~ PAST,FUT ~ PAST,TO INF ~ VB,MOD can ~ MOD may,MOD could ~ PRES PART,PRES PROG ~ TO INF,PRES PROG ~ PRES PROG keep,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,PAST ~ VB,PAST PROG ~ TO INF,MOD would ~ PRES PROG,MOD would ~ PRES PERF,MOD was to ~ PRES PART,MOD was to,MOD that VB ~ PRES PART,MOD should ~ PRES PERF,MOD should ~ PRES,MOD should ~ PAST,MOD should ~ MOD was to,MOD shall ~ PRES PART,MOD shall ~ PAST,MOD shall,MOD need not ~ TO INF,MOD must ~ PRES PART,MOD must,MOD might,MOD may ~ PRES PART,MOD let ~ TO INF,MOD is to ~ MOD would,MOD shall ~ PRES PERF
prophetic,Q,unknown,1054,427,79,59,60,83,8,47,7,9,29,14,24,11,14,16,24,2,2,15,11,1,5,17,11,1,7,3,3,0,3,6,2,3,2,1,0,3,2,1,1,4,0,0,2,0,0,0,0,0,1,4,0,2,1,2,1,0,1,0,2,0,0,0,2,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
prose,Q,unknown,931,289,65,82,57,38,8,59,10,5,45,10,18,33,14,23,9,3,2,19,15,2,18,5,3,2,3,5,6,0,1,2,2,3,2,3,3,2,1,3,2,0,1,4,2,4,0,1,2,1,0,0,0,0,2,0,2,1,1,0,0,2,3,3,0,3,0,1,1,2,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
prose,N,unknown,782,43,292,76,7,0,85,0,72,52,0,5,0,0,0,0,5,36,30,0,0,20,0,0,0,12,0,0,0,4,2,0,1,0,0,0,3,0,0,1,1,0,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
poetry,Q,unknown,603,419,32,31,24,8,0,1,0,2,4,20,4,0,15,3,2,1,1,0,4,0,1,0,3,0,1,3,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
instruction,Q,unknown,209,113,11,29,15,1,0,4,0,0,7,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,?,unknown,148,118,2,9,8,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,N,unknown,93,11,21,9,3,1,14,0,10,13,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,?,unknown,73,37,6,2,4,1,1,0,0,2,1,4,3,6,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,?,unknown,61,25,23,2,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,N,unknown,42,1,22,3,1,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
