genre,domain2,person,PRES,PAST,PRES PART,PRES ~ PRES PART,FUT,PAST PROG,PRES PROG,PAST ~ PAST PROG,PAST ~ PRES PART,PRES ~ PRES PROG,PAST ~ PRES,FUT ~ PRES,FUT ~ MOD shall,PRES ~ PRES PERF,PRES PERF,TO INF,PAST PERF,PAST PROG ~ PRES PART,FUT ~ FUT going-to,PAST ~ PRES PERF,PAST ~ PAST PERF,PRES PART ~ PRES PROG,FUT ~ PRES PROG,FUT ~ PRES PART,PAST ~ TO INF,FUT ~ TO INF,MOD may ~ PRES,FUT going-to ~ PRES,MOD could ~ PAST,PRES PART ~ TO INF,FUT going-to ~ PRES PROG,PRES ~ TO INF,IMPV ~ PRES,MOD is to ~ PRES,MOD can ~ PRES,MOD could,PRES PART ~ PRES PERF,MOD shall ~ PRES,MOD should,IMPV,MOD can,PAST PERF ~ PAST PROG,IMPV ~ MOD may,FUT going-to ~ MOD shall,MOD would ~ PRES,MOD would ~ PAST,MOD would,FUT ~ MOD must,MOD is to ~ MOD shall,PAST PROG ~ PRES,PAST ~ PRES PROG,PAST ~ PAST PERF PROG,MOD shall ~ TO INF,PRES PERF PROG,MOD is to ~ PRES PART,PRES PERF ~ PRES PROG,MOD may,MOD let ~ PRES,MOD is to,MOD should ~ MOD would,PRES PERF PROG ~ PRES PROG,FUT PROG ~ PRES PART,MOD should ~ TO INF,MOD can ~ TO INF,FUT ~ MOD is to,MOD was to ~ PAST,PRES ~ PRES PERF PROG,MOD can ~ MOD shall,MOD can ~ PRES PART,MOD is to ~ TO INF,MOD let,PRES ~ PRES PROG keep,MOD may ~ PAST,PAST PERF PROG ~ PAST PROG,MOD was to ~ TO INF,FUT ~ MOD may,MOD must ~ MOD shall,MOD must ~ PRES,PAST PERF ~ PAST PERF PROG,PRES PART ~ PRES PERF PROG,FUT going-to ~ PRES PART,FUT ~ PAST PROG,PAST PERF ~ PRES PART,MOD may ~ TO INF,MOD was to ~ PAST PROG,PAST PERF ~ PRES,FUT ~ FUT PROG,IMPV ~ PRES PROG,FUT ~ MOD can,HAB used to ~ PAST PERF,FUT PROG ~ MOD is to,IMPV ~ PAST,FUT ~ MOD would,FUT ~ VB,HAB used to ~ PAST,FUT ~ PAST,TO INF ~ VB,MOD can ~ MOD may,MOD could ~ PRES PART,PRES PROG ~ TO INF,PRES PROG ~ PRES PROG keep,PRES PERF ~ TO INF,PRES PERF ~ PRES PERF PROG,PAST ~ VB,PAST PROG ~ TO INF,MOD would ~ PRES PROG,MOD would ~ PRES PERF,MOD was to ~ PRES PART,MOD was to,MOD that VB ~ PRES PART,MOD should ~ PRES PERF,MOD should ~ PRES,MOD should ~ PAST,MOD should ~ MOD was to,MOD shall ~ PRES PART,MOD shall ~ PAST,MOD shall,MOD need not ~ TO INF,MOD must ~ PRES PART,MOD must,MOD might,MOD may ~ PRES PART,MOD let ~ TO INF,MOD is to ~ MOD would,MOD shall ~ PRES PERF
prophetic,Q,unknown,0.04,-0.09,-0.03,0.02,0.06,-0.03,0.02,-0.02,-0.02,0.01,-0.0,0.01,-0.0,0.0,0.01,0.02,-0.01,-0.01,0.01,0.0,-0.01,-0.0,0.01,0.01,-0.0,0.01,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
prose,Q,unknown,-0.08,-0.09,0.01,0.02,0.01,-0.03,0.05,-0.02,-0.02,0.04,-0.01,0.01,0.03,0.0,0.02,-0.0,-0.01,-0.01,0.02,0.01,-0.01,0.02,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
prose,N,unknown,-0.39,0.28,0.02,-0.04,-0.04,0.1,-0.03,0.08,0.05,-0.03,-0.01,-0.02,-0.02,-0.01,-0.01,-0.0,0.04,0.04,-0.01,-0.01,0.02,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
poetry,Q,unknown,0.38,-0.11,-0.03,-0.0,-0.02,-0.04,-0.03,-0.03,-0.02,-0.02,0.02,-0.01,-0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
instruction,Q,unknown,0.18,-0.1,0.06,0.03,-0.03,-0.03,-0.01,-0.03,-0.02,0.01,-0.01,0.0,-0.01,-0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,0.0,0.01,-0.0,0.0,0.01,-0.0,0.0,0.01,0.01,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
poetry,?,unknown,0.44,-0.13,-0.02,0.01,-0.03,-0.03,-0.03,-0.03,-0.02,-0.02,-0.02,-0.01,-0.01,-0.0,-0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
prophetic,N,unknown,-0.26,0.08,0.02,-0.01,-0.02,0.12,-0.03,0.08,0.12,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,0.0,0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
prophetic,?,unknown,0.14,-0.06,-0.05,0.01,-0.02,-0.02,-0.03,-0.03,0.0,-0.01,0.04,0.03,0.07,0.0,-0.01,-0.01,-0.01,0.0,0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
prose,?,unknown,0.04,0.24,-0.05,-0.04,-0.03,0.07,-0.03,0.01,0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
list,N,unknown,-0.35,0.38,-0.01,-0.02,-0.03,-0.01,-0.03,-0.02,0.1,-0.02,0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,0.02,-0.0,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
