eng_TAMsimp,Q,D,?,N
PRES,-0.05,0.0,0.05,-0.0
FUT,0.03,-0.03,-0.0,-0.0
FUT ~ MOD shall,0.05,-0.03,-0.01,-0.0
IMPV,0.09,-0.05,-0.04,-0.0
IMPV ~ MOD shall,0.0,0.03,-0.04,-0.0
PAST,-0.3,0.28,-0.0,0.02
FUT ~ PRES,-0.01,-0.02,0.04,-0.0
MOD let,0.03,-0.04,0.01,-0.0
MOD must ~ MOD shall,-0.02,0.03,-0.01,-0.0
MOD may,0.05,-0.02,-0.03,-0.0
MOD is to ~ MOD shall,0.03,-0.02,-0.01,-0.0
MOD can,0.02,-0.04,0.03,-0.0
MOD shall,0.05,-0.02,-0.02,-0.0
MOD shall ~ PRES,0.02,-0.01,-0.01,-0.0
FUT ~ MOD may,0.06,-0.03,-0.03,-0.0
MOD would,-0.05,0.04,-0.04,0.05
IMPV ~ MOD let,0.08,-0.05,-0.03,-0.0
PAST ~ PRES,-0.07,0.05,0.01,0.01
MOD let ~ MOD may,0.09,-0.05,-0.04,-0.0
PRES ~ PRES PART,-0.01,-0.01,0.02,-0.0
PRES ~ PRES PERF,0.04,-0.0,-0.04,-0.0
MOD should,0.0,0.01,-0.02,0.01
FUT ~ MOD lest,0.09,-0.05,-0.04,-0.0
MOD can ~ PRES,0.03,-0.05,0.02,-0.0
TO INF,0.05,-0.04,-0.04,0.03
FUT ~ MOD can,0.03,-0.02,-0.0,-0.0
MOD may ~ PRES,-0.03,-0.0,0.03,-0.0
PRES PERF,0.04,-0.0,-0.04,-0.0
MOD may ~ MOD shall,0.02,-0.03,0.02,-0.0
IMPV ~ PRES,0.09,-0.05,-0.04,-0.0
MOD can ~ MOD may,0.05,-0.05,0.0,-0.0
PRES PART,0.03,0.01,-0.04,-0.0
PRES ~ TO INF,0.02,-0.03,0.01,-0.0
MOD should ~ PRES,0.09,-0.05,-0.04,-0.0
MOD can ~ MOD shall,0.04,-0.05,0.01,-0.0
FUT ~ MOD would,0.09,-0.05,-0.04,-0.0
MOD must,0.06,-0.05,-0.01,-0.0
MOD shall ~ TO INF,0.09,-0.05,-0.04,-0.0
MOD could,-0.28,0.32,-0.04,-0.0
PAST ~ PRES PERF,0.09,-0.05,-0.04,-0.0
MOD may ~ TO INF,0.09,-0.05,-0.04,-0.0
MOD shall ~ MOD should,0.09,-0.05,-0.04,-0.0
IMPV ~ MOD may,0.09,-0.05,-0.04,-0.0
FUT ~ TO INF,0.05,-0.05,-0.0,-0.0
MOD would ~ PAST,-0.67,0.68,-0.0,-0.0
MOD would ~ PRES,0.0,-0.01,0.01,-0.0
FUT ~ IMPV,0.04,-0.01,-0.04,-0.0
MOD let ~ PRES,-0.05,-0.0,0.05,-0.0
PAST ~ PRES PART,-0.39,0.38,0.01,-0.0
FUT ~ MOD let,0.09,-0.05,-0.04,-0.0
MOD shall ~ PRES PART,0.04,-0.05,0.01,-0.0
MOD should ~ TO INF,-0.12,-0.05,0.02,0.16
MOD must ~ PRES,0.03,0.01,-0.04,-0.0
FUT ~ PRES PART,-0.09,0.01,0.08,-0.0
MOD let ~ TO INF,0.09,-0.05,-0.04,-0.0
MOD lest ~ MOD may,-0.04,0.08,-0.04,-0.0
PRES ~ PRES PROG,-0.1,0.14,-0.04,-0.0
MOD let ~ MOD shall,-0.25,0.28,-0.04,-0.0
FUT ~ PAST,0.02,0.02,-0.04,-0.0
IMPV ~ MOD must,0.09,-0.05,-0.04,-0.0
