eng_TAMsimp,TOTAL,"('SBH', 'prose', 'Q')","('SBH', 'instruction', 'Q')","('LBH', 'prose', 'Q')","('SBH', 'poetry', 'Q')","('SBH', 'instruction', 'D')","('SBH', 'prose', 'D')","('SBH', 'instruction', '?')","('LBH', 'prose', 'D')","('LBH', 'poetry', 'Q')","('SBH', 'list', 'Q')","('SBH', 'prose', 'N')","('SBH', 'list', 'D')","('LBH', 'prose', 'N')","('LBH', 'list', 'D')","('SBH', 'prophetic', 'Q')","('SBH', 'prose', '?')","('LBH', 'list', '?')","('LBH', 'prose', '?')","('LBH', 'list', 'Q')","('LBH', 'list', 'N')","('SBH', 'instruction', 'N')","('SBH', 'list', '?')"
FUT,806,610,56,93,37,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
PRES,793,342,289,54,39,40,10,14,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
FUT ~ MOD shall,621,355,104,104,24,7,1,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,479,117,307,7,0,42,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,311,53,217,6,0,25,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV,280,204,19,44,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may,256,158,68,18,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,252,183,15,38,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,230,48,152,7,0,9,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
PAST,192,14,1,4,43,1,83,1,15,6,0,9,4,0,4,0,3,2,1,0,1,0,0
MOD shall,183,88,77,9,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,113,71,18,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,95,30,42,4,7,5,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,82,56,17,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,79,51,5,19,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,77,57,7,6,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,53,35,0,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0
MOD can ~ MOD may,53,42,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,48,31,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,43,22,0,3,2,0,6,0,4,0,0,4,0,1,0,0,0,0,0,1,0,0,0
TO INF,41,26,4,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,39,29,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,39,32,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,39,19,14,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,38,16,20,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,34,23,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,33,12,9,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,27,16,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,27,6,1,1,10,2,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,26,22,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,24,4,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,22,6,5,1,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,21,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,21,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
