period,genre,domain2,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV ~ MOD shall,MOD must ~ MOD shall,IMPV,MOD is to ~ MOD shall,MOD may,PAST,MOD shall,MOD let,FUT ~ PRES,MOD shall ~ PRES,MOD can,FUT ~ MOD may,IMPV ~ MOD let,MOD should,FUT ~ MOD lest,MOD would,PRES ~ PRES PERF,MOD may ~ MOD shall,MOD can ~ MOD may,TO INF,PRES ~ PRES PART,MOD may ~ PRES,MOD may ~ TO INF,PAST ~ PRES,MOD shall ~ TO INF,MOD let ~ MOD may,PRES ~ TO INF,IMPV ~ MOD may,MOD could,MOD must,MOD should ~ PRES,MOD can ~ MOD shall,PRES PERF,MOD can ~ PRES,FUT ~ MOD can,MOD would ~ PAST,MOD shall ~ MOD should,PRES PART,FUT ~ TO INF,IMPV ~ PRES,FUT ~ MOD would,MOD let ~ TO INF,MOD lest ~ PRES,PRES ~ PRES PROG,PAST ~ PRES PERF,IMPV ~ MOD must,MOD may ~ MOD must,MOD must ~ PRES,MOD should ~ TO INF,MOD lest ~ MOD may,MOD let ~ MOD shall,MOD is to ~ MOD let,MOD shall ~ PRES PART,HAB used to ~ PAST,PAST ~ PRES PART,MOD let ~ MOD must,FUT ~ IMPV,FUT ~ MOD let,MOD is to,MOD should ~ MOD was to,MOD shall ~ PAST,PAST ~ TO INF,PAST ~ PAST PERF,MOD is to ~ MOD may,PAST PERF,MOD let ~ MOD should,FUT ~ FUT going-to,MOD would ~ PRES,FUT ~ PAST,FUT ~ PRES PART,MOD lest ~ TO INF,FUT going-to ~ MOD shall,MOD lest ~ MOD might,MOD could ~ MOD might,MOD was to ~ PAST,MOD should ~ MOD would,IMPV ~ PRES PART,MOD was to,HAB used to,PRES PART ~ TO INF,MOD might,MOD is to ~ MOD must,MOD can ~ MOD let,IMPV ~ TO INF,FUT ~ PRES PROG,FUT ~ PRES PERF,MOD shall ~ MOD would,MOD lest ~ MOD would,FUT ~ MOD is to,IMPV ~ MOD is to,PAST PROG,MOD let ~ PRES,MOD can ~ MOD should,MOD can ~ MOD could,FUT ~ MOD that be,FUT ~ MOD should,MOD can ~ MOD might,MOD could ~ PAST,MOD may ~ PRES PART,MOD might ~ MOD should,MOD shall ~ PRES PERF,PAST ~ PAST PROG,MOD could ~ MOD would,MOD could ~ MOD should,MOD can ~ TO INF,IMPV ~ MOD can,?VB ~ PAST,MOD let ~ PAST,FUT ~ MOD must,MOD should ~ PRES PERF,?VB ~ MOD shall,MOD is to ~ PRES PART,MOD lest ~ MOD should,?VB ~ MOD must,MOD let ~ MOD would,MOD let ~ PRES PART,MOD let ~ PRES PERF,MOD is to ~ PRES,FUT PROG ~ PRES,PAST PERF ~ PRES,FUT PERF ~ PRES,FUT PROG ~ MOD shall,?VB,HAB used to ~ PRES,FUT going-to ~ MOD lest,?VB ~ IMPV,FUT ~ MOD,?VB ~ MOD let,FUT ~ PRES shall,IMPV ~ MOD,IMPV ~ MOD need not,MOD lest ~ MOD that be,IMPV ~ MOD should,MOD might ~ MOD would,MOD must ~ MOD should,MOD must ~ PRES PART,MOD must ~ PRES shall,MOD must ~ TO INF,MOD need not ~ MOD shall,MOD need not ~ PRES,MOD quest must ~ MOD shall,MOD should ~ PAST,MOD should ~ PRES PART,MOD that be,MOD that be ~ TO INF,MOD was to ~ PRES,MOD would ~ PRES PART,MOD would ~ TO INF,MOD ~ PRES,PRES PART ~ PRES PERF,PRES PART ~ PRES PROG,PRES ~ PRES can,PRES ~ PRES shall,MOD might ~ TO INF,MOD may ~ PRES PERF,IMPV ~ PAST,MOD may ~ PAST,MOD VB ~ MOD may,MOD can ~ MOD lest,MOD can ~ MOD must,MOD can ~ PAST,MOD can ~ PRES PART,MOD could ~ MOD shall,MOD could ~ PAST PERF,MOD could ~ PRES PERF,MOD could ~ TO INF,MOD is to ~ MOD should,MOD is to ~ PRES PROG,MOD is to ~ TO INF,MOD lest ~ MOD let,MOD lest ~ MOD must,MOD lest ~ MOD shall,MOD let ~ MOD that be,MOD let ~ VB,MOD may ~ MOD might,MOD may ~ MOD would,??VB ~ MOD let
SBH,prose,Q,2892,341,569,351,116,52,178,48,131,14,88,99,68,30,56,41,38,35,31,20,19,16,27,23,12,19,20,6,16,20,4,19,6,15,15,16,8,17,11,0,12,10,10,9,12,12,10,5,2,10,4,4,4,3,2,2,2,3,1,6,7,6,5,2,4,1,1,1,0,5,6,4,3,4,4,5,3,1,1,2,3,0,1,0,4,4,4,2,3,3,2,1,2,2,0,2,2,3,2,2,3,1,2,2,3,0,2,1,2,2,1,1,2,1,1,1,0,1,2,2,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0
SBH,instruction,Q,1580,289,55,103,305,215,19,152,68,1,77,10,18,42,7,17,5,0,15,0,14,20,5,4,9,7,3,1,5,1,17,3,5,6,2,2,6,1,1,0,1,2,0,2,0,0,1,2,2,1,4,4,0,6,1,4,6,0,0,2,0,0,2,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LBH,prose,Q,498,53,91,101,7,6,39,7,10,4,9,20,11,4,6,5,16,9,2,3,2,0,5,5,4,1,5,1,6,5,2,0,1,0,4,1,5,1,6,0,2,1,4,1,1,0,0,1,0,0,1,1,3,0,1,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SBH,poetry,Q,227,39,33,22,0,0,9,0,0,42,0,5,13,7,5,0,2,2,0,2,1,0,0,1,7,0,0,10,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,D,181,40,6,7,42,25,0,9,9,1,6,0,0,5,0,2,0,0,0,0,3,1,0,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prose,D,162,10,2,1,0,0,1,0,0,83,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,?,52,14,0,6,0,9,0,7,3,1,3,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,D,40,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,poetry,Q,30,2,1,10,0,0,2,0,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,Q,29,1,1,10,6,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
