eng_TAM,p3,p1,p2
PAST..IND,0.13,-0.07,-0.06
PRES.PERF.IND,-0.29,0.13,0.16
PRES..IND,0.06,-0.0,-0.06
PAST.PERF.IND,0.16,-0.1,-0.06
FUT..IND,-0.2,0.23,-0.03
PAST..SUBJ,-0.07,0.06,0.01
PRES..MOD,0.18,-0.11,-0.07
PRES..,0.14,-0.07,-0.07
PRES.PROG.IND,-0.07,-0.0,0.07
PAST.PROG.IND,0.11,-0.01,-0.1
..,0.27,-0.17,-0.1
past.PERF_PROG.IND,0.27,-0.17,-0.1
FUT.PERF.IND,-0.73,-0.17,0.9
PRES.PERF_PROG.IND,-0.73,0.83,-0.1
