genre,domain2,TOTAL,FUT ~ MOD shall,IMPV ~ MOD shall,FUT ~ PRES,MOD must ~ MOD shall,MOD is to ~ MOD shall,MOD shall ~ PRES,PAST ~ PRES,FUT ~ MOD may,PRES ~ PRES PART,PRES ~ PRES PERF,FUT ~ MOD lest,MOD can ~ PRES,FUT ~ MOD can,MOD may ~ MOD shall,IMPV ~ PRES,MOD may ~ PRES,MOD should ~ PRES,MOD can ~ MOD shall,PRES ~ TO INF,FUT ~ MOD would,MOD shall ~ TO INF,MOD can ~ MOD may,PAST ~ PRES PERF,MOD shall ~ MOD should,MOD would ~ PAST,FUT ~ TO INF,MOD would ~ PRES,PAST ~ PRES PART,FUT ~ IMPV,MOD shall ~ PRES PART,MOD must ~ PRES,MOD should ~ TO INF,MOD lest ~ MOD may,PRES ~ PRES PROG,FUT ~ PRES PART,FUT ~ PAST,MOD let ~ PRES,MOD lest ~ PRES,FUT ~ MOD let,MOD should ~ MOD would,MOD shall ~ PAST,IMPV ~ MOD may,MOD let ~ MOD shall,HAB used to ~ PAST,MOD may ~ TO INF,FUT ~ MOD should,IMPV ~ MOD must,IMPV ~ MOD let,PAST ~ TO INF,IMPV ~ MOD can,MOD may ~ MOD must,PAST ~ PAST PERF,MOD was to ~ PAST,MOD can ~ MOD should,MOD can ~ MOD could,FUT ~ MOD must,MOD should ~ MOD was to,MOD could ~ MOD would,MOD let ~ MOD must,MOD could ~ PAST,MOD is to ~ MOD may,FUT going-to ~ MOD shall,PRES PART ~ TO INF,FUT ~ PRES PERF,MOD shall ~ MOD would,MOD lest ~ MOD might,MOD might ~ MOD would,PAST ~ PAST PROG,MOD may ~ PRES PART,MOD can ~ TO INF,MOD is to ~ MOD must,MOD would ~ TO INF,MOD lest ~ TO INF,IMPV ~ PRES PART,MOD might ~ MOD should,MOD might ~ TO INF,MOD can ~ PRES PART,FUT ~ FUT going-to,MOD VB ~ MOD may,MOD might ~ PAST,FUT ~ MOD is to,IMPV ~ TO INF,IMPV ~ PAST,MOD can ~ PAST,IMPV ~ MOD lest,MOD VB ~ PRES,MOD could ~ MOD might,?VB ~ PAST,MOD should ~ PAST,PAST PERF ~ PRES,PRES PERF ~ TO INF,MOD let ~ MOD may,MOD shall ~ PRES PERF,MOD would ~ PRES PART,MOD may ~ MOD might,PRES PART ~ PRES PERF,MOD can ~ MOD let,MOD could ~ MOD must,MOD could ~ MOD should,FUT ~ MOD that be,MOD lest ~ MOD would,FUT ~ PRES PROG,FUT PROG ~ PRES,MOD is to ~ PRES PART,IMPV ~ MOD is to,MOD can ~ MOD might,MOD must ~ MOD should,MOD can ~ MOD must,MOD should ~ PRES PERF,IMPV ~ MOD should,MOD may ~ PRES PERF,MOD need not ~ MOD shall,MOD may ~ PAST,MOD need not ~ PRES,PAST PROG ~ PRES,MOD lest ~ MOD shall,PRES ~ PRES do,MOD let ~ PAST,MOD is to ~ TO INF,MOD lest ~ MOD should,MOD let ~ TO INF,MOD could ~ TO INF,HAB used to ~ PRES,FUT PERF ~ PRES,FUT PROG ~ MOD shall,FUT going-to ~ MOD is to,HAB used to ~ MOD would,MOD should ~ PRES PART,FUT ~ PRES shall,FUT going-to ~ MOD lest,MOD that be ~ TO INF,MOD was to ~ PRES,MOD would ~ PAST PERF,MOD would ~ PAST PROG,FUT ~ FUT PROG,PRES ~ PRES can,FUT ~ MOD,MOD ~ PRES,PRES PERF ~ PRES PROG,PRES PART ~ PRES PROG,PAST PROG ~ PRES PART,MOD lest ~ MOD must,HAB used to ~ PRES PERF,MOD may ~ MOD should,MOD lest ~ MOD let,MOD is to ~ PRES PROG,MOD is to ~ PRES,MOD is to ~ MOD should,MOD lest ~ MOD that be,MOD is to ~ MOD lest,MOD could ~ PRES PERF,MOD could ~ PAST PERF,MOD let ~ MOD should,MOD could ~ MOD shall,MOD let ~ MOD that be,MOD let ~ PRES PART,MOD let ~ PRES PERF,MOD may ~ MOD would,MOD quest must ~ MOD shall,MOD can ~ MOD lest,MOD VB ~ TO INF,MOD VB ~ MOD shall,MOD might ~ PRES PERF,MOD VB ~ MOD can,JJ ~ PRES,MOD must ~ MOD quest must,IMPV ~ PRES PERF,PRES ~ PRES shall,MOD must ~ PRES PROG,MOD must ~ PRES shall,IMPV ~ MOD need not,MOD must ~ TO INF,MOD must ~ PRES PART
prophetic,Q,1520,889,27,120,23,29,35,33,24,25,18,10,16,21,5,15,9,9,12,6,10,10,4,7,13,2,6,1,2,5,8,2,2,1,2,7,7,5,1,4,1,7,1,4,2,2,4,2,3,1,0,0,0,2,3,1,2,0,4,0,0,0,1,1,2,0,1,2,0,2,1,1,1,0,1,0,2,1,0,2,3,1,1,3,3,2,0,0,0,1,1,4,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
prose,Q,1348,453,125,81,59,55,35,8,36,17,21,32,19,18,14,7,10,19,17,7,13,21,17,2,15,0,12,5,1,7,2,5,7,3,7,3,5,3,10,5,3,5,6,3,3,8,2,9,4,0,2,5,1,1,4,3,2,2,2,4,1,2,5,0,3,2,4,0,0,2,1,4,0,4,3,2,0,1,5,0,0,3,0,0,1,1,0,2,2,1,1,0,1,3,1,1,0,3,0,2,2,1,2,0,2,3,3,0,1,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
instruction,Q,1082,116,303,19,219,187,46,1,17,10,14,15,1,1,20,2,7,2,2,13,0,5,5,2,1,2,0,0,1,0,9,4,0,6,2,0,0,0,1,0,0,2,2,2,0,1,1,1,4,1,0,4,0,2,0,0,0,0,0,2,0,3,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
poetry,Q,875,175,0,151,1,0,20,50,22,35,31,14,31,20,10,23,13,14,11,12,17,1,6,22,2,3,8,15,7,8,0,6,5,4,2,2,2,4,2,5,7,0,4,0,1,1,4,0,0,3,9,0,4,1,1,4,3,2,0,0,4,0,0,2,1,3,0,3,1,0,3,0,3,0,0,2,2,3,0,1,2,0,1,1,0,1,4,0,2,2,1,0,1,0,1,1,2,0,3,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
instruction,D,117,7,42,0,25,9,5,2,2,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
prophetic,D,67,34,0,8,1,0,0,2,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,0,0,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,?,59,2,0,28,0,0,0,3,0,4,0,0,4,2,2,0,3,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prose,D,52,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prophetic,?,49,33,1,3,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
instruction,?,29,6,0,0,9,7,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
