,prophetic,prose,instruction,poetry,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,list,prophetic,prose
,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
FUT ~ MOD shall,145.89,-0.63,-64.77,-25.54,-10.32,3.16,-7.07,-6.75,6.94,-0.5,0.27,-1.42,-1.19,-0.25,0.0,0.0,0.52,0.0
IMPV ~ MOD shall,-39.91,-0.76,103.53,-46.87,15.46,-2.43,-2.25,-1.89,-0.91,-0.97,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,0.13,-4.42,-19.27,23.25,-3.85,0.8,15.4,-1.51,0.0,-0.78,-0.58,2.35,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,-22.23,-4.88,80.93,-28.58,7.9,-0.73,-1.3,-1.13,-0.93,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,-13.44,-3.33,66.4,-26.51,0.69,-1.31,-1.12,-0.95,-0.75,3.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,-0.57,-0.57,3.17,-0.55,0.62,-0.37,-0.39,-0.19,-0.19,2.19,0.78,0.0,0.0,1.12,0.0,0.0,0.0,0.0
FUT ~ MOD may,-0.85,1.86,-1.23,1.38,0.0,0.0,-0.39,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,-1.38,7.37,-5.07,0.86,-0.76,-0.19,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.23,-6.9,-8.64,10.8,0.0,0.43,0.93,1.75,0.61,0.0,0.37,1.82,0.79,1.24,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-8.56,-0.3,-8.07,30.72,-0.56,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-0.09,-1.54,-1.58,4.62,-0.14,0.0,1.71,0.0,0.25,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-0.83,-0.26,-0.3,3.86,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,-2.12,3.1,0.18,0.12,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,-0.37,0.0,-5.0,6.18,-0.39,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.48,0.05,-4.45,1.87,-0.19,0.77,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-1.35,0.81,-0.85,0.86,0.87,0.0,1.54,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,-3.25,-0.0,2.21,0.4,0.0,0.0,0.89,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.12,-0.54,-2.82,6.09,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,-2.42,7.17,-0.97,-0.45,-0.2,0.0,0.38,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-1.53,-1.04,2.47,0.76,0.0,0.39,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.5,1.52,-2.14,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.0,0.9,-1.96,0.61,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.14,0.41,-3.65,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,4.1,-0.38,-2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-0.25,-2.51,-1.14,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-1.76,8.94,-0.74,-1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,0.98,1.85,-1.7,-0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,-2.83,4.38,-0.6,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,-0.27,1.71,-2.46,0.65,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-1.96,-3.73,-0.99,-0.47,0.0,4.75,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MOD would ~ PRES,-2.05,-0.19,-1.86,6.03,0.0,0.0,0.0,0.0,0.0,0.96,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.09,0.09,-1.86,1.26,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.0,-0.33,-1.87,1.94,0.0,0.0,1.64,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,-0.09,0.2,-1.66,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-1.07,-1.84,-0.8,1.05,0.0,4.06,0.0,4.49,0.78,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.67,-0.89,2.14,-1.43,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.51,0.36,-1.45,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,2.18,0.0,0.0,0.0
MOD must ~ PRES,-0.74,-0.0,0.12,0.92,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.56,0.1,-1.25,-0.12,0.0,0.74,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
