genre,prose,prophetic,poetry,instruction,instruction,prophetic,poetry,prose,prophetic,instruction,list,poetry,prose,list,list,prophetic,list,prose
domain2,Q,Q,Q,Q,D,D,?,D,?,?,Q,D,N,D,?,N,N,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,
FUT ~ MOD shall,-0.03,0.34,-0.12,-0.17,-0.02,0.01,-0.01,-0.01,0.01,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
IMPV ~ MOD shall,-0.04,-0.24,-0.21,0.46,0.07,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES,-0.1,0.01,0.22,-0.15,-0.02,0.01,0.06,-0.01,-0.0,-0.01,-0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ MOD shall,-0.12,-0.21,-0.2,0.49,0.06,-0.01,-0.01,-0.01,-0.01,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ MOD shall,-0.1,-0.18,-0.2,0.48,0.01,-0.01,-0.01,-0.01,-0.01,0.02,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD may,0.14,-0.07,0.07,-0.08,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD shall ~ PRES,-0.06,-0.03,-0.03,0.12,0.01,-0.01,-0.01,-0.01,-0.01,0.02,0.01,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0
IMPV ~ MOD let,0.26,-0.11,0.07,-0.15,-0.02,-0.01,-0.0,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,-0.0,-0.24,0.49,-0.18,-0.02,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
PAST ~ PRES,-0.22,0.02,0.29,-0.18,-0.0,0.01,0.02,0.03,0.01,-0.0,0.0,0.02,0.01,0.01,-0.0,-0.0,-0.0,-0.0
