eng_TAMsimp,TOTAL,"('prose', 'Q')","('prophetic', 'Q')","('poetry', 'Q')","('instruction', 'Q')","('instruction', 'D')","('prophetic', 'D')","('poetry', '?')","('prose', 'D')","('prophetic', '?')","('instruction', '?')","('list', 'Q')","('poetry', 'D')","('prose', 'N')","('list', 'D')","('list', '?')","('prophetic', 'N')","('list', 'N')","('prose', '?')"
FUT ~ MOD shall,1769,468,901,187,117,7,36,2,1,33,6,10,0,0,0,0,1,0,0
IMPV ~ MOD shall,510,127,27,0,307,42,0,0,0,1,0,6,0,0,0,0,0,0,0
FUT ~ PRES,443,85,122,174,19,0,8,28,0,3,0,0,4,0,0,0,0,0,0
MOD must ~ MOD shall,341,60,23,1,221,25,1,0,0,0,9,1,0,0,0,0,0,0,0
MOD is to ~ MOD shall,295,55,29,0,188,9,0,0,0,0,7,7,0,0,0,0,0,0,0
FUT ~ MOD may,165,69,33,42,17,2,1,0,0,1,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,153,35,36,24,46,5,0,0,0,0,4,2,0,0,1,0,0,0,0
IMPV ~ MOD let,140,76,22,36,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,132,37,5,88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PAST ~ PRES,114,8,33,54,1,2,2,3,4,2,0,1,2,1,1,0,0,0,0
PRES ~ PRES PART,97,17,26,35,10,1,1,4,0,1,0,0,2,0,0,0,0,0,0
PRES ~ PRES PERF,88,21,18,31,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,72,20,16,31,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,72,33,10,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,69,48,5,9,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,68,27,10,17,7,3,0,3,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,67,19,23,20,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,59,14,16,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,58,16,5,13,20,1,0,2,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ TO INF,46,38,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,46,16,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,46,17,14,11,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,45,19,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,45,7,6,12,17,0,1,2,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,38,22,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
