,Main,Main,SubAdv,Main,SubMod,Main,SubAdv,SubArg,SubAdv,SubMod,SubAdv,SubArg,SubMod
,x,Wx,x,Ø,x,W,Wx,x,Ø,Ø,W,Ø,Wx
MOD shall ~ TO INF,0.06,0.25,-0.65,-0.36,-0.0,0.79,0.0,1.49,0.0,0.0,0.0,0.0,0.0
MOD must,1.08,-0.16,0.09,-0.1,0.0,0.4,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.94,1.15,-0.21,0.55,-0.58,2.03,-0.2,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,0.38,0.35,-1.55,0.37,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,-0.44,-1.21,-0.21,3.13,0.16,0.9,-0.0,0.0,0.72,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,1.05,-0.4,0.0,-1.36,0.17,-0.2,0.0,2.58,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-2.52,2.45,-0.38,1.87,0.18,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ TO INF,-0.26,-0.18,-0.78,0.64,-0.4,0.57,2.1,1.04,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.29,-0.49,-0.12,0.0,0.0,0.23,0.0,3.08,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,-1.39,0.22,0.12,2.83,-0.2,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,-0.19,0.22,0.12,-0.3,0.0,1.37,0.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.61,0.0,-1.01,0.0,0.0,0.27,0.34,0.5,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-1.56,-1.95,1.58,-0.59,0.6,0.0,1.0,6.18,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.0,0.23,0.14,-0.59,0.6,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.35,-0.41,0.59,0.15,0.68,0.0,0.42,0.58,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,-2.97,-0.0,6.23,-0.61,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.23,0.0,-0.61,2.35,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,0.1,0.0,0.35,0.16,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.0,1.22,-0.61,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.23,0.12,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,-0.39,0.0,-0.0,1.8,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,-2.47,0.0,5.94,-0.41,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,-0.68,-0.62,0.17,0.27,0.38,2.13,0.0,0.0,0.0,1.58,0.0,0.0
IMPV ~ MOD may,-0.0,0.7,0.16,-0.41,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,0.25,0.0,-0.62,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.43,-0.0,0.0,-0.42,0.32,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,0.43,-0.0,-0.41,-0.42,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,-1.17,-0.5,1.81,-0.42,0.0,3.12,0.0,0.69,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.88,-0.13,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.66,0.0,-0.42,0.44,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,-0.46,4.12,-0.42,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,-0.12,-1.11,2.0,-0.2,0.0,0.0,0.55,0.0,0.0,1.18,0.0,2.0,0.0
PAST ~ TO INF,-0.12,0.0,0.0,0.44,0.34,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,0.46,0.59,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
MOD is to,0.46,-0.88,0.0,-0.21,1.01,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,0.53,-0.89,0.0,-0.21,1.09,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
