eng_TAMsimp,TOTAL,"('Main', 'x')","('Main', 'Wx')","('Main', 'Ø')","('SubAdv', 'x')","('Main', 'W')","('SubMod', 'x')","('SubAdv', 'Wx')","('SubArg', 'x')","('SubAdv', 'Ø')","('SubMod', 'Ø')","('SubAdv', 'W')","('SubArg', 'Ø')","('SubMod', 'Wx')"
PRES,2696,730,364,332,562,100,287,180,53,33,39,13,3,0
FUT,2518,889,567,440,242,239,58,29,39,8,2,2,2,1
FUT ~ MOD shall,1769,689,599,189,121,97,32,14,19,7,1,1,0,0
IMPV,678,422,199,38,4,14,0,0,1,0,0,0,0,0
MOD let,555,77,39,274,7,156,0,2,0,0,0,0,0,0
IMPV ~ MOD shall,510,305,170,24,8,0,3,0,0,0,0,0,0,0
PAST,452,113,99,114,40,28,28,14,3,4,6,1,1,1
FUT ~ PRES,443,152,109,48,56,28,19,17,7,4,2,0,1,0
MOD may,402,72,42,52,67,148,7,9,3,2,0,0,0,0
MOD must ~ MOD shall,341,187,95,44,10,2,1,0,0,2,0,0,0,0
MOD is to ~ MOD shall,295,143,82,31,9,3,23,0,2,2,0,0,0,0
MOD can,271,117,64,8,39,1,24,8,7,1,2,0,0,0
MOD shall,221,139,41,25,13,2,0,0,0,0,1,0,0,0
FUT ~ MOD may,165,12,27,20,40,62,1,2,0,0,0,0,1,0
MOD shall ~ PRES,153,61,33,21,9,3,20,2,1,1,1,0,1,0
IMPV ~ MOD let,140,43,25,45,1,24,0,1,0,0,0,0,1,0
MOD would,137,52,16,22,10,18,2,2,11,2,1,1,0,0
MOD let ~ MOD may,132,24,12,67,0,29,0,0,0,0,0,0,0,0
PAST ~ PRES,114,35,18,23,13,9,3,4,5,2,2,0,0,0
PRES ~ PRES PART,97,37,14,7,12,3,10,7,1,1,4,1,0,0
PRES ~ PRES PERF,88,23,9,6,26,2,11,5,1,2,3,0,0,0
MOD should,84,35,10,3,17,4,8,2,3,0,1,1,0,0
TO INF,79,7,13,7,5,30,2,2,9,1,0,0,3,0
FUT ~ MOD lest,72,1,23,0,48,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,72,31,12,2,13,1,7,5,1,0,0,0,0,0
MOD can ~ MOD may,69,12,10,0,6,36,4,1,0,0,0,0,0,0
MOD may ~ PRES,68,14,6,11,17,10,6,4,0,0,0,0,0,0
FUT ~ MOD can,67,31,21,0,7,5,1,0,1,0,1,0,0,0
PRES PERF,61,13,8,5,24,1,5,1,1,1,1,1,0,0
IMPV ~ PRES,59,10,15,12,10,0,0,8,2,1,0,1,0,0
MOD may ~ MOD shall,58,24,19,7,2,4,1,0,1,0,0,0,0,0
PRES PART,50,16,15,8,5,1,2,1,1,0,1,0,0,0
MOD can ~ MOD shall,46,29,10,0,3,3,1,0,0,0,0,0,0,0
FUT ~ MOD would,46,22,7,4,6,4,1,1,0,1,0,0,0,0
MOD may ~ TO INF,46,1,1,0,5,38,0,0,1,0,0,0,0,0
MOD should ~ PRES,45,18,8,1,10,3,1,3,1,0,0,0,0,0
PRES ~ TO INF,45,3,4,5,7,6,9,5,4,1,1,0,0,0
MOD could,41,13,7,1,2,1,12,1,2,0,0,2,0,0
MOD must,40,20,7,5,5,2,1,0,0,0,0,0,0,0
MOD shall ~ TO INF,38,14,10,2,2,4,2,1,3,0,0,0,0,0
PAST ~ PRES PERF,34,9,3,11,3,4,2,1,0,1,0,0,0,0
IMPV ~ MOD may,34,11,9,7,2,5,0,0,0,0,0,0,0,0
FUT ~ MOD let,34,4,3,12,2,13,0,0,0,0,0,0,0,0
FUT ~ TO INF,31,8,5,5,1,6,0,4,2,0,0,0,0,0
MOD shall ~ MOD should,31,16,5,0,4,0,2,0,4,0,0,0,0,0
MOD let ~ PRES,29,7,4,14,0,4,0,0,0,0,0,0,0,0
MOD would ~ PAST,29,3,14,8,2,0,2,0,0,0,0,0,0,0
FUT ~ IMPV,24,4,6,8,3,3,0,0,0,0,0,0,0,0
MOD would ~ PRES,24,10,3,2,2,2,1,0,4,0,0,0,0,0
MOD let ~ TO INF,22,0,2,5,0,15,0,0,0,0,0,0,0,0
PAST ~ PRES PART,21,6,6,1,3,3,1,1,0,0,0,0,0,0
MOD shall ~ PRES PART,21,11,4,2,0,1,1,1,1,0,0,0,0,0
MOD must ~ PRES,19,6,5,1,3,0,2,0,2,0,0,0,0,0
MOD should ~ TO INF,19,2,0,0,6,1,2,2,6,0,0,0,0,0
FUT ~ PRES PART,19,6,3,5,3,2,0,0,0,0,0,0,0,0
FUT ~ PAST,17,5,7,3,0,2,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,17,7,3,6,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,16,0,4,0,11,0,0,1,0,0,0,0,0,0
PRES ~ PRES PROG,16,4,2,2,4,0,2,1,1,0,0,0,0,0
MOD let ~ MOD must,14,2,5,4,0,3,0,0,0,0,0,0,0,0
IMPV ~ MOD must,14,9,2,2,1,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,14,0,3,0,10,0,0,1,0,0,0,0,0,0
MOD should ~ MOD would,14,5,1,2,0,1,1,3,0,0,0,1,0,0
MOD shall ~ PAST,14,6,4,1,3,0,0,0,0,0,0,0,0,0
MOD might,13,3,0,0,5,2,0,1,0,0,1,0,1,0
PAST ~ TO INF,13,4,2,2,1,1,1,0,2,0,0,0,0,0
HAB used to ~ PAST,12,6,3,0,0,0,3,0,0,0,0,0,0,0
MOD let ~ PAST,12,3,1,7,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD must,12,5,4,1,0,2,0,0,0,0,0,0,0,0
FUT ~ MOD should,12,6,3,0,1,0,1,0,1,0,0,0,0,0
IMPV ~ MOD can,12,2,9,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,11,7,0,2,0,2,0,0,0,0,0,0,0,0
