,RV,V,CV,AV,_W_SV,SV,_W_AV,_W_OV,OV,CAV,_W_V,QV,CSV,COV,IV,_W_CV,SAV,_W_SAV,ASV,_W_RV,QAV,ISV,_W_IV,OAV,_W_OAV,_W_QV,AOV,RSV,_W_SOV,IAV,IOV,IIV,_W_ASV,_W_CAV,CIV,CQV,_W_ISV,QSV,RAV,CSAV,SOV,CASV,QOV,_W_AOV,ACAV,OSV,ARV,COAV,_W_COV,CISV,_W_IAV,CAOV,_W_OSV,_W_QAV,ACSV,ACV,_W_QSV,ASAV,ASOV,IIAV,OASV,CIAV,_W_ACV,SAOV,CSOV,ROV,_W_CSV
PAST..IND,3.8,-30.9,-3.46,-3.26,55.15,0.0,50.29,31.29,-0.41,-3.6,-1.88,-20.89,-8.91,-4.65,-3.84,-1.04,0.12,0.06,0.49,1.03,-0.62,-1.61,-0.41,-1.02,1.26,-0.32,-0.48,-1.71,-0.38,-0.28,-0.69,-2.18,0.12,-0.13,-1.89,-0.13,1.61,-0.15,-0.61,-1.39,-0.4,-0.4,-0.58,0.0,-0.29,-0.29,-0.29,-0.29,-0.29,-0.0,-0.0,-0.29,0.73,0.0,0.0,0.37,0.37,0.0,0.37,0.0,0.0,0.0,0.37,0.37,0.0,0.0,0.0
PRES.PERF.IND,0.15,9.42,4.21,-25.58,-23.57,0.64,-7.38,-6.87,3.09,-0.12,-0.37,23.16,9.88,7.62,4.47,-0.06,-0.23,-1.39,-0.07,-0.08,0.95,0.62,1.07,0.11,-1.02,0.39,-0.11,-0.86,-0.13,1.74,0.15,1.13,-0.33,0.33,4.03,0.63,-0.67,0.0,1.45,0.19,-0.46,0.0,0.24,0.0,0.37,0.0,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.0,0.0,0.61,0.0,0.0
PRES..IND,-82.88,41.84,-7.71,88.83,-15.27,2.18,-19.23,-9.56,0.38,6.26,-5.19,-4.26,-0.11,-1.77,0.12,0.0,0.9,3.08,-0.07,-1.92,-0.47,1.05,-0.7,1.07,0.25,-0.83,1.15,5.64,0.77,-0.15,0.0,1.36,0.0,0.38,-0.16,-0.16,0.0,-0.45,0.0,1.66,2.05,0.53,0.0,0.92,0.0,1.33,0.0,0.42,0.0,0.42,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67
PAST.PERF.IND,81.29,-38.87,17.3,-33.06,-0.66,-9.53,-10.88,-4.71,-8.7,-0.39,-1.09,3.27,0.39,0.86,-2.06,3.2,-0.59,-1.13,-0.44,1.08,1.25,-0.58,0.16,-0.41,-0.41,1.9,0.19,-0.2,-0.21,0.0,0.24,0.0,0.71,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,1.72,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,-5.5,1.32,-0.43,0.57,-0.39,0.71,0.26,-0.14,-0.0,-0.37,0.0,0.76,0.0,0.97,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,2.14,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ,-2.2,0.06,-1.69,-0.47,-0.91,-0.74,-0.28,-0.14,0.0,1.67,27.75,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,-2.43,-1.41,-0.51,-0.82,-0.32,-0.59,-0.75,0.15,0.0,0.0,29.55,1.57,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..,-0.19,0.2,0.0,1.27,-0.12,-0.58,0.0,0.0,0.22,0.0,2.22,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,-0.12,-0.0,0.0,-0.81,-0.4,0.0,0.0,0.0,0.39,0.0,1.2,0.0,0.0,0.0,5.37,0.0,0.0,0.0,1.17,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,-0.84,-0.61,1.12,-0.41,3.24,0.74,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
