clause_type,PAST..IND,PRES.PERF.IND,PRES..IND,PAST.PERF.IND,FUT..IND,PAST..SUBJ,PRES..MOD,PRES..,PRES.PROG.IND,PAST.PROG.IND,..,past.PERF_PROG.IND,FUT.PERF.IND,PRES.PERF_PROG.IND
xQt0,-0.03,0.11,-0.11,0.04,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
xQtX,-0.09,-0.11,0.13,0.08,-0.01,-0.01,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
WXQt,0.26,-0.15,-0.09,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,0.0,-0.0
XQtl,-0.07,0.07,0.04,-0.05,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
ZQt0,-0.13,0.09,0.11,-0.08,0.01,-0.0,-0.01,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
WxQ0,0.19,-0.06,-0.13,-0.04,0.0,0.02,0.02,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ZQtX,-0.19,0.03,0.24,-0.08,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
WxQX,0.29,-0.14,-0.15,-0.05,0.0,0.02,0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CPen,-0.07,0.35,-0.22,-0.04,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Voct,-0.43,0.25,0.28,-0.08,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
