genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,3.31,2.39,4.8,295.0,21.85,590.0,inf,inf,590.0,inf,147.5,118.0,inf,inf,295.0,inf,inf,inf,inf
PRES..IND ~ PRES.PERF.IND,2.64,5.83,3.02,140.0,15.56,140.0,inf,inf,105.0,inf,420.0,70.0,inf,140.0,420.0,210.0,inf,inf,inf
PAST..IND ~ PAST.PERF.IND,12.39,12.78,22.72,1.59,136.33,31.46,21.53,29.21,inf,37.18,inf,inf,58.43,inf,inf,inf,409.0,inf,inf
PAST..IND ~ PRES..IND,3.7,5.91,2.8,25.88,13.8,207.0,inf,207.0,69.0,207.0,34.5,207.0,103.5,207.0,103.5,207.0,inf,inf,inf
FUT..IND ~ PRES..IND,1.49,9.67,6.11,inf,116.0,inf,inf,inf,58.0,inf,inf,inf,inf,38.67,inf,116.0,inf,inf,inf
FUT..IND ~ PRES.PERF.IND,1.28,15.83,11.88,inf,inf,15.83,inf,inf,95.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PRES..,9.12,12.17,6.64,1.74,73.0,24.33,73.0,inf,inf,73.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT..IND ~ PRES..MOD,1.33,12.0,9.6,inf,inf,inf,inf,inf,48.0,inf,inf,inf,inf,24.0,inf,inf,inf,inf,inf
PAST.PERF.IND ~ PRES.PERF.IND,5.33,1.5,9.6,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PAST.PROG.IND,15.0,7.5,30.0,1.58,inf,30.0,30.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,15.0,inf,inf
PRES.. ~ PRES.PERF.IND,7.0,2.0,3.11,inf,28.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND ~ PRES.PROG.IND,5.0,1.56,8.33,inf,inf,inf,inf,inf,25.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PRES..MOD,4.17,inf,8.33,2.27,25.0,25.0,25.0,inf,inf,inf,inf,inf,25.0,inf,inf,inf,inf,25.0,inf
