,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
PAST..IND ~ PRES.PERF.IND,-0.12,34.98,0.26,-50.31,1.18,-2.79,-2.6,-1.77,-0.67,-1.32,0.29,0.71,-1.13,-0.91,0.22,-0.47,-0.24,0.0,0.0
PRES..IND ~ PRES.PERF.IND,3.16,-2.44,11.87,-31.61,3.33,-0.6,-1.62,-1.03,0.53,-0.85,-0.15,1.94,-0.65,0.68,-0.0,0.65,0.0,0.0,0.0
PAST..IND ~ PAST.PERF.IND,-32.43,-16.69,-21.87,133.09,-3.4,2.77,10.88,8.74,-0.83,6.63,-0.85,-0.85,3.45,-0.43,-0.23,-0.23,0.27,0.0,0.0
PAST..IND ~ PRES..IND,-0.62,-1.35,7.56,-8.36,2.43,-0.45,-0.59,0.0,0.92,0.0,3.58,0.0,0.66,0.25,1.18,0.43,0.0,0.0,0.0
FUT..IND ~ PRES..IND,15.95,-3.07,-0.39,-9.19,-0.74,-0.39,-0.2,0.0,0.82,0.0,0.0,0.0,0.0,2.09,0.0,0.65,0.0,0.0,0.0
FUT..IND ~ PRES.PERF.IND,21.31,-4.6,-2.61,-7.34,-1.13,2.83,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..,-4.07,-2.79,-0.43,15.1,-0.29,1.12,0.28,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..MOD,9.63,-1.85,-0.99,-3.59,-0.39,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PRES.PERF.IND,-1.09,10.33,-0.99,-1.77,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PROG.IND,-2.63,-0.56,-1.72,8.0,-0.21,0.47,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0
PRES.. ~ PRES.PERF.IND,-1.19,2.71,0.83,-2.03,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND ~ PRES.PROG.IND,-0.55,5.04,-0.35,-1.83,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..MOD,-0.28,-2.56,-0.35,2.94,0.24,0.53,0.66,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,1.97,0.0
PAST..IND ~ PAST..SUBJ,-0.42,-0.86,-0.7,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND ~ PRES..MOD,0.43,0.21,0.71,-1.64,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND ~ PRES.PROG.IND,2.16,0.37,-0.4,-1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PAST..IND,-0.09,0.11,-0.4,0.27,0.0,0.0,0.76,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,0.0
PRES.. ~ PRES..IND,0.23,-0.85,1.59,-1.04,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0
PRES..MOD ~ PRES.PERF.IND,-0.12,0.31,0.56,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29
FUT..IND ~ PAST..IND,1.11,-0.89,0.37,-0.41,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PRES..IND,-0.14,-0.16,1.72,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PRES.PERF.IND,-0.14,1.5,0.0,-0.43,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PAST.PROG.IND,-0.73,-0.46,-0.22,3.19,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND ~ PRES.PERF_PROG.IND,0.19,0.5,-0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES.PROG.IND,0.76,0.0,-0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ ~ PRES.PERF.IND,1.05,-0.24,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..SUBJ ~ PRES..MOD,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ past.PERF_PROG.IND,-0.5,-0.24,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND ~ PRES.PERF.IND,-0.5,1.42,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PAST..SUBJ,-0.5,-0.24,0.23,0.88,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PRES..IND,-0.25,0.27,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PERF.IND ~ PRES..MOD,-0.25,0.27,0.31,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND ~ PRES..,-0.25,0.0,0.0,1.13,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PAST.PERF.IND,-0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.. ~ PRES..MOD,0.65,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..,-0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
