genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,prose,prophetic,list,poetry,poetry,list,prophetic,instruction,poetry,prose,list,instruction
domain2,Q,Q,Q,N,Q,N,N,?,?,?,D,?,N,D,D,N,D,Q,?
eng_TAM,,,,,,,,,,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,2.31,1.39,3.8,294.0,20.85,589.0,inf,inf,589.0,inf,146.5,117.0,inf,inf,294.0,inf,inf,inf,inf
PRES..IND ~ PRES.PERF.IND,1.64,4.83,2.02,139.0,14.56,139.0,inf,inf,104.0,inf,419.0,69.0,inf,139.0,419.0,209.0,inf,inf,inf
PAST..IND ~ PAST.PERF.IND,11.39,11.78,21.72,0.59,135.33,30.46,20.53,28.21,inf,36.18,inf,inf,57.43,inf,inf,inf,408.0,inf,inf
PAST..IND ~ PRES..IND,2.7,4.91,1.8,24.88,12.8,206.0,inf,206.0,68.0,206.0,33.5,206.0,102.5,206.0,102.5,206.0,inf,inf,inf
FUT..IND ~ PRES..IND,0.49,8.67,5.11,inf,115.0,inf,inf,inf,57.0,inf,inf,inf,inf,37.67,inf,115.0,inf,inf,inf
FUT..IND ~ PRES.PERF.IND,0.28,14.83,10.88,inf,inf,14.83,inf,inf,94.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PRES..,8.12,11.17,5.64,0.74,72.0,23.33,72.0,inf,inf,72.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT..IND ~ PRES..MOD,0.33,11.0,8.6,inf,inf,inf,inf,inf,47.0,inf,inf,inf,inf,23.0,inf,inf,inf,inf,inf
PAST.PERF.IND ~ PRES.PERF.IND,4.33,0.5,8.6,23.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PAST.PROG.IND,14.0,6.5,29.0,0.58,inf,29.0,29.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,14.0,inf,inf
PRES.. ~ PRES.PERF.IND,6.0,1.0,2.11,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES.PERF.IND ~ PRES.PROG.IND,4.0,0.56,7.33,inf,inf,inf,inf,inf,24.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST..IND ~ PRES..MOD,3.17,inf,7.33,1.27,24.0,24.0,24.0,inf,inf,inf,inf,inf,24.0,inf,inf,inf,inf,24.0,inf
