genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,list,poetry,list
domain2,Q,Q,Q,N,Q,N,N,N,N,Q
eng_TAM,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,0.31,0.43,0.21,0.0,0.05,0.0,0.0,0.0,0.0,0.0
PRES..IND ~ PRES.PERF.IND,0.39,0.18,0.34,0.01,0.07,0.01,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PERF.IND,0.09,0.08,0.05,0.67,0.01,0.03,0.05,0.02,0.0,0.0
PAST..IND ~ PRES..IND,0.29,0.18,0.39,0.04,0.08,0.01,0.0,0.01,0.01,0.0
FUT..IND ~ PRES..IND,0.7,0.11,0.17,0.0,0.01,0.0,0.0,0.0,0.01,0.0
FUT..IND ~ PRES.PERF.IND,0.79,0.06,0.09,0.0,0.0,0.06,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..,0.11,0.08,0.15,0.58,0.01,0.04,0.01,0.0,0.0,0.0
PAST.PERF.IND ~ PRES.PERF.IND,0.19,0.67,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND ~ PRES..MOD,0.8,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST.PROG.IND,0.07,0.14,0.04,0.68,0.0,0.04,0.04,0.0,0.0,0.0
PRES.. ~ PRES.PERF.IND,0.14,0.5,0.32,0.0,0.04,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PRES..MOD,0.24,0.0,0.12,0.44,0.04,0.04,0.04,0.04,0.0,0.04
PRES.PERF.IND ~ PRES.PROG.IND,0.21,0.67,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND ~ PAST..SUBJ,0.21,0.08,0.08,0.62,0.0,0.0,0.0,0.0,0.0,0.0
PRES..IND ~ PRES..MOD,0.39,0.26,0.3,0.0,0.0,0.04,0.0,0.0,0.0,0.0
PRES..IND ~ PRES.PROG.IND,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.. ~ PAST..IND,0.29,0.29,0.12,0.24,0.0,0.0,0.06,0.0,0.0,0.0
PRES.. ~ PRES..IND,0.38,0.06,0.44,0.0,0.06,0.0,0.0,0.0,0.06,0.0
PRES..MOD ~ PRES.PERF.IND,0.27,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
