genre,prophetic,prose,poetry,prose,instruction,prophetic,instruction,list,poetry,list
domain2,Q,Q,Q,N,Q,N,N,N,N,Q
eng_TAM,,,,,,,,,,
PAST..IND ~ PRES.PERF.IND,-0.02,0.26,0.01,-0.23,0.02,-0.02,-0.01,-0.01,-0.0,-0.0
PRES..IND ~ PRES.PERF.IND,0.09,-0.07,0.17,-0.2,0.04,-0.01,-0.01,-0.01,0.0,-0.0
PAST..IND ~ PAST.PERF.IND,-0.28,-0.18,-0.19,0.6,-0.03,0.02,0.05,0.02,-0.0,-0.0
PAST..IND ~ PRES..IND,-0.03,-0.06,0.19,-0.14,0.05,-0.01,-0.01,0.01,0.0,-0.0
FUT..IND ~ PRES..IND,0.4,-0.13,-0.04,-0.18,-0.03,-0.01,-0.01,-0.0,0.01,-0.0
FUT..IND ~ PRES.PERF.IND,0.49,-0.18,-0.13,-0.18,-0.04,0.05,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ PRES..,-0.22,-0.16,-0.06,0.42,-0.02,0.03,0.0,-0.0,-0.0,-0.0
PAST.PERF.IND ~ PRES.PERF.IND,-0.13,0.44,-0.11,-0.13,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
FUT..IND ~ PRES..MOD,0.49,-0.15,-0.1,-0.18,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ PAST.PROG.IND,-0.25,-0.09,-0.17,0.51,-0.04,0.02,0.03,-0.0,-0.0,-0.0
PRES.. ~ PRES.PERF.IND,-0.18,0.27,0.12,-0.18,0.0,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ PRES..MOD,-0.08,-0.24,-0.09,0.27,0.0,0.03,0.03,0.04,-0.0,0.04
PRES.PERF.IND ~ PRES.PROG.IND,-0.11,0.44,-0.08,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PAST..IND ~ PAST..SUBJ,-0.11,-0.15,-0.13,0.46,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
PRES..IND ~ PRES..MOD,0.07,0.03,0.1,-0.17,-0.04,0.03,-0.01,-0.0,-0.0,-0.0
PRES..IND ~ PRES.PROG.IND,0.28,0.07,-0.11,-0.17,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0
.. ~ PAST..IND,-0.03,0.06,-0.09,0.06,-0.04,-0.01,0.05,-0.0,-0.0,-0.0
