eng_TAMsimp,wayq,qtl,Ø,ptcp,yqtl,wqtl,infc,impv,cohoF,infa
MOD may ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PRES,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PERF PROG,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD is to ~ PRES PERF,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ PRES PART,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
FUT ~ MOD would,-0.81,-0.12,-0.04,0.99,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PRES PART ~ TO INF,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES,-0.81,-0.12,-0.04,-0.01,0.99,-0.0,-0.0,-0.0,-0.0,-0.0
IMPV ~ PRES PART,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD can ~ PAST,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD could ~ MOD might,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD might ~ PRES PERF,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST ~ PAST PERF PROG,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ MOD may,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PAST,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF PROG,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PERF,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PROG ~ PRES PART,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD let ~ PRES PART,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
PAST PERF ~ TO INF,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD would ~ PRES,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD may ~ PRES,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ TO INF,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ PRES,-0.81,-0.12,-0.04,-0.01,0.99,-0.0,-0.0,-0.0,-0.0,-0.0
MOD should ~ MOD would,0.19,-0.12,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
MOD must ~ PRES,-0.81,0.88,-0.04,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
??VB ~ PAST,-0.81,-0.12,0.96,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
